#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1922946,1.92295e+06,1.92295e+06,35.3983,25.9098
87,87,87,126.284,190.091
115,115,115,287.923,729.582
86,86,86,303.317,1076.87
103,103,103,460.941,2070.84
79,79,79,431.869,2367.64
113,113,113,736.22,4806.63
81,81,81,605.926,4539.44
89,89,89,758.402,6470.4
86,86,86,814.366,7719.22
87,87,87,912.95,9588.49
101,101,101,1157.73,13279.2
97,97,97,1217.25,15283.5
91,91,91,1232.07,16688
86,86,86,1247.28,18096.6
92,92,92,1427.29,22150.4
100,100,100,1653.24,27339.8
84,84,84,1469.6,25717.7
84,84,84,1556.15,28834.9
101,101,101,1973.53,38570.8
94,94,94,1924.97,39428
103,103,103,2215.67,47670.5
101,101,101,2275.79,51287.1
111,111,111,2605.13,61151.4
104,104,104,2550.02,62532.6
86,86,86,2191.15,55833.6
84,84,84,2224.72,58928
103,103,103,2831.84,77866.4
112,112,112,3192.77,91025
100,100,100,2953.74,87253.9
99,99,99,3022.55,92289.5
90,90,90,2839.18,89572.8
101,101,101,3279.51,106496
84,84,84,2806.37,93765
90,90,90,3101.68,106902
131,131,131,4652.79,165267
115,115,115,4191.02,152744
88,88,88,3298.57,123651
105,105,105,4040.47,155491
111,111,111,4385.32,173262
122,122,122,4937.53,199840
85,85,85,3528.79,146505
96,96,96,4077.94,173232
91,91,91,3959.26,172268
104,104,104,4627.9,205945
112,112,112,5100.49,232287
88,88,88,4093.05,190383
80,80,80,3802.81,180774
90,90,90,4364.5,211662
125,125,125,6188.84,306424
99,99,99,4999.67,252499
88,88,88,4539.26,234155
117,117,117,6146.24,322883
91,91,91,4872.27,260877
94,94,94,5119.34,278812
82,82,82,4550.45,252525
89,89,89,5025.91,283826
98,98,98,5633.57,323856
103,103,103,6027,352675
88,88,88,5234.71,311397
96,96,96,5802.43,350717
99,99,99,6086.28,374178
75,75,75,4684.9,292650
96,96,96,6099.33,387528
89,89,89,5739.85,370185
85,85,85,5566.09,364494
86,86,86,5718.26,380222
106,106,106,7153.92,482827
98,98,98,6716.2,460286
78,78,78,5422.2,376933
92,92,92,6483.02,456851
84,84,84,6002.07,428875
79,79,79,5726.86,415158
91,91,91,6689.14,491706
102,102,102,7593.42,565304
84,84,84,6342.5,478903
86,86,86,6579.4,503363
81,81,81,6278.02,486594
97,97,97,7618.37,598355
86,86,86,6837.83,543681
86,86,86,6921.06,556996
101,101,101,8235.63,671548
98,98,98,8086.53,667272
114,114,114,9512.16,793705
105,105,105,8874.27,750035
104,104,104,8894.22,760654
102,102,102,8822.75,763155
91,91,91,7960.11,696309
117,117,117,10355.8,916611
99,99,99,8861.44,793190
101,101,101,9141.22,827355
85,85,85,7781.96,712463
108,108,108,9992.25,924500
99,99,99,9256.47,865486
96,96,96,9072.92,857485
109,109,109,10402.9,992855
115,115,115,11102.9,1.07196e+06
