#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
48747928,4.87479e+07,4.87479e+07,605.435,403.485
1471,1471,1471,2221.91,3474.8
1632,1632,1632,4089.12,10380.5
1592,1592,1592,5578.43,19675.6
1571,1571,1571,7088.07,32110.3
1545,1545,1545,8505.14,46949.5
1582,1582,1582,10269.6,66798.9
1593,1593,1593,11947,89728.1
1645,1645,1645,13964,118671
1601,1601,1601,15220.2,144832
1588,1588,1588,16655.5,174818
1652,1652,1652,18983.6,218274
1670,1670,1670,20889.3,261435
1652,1652,1652,22314.4,301545
1673,1673,1673,24249.5,351623
1660,1660,1660,25710.1,398334
1629,1629,1629,26874.3,443487
1635,1635,1635,28607.6,500684
1631,1631,1631,30192.2,559034
1693,1693,1693,33019.9,644151
1631,1631,1631,33441.7,685813
1678,1678,1678,36073.3,775637
1712,1712,1712,38527,867156
1676,1676,1676,39396.5,926208
1711,1711,1711,41934.4,1.0279e+06
1599,1599,1599,40775.4,1.03993e+06
1766,1766,1766,46793.9,1.24006e+06
1755,1755,1755,48286.6,1.32869e+06
1618,1618,1618,46123.8,1.31497e+06
1666,1666,1666,49141.4,1.44964e+06
1721,1721,1721,52475.4,1.60019e+06
1725,1725,1725,54337.6,1.71179e+06
1741,1741,1741,56587.4,1.83939e+06
1638,1638,1638,54877,1.83865e+06
1702,1702,1702,58700.3,2.02466e+06
1716,1716,1716,60925.4,2.16326e+06
1738,1738,1738,63423.4,2.3146e+06
1711,1711,1711,64161.2,2.40614e+06
1685,1685,1685,64874.9,2.49792e+06
1764,1764,1764,69682.9,2.75281e+06
1681,1681,1681,68078.3,2.75722e+06
1720,1720,1720,71375.8,2.96207e+06
1670,1670,1670,70975,3.01657e+06
1715,1715,1715,74589.6,3.24423e+06
1724,1724,1724,76717.4,3.41404e+06
1650,1650,1650,75060.3,3.41471e+06
1646,1646,1646,76532.4,3.55859e+06
1715,1715,1715,81461,3.86947e+06
1752,1752,1752,84974.8,4.12156e+06
1749,1749,1749,86564.3,4.28452e+06
1678,1678,1678,84715.5,4.27709e+06
1689,1689,1689,86995,4.48099e+06
1667,1667,1667,87523.8,4.59547e+06
1753,1753,1753,93813.1,5.02062e+06
1697,1697,1697,92498,5.04191e+06
1645,1645,1645,91319.4,5.06958e+06
1653,1653,1653,93388.4,5.27624e+06
1616,1616,1616,92919.6,5.34299e+06
1749,1749,1749,102318,5.98584e+06
1716,1716,1716,102091,6.07394e+06
1708,1708,1708,103337,6.25224e+06
1612,1612,1612,99134.2,6.09665e+06
1658,1658,1658,103624,6.47656e+06
1626,1626,1626,103255,6.55714e+06
1663,1663,1663,107254,6.91738e+06
1634,1634,1634,107019,7.00937e+06
1691,1691,1691,112471,7.48079e+06
1716,1716,1716,115828,7.81844e+06
1630,1630,1630,111660,7.64914e+06
1651,1651,1651,114748,7.97537e+06
1647,1647,1647,116109,8.18544e+06
1671,1671,1671,119461,8.54045e+06
1622,1622,1622,117598,8.52614e+06
1774,1774,1774,130375,9.58165e+06
1659,1659,1659,123586,9.20657e+06
1698,1698,1698,128197,9.67893e+06
1656,1656,1656,126658,9.68744e+06
1736,1736,1736,134566,1.0431e+07
1740,1740,1740,136600,1.0724e+07
1763,1763,1763,140150,1.11414e+07
1726,1726,1726,138924,1.1182e+07
1663,1663,1663,135550,1.10488e+07
1808,1808,1808,149170,1.23075e+07
1944,1944,1944,162337,1.35565e+07
1838,1838,1838,155310,1.31238e+07
1888,1888,1888,161407,1.3799e+07
1904,1904,1904,164668,1.42415e+07
1869,1869,1869,163536,1.43094e+07
1957,1957,1957,173220,1.53324e+07
1937,1937,1937,173369,1.55174e+07
1984,1984,1984,179537,1.62469e+07
2034,2034,2034,186134,1.70336e+07
1981,1981,1981,183247,1.69509e+07
2068,2068,2068,193341,1.80759e+07
1982,1982,1982,187290,1.76982e+07
2091,2091,2091,199681,1.90688e+07
2079,2079,2079,200629,1.93613e+07
2168,2168,2168,211399,2.06135e+07
2130,2130,2130,209814,2.06677e+07
2161,2161,2161,215003,2.13913e+07
2283,2283,2283,229432,2.30572e+07
2150,2150,2150,218217,2.21484e+07
2284,2284,2284,234089,2.39922e+07
2353,2353,2353,243544,2.5208e+07
2390,2390,2390,249742,2.60968e+07
2393,2393,2393,252467,2.66361e+07
2385,2385,2385,254004,2.70517e+07
2484,2484,2484,267030,2.87059e+07
2504,2504,2504,271708,2.94832e+07
2692,2692,2692,294770,3.22771e+07
2523,2523,2523,278793,3.08069e+07
2701,2701,2701,301146,3.35763e+07
2682,2682,2682,301704,3.39396e+07
2615,2615,2615,296811,3.36892e+07
2643,2643,2643,302634,3.46531e+07
2685,2685,2685,310136,3.58231e+07
2727,2727,2727,317688,3.701e+07
2732,2732,2732,321004,3.77175e+07
2722,2722,2722,322550,3.82216e+07
2851,2851,2851,340687,4.07113e+07
2800,2800,2800,337381,4.06523e+07
2917,2917,2917,354404,4.30589e+07
2868,2868,2868,351327,4.30375e+07
2826,2826,2826,349014,4.31039e+07
2971,2971,2971,369908,4.60562e+07
2929,2929,2929,367599,4.61352e+07
2909,2909,2909,367998,4.65532e+07
2934,2934,2934,374084,4.76959e+07
3001,3001,3001,385601,4.95465e+07
3070,3070,3070,397568,5.14857e+07
2960,2960,2960,386289,5.04121e+07
3070,3070,3070,403686,5.30825e+07
3102,3102,3102,411007,5.44576e+07
3071,3071,3071,409974,5.47312e+07
2953,2953,2953,397175,5.34199e+07
3018,3018,3018,408944,5.54128e+07
3077,3077,3077,419981,5.73237e+07
2980,2980,2980,409754,5.6342e+07
3095,3095,3095,428692,5.93789e+07
3047,3047,3047,425073,5.93004e+07
3122,3122,3122,438660,6.16346e+07
3077,3077,3077,435391,6.16076e+07
