#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9922920,9.92292e+06,9.92292e+06,13.281,8.38397
50,50,50,74.4513,114.707
41,41,41,104.034,267.45
34,34,34,118.386,414.733
40,40,40,179.393,808.082
52,52,52,289.336,1615.4
48,48,48,311.448,2024.11
63,63,63,473.32,3562.22
45,45,45,383.955,3279.3
53,53,53,503.223,4782.59
46,46,46,480.036,5012.49
37,37,37,426.531,4920.36
34,34,34,425.712,5333.42
63,63,63,849.376,11455.9
41,41,41,590.901,8519.21
53,53,53,818.931,12658.2
53,53,53,875.598,14469.4
53,53,53,923.89,16109.9
44,44,44,810.261,14923.7
41,41,41,800.658,15639.5
41,41,41,840.702,17241.1
48,48,48,1034.48,22299.3
58,58,58,1304.67,29352.5
45,45,45,1055.2,24746.4
42,42,42,1029.61,25244
36,36,36,916.998,23361.6
54,54,54,1430.62,37906.2
57,57,57,1566.34,43047
44,44,44,1252,35628.7
51,51,51,1508.48,44621.5
43,43,43,1310.64,39951.8
43,43,43,1353,42575.8
46,46,46,1493.58,48498.4
50,50,50,1673.59,56021.8
37,37,37,1278.22,44161.1
49,49,49,1740.11,61800.7
46,46,46,1681.39,61461.4
57,57,57,2138.59,80243.4
47,47,47,1811.54,69826.5
41,41,41,1619.23,63952.1
56,56,56,2267.62,91827.3
45,45,45,1867.72,77523.9
54,54,54,2295.75,97604.6
53,53,53,2307.49,100466
48,48,48,2137.17,95159.9
53,53,53,2411.94,109767
49,49,49,2278.96,105997
58,58,58,2755.92,130955
53,53,53,2571.54,124775
52,52,52,2574.28,127446
71,71,71,3586.18,181143
53,53,53,2731.09,140738
67,67,67,3519.06,184838
59,59,59,3154.37,168651
46,46,46,2505.32,136452
62,62,62,3438.83,190740
72,72,72,4068.49,229904
72,72,72,4137.89,237813
64,64,64,3742.13,218810
74,74,74,4402.3,261901
76,76,76,4594.59,277773
61,61,61,3749.55,230483
71,71,71,4437.93,277404
73,73,73,4636.45,294481
96,96,96,6197.34,400080
70,70,70,4585.87,300437
85,85,85,5650.74,375665
