#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9909025,9.90902e+06,9.90902e+06,24.8804,16.7416
60,60,60,91.7761,144.223
63,63,63,156.825,395.019
69,69,69,242.577,857.715
55,55,55,251.191,1151.28
71,71,71,392.198,2172.08
81,81,81,525.725,3420.44
53,53,53,395.481,2955.06
58,58,58,495.356,4234.71
63,63,63,596.809,5658.94
61,61,61,639.299,6704.52
73,73,73,838.281,9633.41
60,60,60,746.536,9292.55
62,62,62,838.869,11354.7
58,58,58,842.808,12251.6
52,52,52,804.769,12459.2
43,43,43,706.241,11603.6
63,63,63,1103.04,19317.7
57,57,57,1052.95,19455.1
45,45,45,878.778,17164.8
52,52,52,1066,21857.9
66,66,66,1418.68,30498.9
50,50,50,1126.28,25374.7
48,48,48,1126.86,26458.1
46,46,46,1126.76,27602.9
61,61,61,1556.37,39714
54,54,54,1432.87,38025.8
42,42,42,1154.16,31720
40,40,40,1140.16,32504.1
46,46,46,1355.85,39968
43,43,43,1310.25,39929
52,52,52,1638.82,51653.6
50,50,50,1622.28,52639.6
50,50,50,1676.73,56232.9
49,49,49,1689.96,58289
62,62,62,2204.12,78362.5
50,50,50,1824.47,66578.6
49,49,49,1834.64,68695.5
51,51,51,1962.01,75483.7
46,46,46,1817.25,71794.9
48,48,48,1946.49,78936.9
40,40,40,1660.4,68927.3
41,41,41,1743.08,74109.6
54,54,54,2345.65,101895
39,39,39,1735.55,77236.4
50,50,50,2274.17,103441
41,41,41,1906.43,88649.1
47,47,47,2231.89,105989
53,53,53,2565.37,124177
54,54,54,2673.68,132385
62,62,62,3130.62,158081
48,48,48,2471.08,127217
45,45,45,2359.88,123760
48,48,48,2568,137393
56,56,56,3052.4,166381
37,37,37,2050.76,113668
45,45,45,2542.5,143655
57,57,57,3278.86,188617
54,54,54,3159.81,184902
62,62,62,3686.86,219245
52,52,52,3149.66,190779
71,71,71,4366.33,268524
56,56,56,3500.83,218858
61,61,61,3875.66,246247
53,53,53,3419.52,220629
63,63,63,4127.64,270440
72,72,72,4793.41,319127
65,65,65,4389.59,296445
67,67,67,4592.23,314760
65,65,65,4514.75,313588
51,51,51,3593.55,253212
62,62,62,4433.51,317038
86,86,86,6236.7,452293
67,67,67,4926.89,362306
84,84,84,6260.2,466555
72,72,72,5431.21,409700
71,71,71,5429.43,415200
74,74,74,5734.69,444421
84,84,84,6593.5,517557
90,90,90,7153.84,568645
87,87,87,7006.15,564215
91,91,91,7413.22,603916
86,86,86,7097.63,585779
76,76,76,6347.75,530189
101,101,101,8535.04,721265
104,104,104,8894.01,760619
100,100,100,8650.01,748234
91,91,91,7960.67,696407
126,126,126,11152,987053
95,95,95,8503.32,761128
109,109,109,9864.89,892818
99,99,99,9053.51,827947
119,119,119,11005.9,1.01791e+06
112,112,112,10471.8,979099
104,104,104,9826.73,928516
98,98,98,9361.52,894274
132,132,132,12734.4,1.22853e+06
117,117,117,11403.3,1.11142e+06
114,114,114,11229.4,1.10615e+06
113,113,113,11243,1.11865e+06
95,95,95,9550.38,960110
117,117,117,11877.9,1.20587e+06
122,122,122,12507.4,1.28227e+06
110,110,110,11387.4,1.17886e+06
118,118,118,12328.6,1.28811e+06
113,113,113,11923.4,1.25812e+06
129,129,129,13734.6,1.46233e+06
138,138,138,14833.6,1.59447e+06
126,126,126,13672.6,1.48367e+06
130,130,130,14229.2,1.55748e+06
141,141,141,15581.2,1.72181e+06
123,123,123,13710.4,1.52826e+06
129,129,129,14509.2,1.63193e+06
141,141,141,16003.2,1.81635e+06
130,130,130,14884.2,1.70416e+06
132,132,132,15244.5,1.76058e+06
163,163,163,18990.3,2.21248e+06
148,148,148,17386.4,2.0425e+06
145,145,145,17188.4,2.03753e+06
157,157,157,18766.4,2.24319e+06
127,127,127,15303.3,1.84405e+06
142,142,142,17256.5,2.09709e+06
136,136,136,16659.7,2.04078e+06
167,167,167,20632.9,2.5492e+06
163,163,163,20291.4,2.52603e+06
176,176,176,22092.7,2.77324e+06
127,127,127,16065,2.03217e+06
163,163,163,20781,2.64939e+06
159,159,159,20432.8,2.62579e+06
177,177,177,22913.1,2.96618e+06
184,184,184,24007.7,3.13245e+06
181,181,181,23803.8,3.13051e+06
200,200,200,26498.8,3.51094e+06
214,214,214,28565.2,3.81295e+06
209,209,209,28106.5,3.77981e+06
193,193,193,26155.8,3.5447e+06
218,218,218,29758.2,4.06218e+06
244,244,244,33553.7,4.61417e+06
235,235,235,32548.2,4.50804e+06
236,236,236,32915.1,4.59071e+06
256,256,256,35968.9,5.05377e+06
249,249,249,35237.8,4.98677e+06
301,301,301,42888.9,6.11119e+06
262,262,262,37600.1,5.39607e+06
273,273,273,39451.2,5.70111e+06
292,292,292,42494.1,6.1841e+06
309,309,309,45273.7,6.63338e+06
285,285,285,42045.4,6.20288e+06
328,328,328,48702.5,7.23154e+06
333,333,333,49783,7.44251e+06
335,335,335,50417.1,7.58774e+06
353,353,353,53482.3,8.10302e+06
353,353,353,53832.3,8.20942e+06
350,350,350,53719.2,8.24503e+06
371,371,371,57317.3,8.85521e+06
379,379,379,58933.2,9.16393e+06
376,376,376,58851.8,9.21156e+06
379,379,379,59692.6,9.40165e+06
344,344,344,54527.7,8.64326e+06
363,363,363,57882.7,9.22981e+06
408,408,408,65491.4,1.05126e+07
357,357,357,57662.5,9.31364e+06
364,364,364,59155.8,9.61379e+06
368,368,368,60174.6,9.83965e+06
364,364,364,59869.9,9.84731e+06
340,340,340,56270.4,9.31284e+06
391,391,391,65090.6,1.08358e+07
