#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9821690,9.82169e+06,9.82169e+06,41.3993,28.5429
112,112,112,166.776,258.212
109,109,109,274.027,698.674
90,90,90,312.216,1090.99
108,108,108,483.938,2176.9
118,118,118,653.255,3626.97
110,110,110,711.828,4614.31
105,105,105,790.861,5964.66
114,114,114,964.284,8165.74
104,104,104,986.402,9363.59
115,115,115,1210.57,12753.5
98,98,98,1125.02,12924
110,110,110,1379.35,17305.3
116,116,116,1564.37,21106.5
129,129,129,1870.02,27117.8
93,93,93,1443.24,22405.6
105,105,105,1738.5,28793.3
107,107,107,1874.43,32845.4
104,104,104,1926.22,35685.9
111,111,111,2167.91,42350.4
98,98,98,2008.02,41151.6
99,99,99,2129.97,45833.6
103,103,103,2316.4,52102.2
99,99,99,2322.26,54481.3
95,95,95,2326.3,56972.8
106,106,106,2700.73,68819.9
104,104,104,2753.79,72925.7
79,79,79,2170.59,59645.2
93,93,93,2656.09,75865.6
99,99,99,2919.39,86097.1
107,107,107,3265.73,99683.1
101,101,101,3180.91,100189
82,82,82,2662.96,86488.3
100,100,100,3356.92,112696
88,88,88,3043.65,105277
105,105,105,3732.73,132706
75,75,75,2737.92,99955.3
101,101,101,3784.66,141827
96,96,96,3694.63,142198
91,91,91,3595.88,142100
91,91,91,3680.69,148881
100,100,100,4150.14,172245
81,81,81,3440.4,146135
105,105,105,4565.84,198551
84,84,84,3738.71,166412
97,97,97,4413.85,200854
83,83,83,3857.14,179254
97,97,97,4608.26,218936
112,112,112,5430.12,263279
94,94,94,4652.03,230235
108,108,108,5464.12,276459
91,91,91,4688.71,241591
88,88,88,4620.33,242592
110,110,110,5884.81,314836
102,102,102,5558.39,302909
96,96,96,5330.61,296001
91,91,91,5142.16,290578
102,102,102,5865.01,337246
106,106,106,6194.92,362056
106,106,106,6308.96,375507
110,110,110,6651.14,402170
110,110,110,6764.99,416056
127,127,127,7938.26,496199
114,114,114,7238.5,459622
129,129,129,8321.39,536798
103,103,103,6744.47,441638
114,114,114,7583.54,504485
124,124,124,8372.47,565319
115,115,115,7879.36,539872
123,123,123,8549.73,594301
94,94,94,6624.98,466928
150,150,150,10727.2,767158
131,131,131,9494.52,688147
137,137,137,10072.2,740511
145,145,145,10804.5,805098
149,149,149,11250.3,849470
133,133,133,10181.5,779434
166,166,166,12868.5,997586
156,156,156,12248.7,961751
174,174,174,13835.5,1.10014e+06
183,183,183,14733.5,1.18623e+06
171,171,171,13941.4,1.13664e+06
178,178,178,14685.3,1.21158e+06
189,189,189,15773.2,1.31638e+06
167,167,167,14111.7,1.19247e+06
209,209,209,17870.5,1.52804e+06
201,201,201,17380.4,1.50289e+06
196,196,196,17146.6,1.50004e+06
234,234,234,20707.6,1.83251e+06
214,214,214,19155.3,1.71462e+06
212,212,212,19184.7,1.73612e+06
218,218,218,19949.3,1.82559e+06
214,214,214,19799.5,1.8319e+06
260,260,260,24306.5,2.27236e+06
239,239,239,22581,2.1335e+06
219,219,219,20918.9,1.99819e+06
255,255,255,24610.7,2.37527e+06
256,256,256,24967.5,2.43509e+06
287,287,287,28269.9,2.78466e+06
280,280,280,27858.5,2.7718e+06
286,286,286,28741.9,2.88848e+06
288,288,288,29221.8,2.96501e+06
302,302,302,30956.6,3.17324e+06
318,318,318,32914.6,3.40686e+06
306,306,306,31981.4,3.34254e+06
304,304,304,32081.3,3.38558e+06
311,311,311,33120,3.52715e+06
349,349,349,37523.2,4.03438e+06
366,366,366,39704.4,4.30724e+06
357,357,357,39095.7,4.28147e+06
331,331,331,36579.7,4.04256e+06
378,378,378,42147.3,4.69949e+06
386,386,386,43430.5,4.88658e+06
381,381,381,43250.3,4.90971e+06
408,408,408,46719.4,5.34979e+06
365,365,365,42154.1,4.86844e+06
387,387,387,45083,5.25192e+06
449,449,449,52755.8,6.19864e+06
427,427,427,50587.4,5.99322e+06
412,412,412,49242.7,5.88558e+06
442,442,442,53260.8,6.41795e+06
435,435,435,52844.3,6.41963e+06
486,486,486,59538.1,7.29383e+06
441,441,441,54463.2,6.72619e+06
461,461,461,57390.3,7.14461e+06
471,471,471,59108.8,7.41799e+06
472,472,472,59704.1,7.55211e+06
487,487,487,62096.9,7.91795e+06
503,503,503,64631.2,8.3046e+06
489,489,489,63321.5,8.19966e+06
535,535,535,69816.6,9.11098e+06
504,504,504,66268.1,8.71326e+06
547,547,547,72476.9,9.60315e+06
553,553,553,73833.3,9.85784e+06
595,595,595,80036.4,1.07662e+07
588,588,588,79674.8,1.07961e+07
