#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9822303,9.8223e+06,9.8223e+06,48.6053,35.0128
102,102,102,152.891,236.636
90,90,90,228.173,585.471
79,79,79,275.192,964.972
117,117,117,525.624,2370.82
107,107,107,586.834,3227.13
116,116,116,751.677,4880.52
123,123,123,924.868,6965.63
129,129,129,1097.93,9354.36
114,114,114,1081.24,10264.3
109,109,109,1140.63,11944.4
111,111,111,1272.38,14595.1
118,118,118,1481.11,18599
106,106,106,1428.38,19257.5
138,138,138,2002.69,29075.9
92,92,92,1422.46,22001.6
106,106,106,1748.1,28836.9
108,108,108,1894.69,33248.7
80,80,80,1479.46,27366
102,102,102,1988.36,38770
105,105,105,2153.04,44157.4
105,105,105,2261.06,48698.4
114,114,114,2562.97,57630.8
115,115,115,2708.21,63787.7
87,87,87,2132.78,52290.6
113,113,113,2881.38,73480.1
99,99,99,2620.4,69366.8
87,87,87,2387.94,65550.4
80,80,80,2278.38,64893.2
100,100,100,2952.9,87204.3
80,80,80,2440.97,74485.6
89,89,89,2800,88097.1
87,87,87,2823.96,91671.2
97,97,97,3244.35,108520
99,99,99,3413.03,117671
80,80,80,2838.65,100730
116,116,116,4239.63,154961
108,108,108,4048,151734
89,89,89,3426.06,131894
100,100,100,3951.83,156177
102,102,102,4132.99,167474
93,93,93,3859.17,160150
91,91,91,3866.2,164265
86,86,86,3744.43,163039
89,89,89,3962.85,176459
95,95,95,4322.23,196656
99,99,99,4607.37,214431
109,109,109,5178.77,246060
112,112,112,5429.97,263264
102,102,102,5048.82,249916
91,91,91,4594.64,231992
79,79,79,4069.85,209674
97,97,97,5088.29,266924
102,102,102,5455.08,291751
109,109,109,5938.85,323586
106,106,106,5881.53,326354
99,99,99,5594.05,316102
96,96,96,5520.18,317428
108,108,108,6312.68,368990
120,120,120,7138.72,424687
88,88,88,5320.2,321650
89,89,89,5475.02,336814
99,99,99,6184.32,386329
98,98,98,6218.83,394639
91,91,91,5869.35,378571
101,101,101,6618.7,433741
116,116,116,7712.54,512797
107,107,107,7214.95,486509
105,105,105,7194.42,492958
150,150,150,10427.6,724919
113,113,113,7966.86,561699
140,140,140,10009.9,715710
127,127,127,9208.66,667722
121,121,121,8896.01,654051
119,119,119,8869.05,661018
154,154,154,11633.7,878869
133,133,133,10183.3,779705
163,163,163,12635,979412
162,162,162,12714.8,997948
159,159,159,12638.9,1.00469e+06
175,175,175,14096,1.13543e+06
180,180,180,14676.4,1.19665e+06
192,192,192,15834.1,1.30584e+06
160,160,160,13369,1.11707e+06
169,169,169,14284.2,1.20733e+06
187,187,187,15993.7,1.36793e+06
203,203,203,17558.9,1.51882e+06
207,207,207,18116.6,1.58559e+06
200,200,200,17703.6,1.5671e+06
207,207,207,18525.3,1.65793e+06
228,228,228,20642.1,1.86887e+06
223,223,223,20406.3,1.86736e+06
229,229,229,21188.3,1.96047e+06
233,233,233,21784.3,2.03675e+06
