#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9849871,9.84987e+06,9.84987e+06,23.2137,15.9791
68,68,68,102.929,161.272
81,81,81,196.165,480.694
96,96,96,335.872,1183.1
87,87,87,386.945,1727.3
80,80,80,442.457,2454.18
83,83,83,540.556,3527.69
101,101,101,759.666,5722.3
93,93,93,789.916,6716.84
83,83,83,791.347,7551.52
90,90,90,945.017,9929.31
87,87,87,1001.36,11532.4
72,72,72,901.654,11298.9
74,74,74,1001.8,13568.4
76,76,76,1097.65,15859.7
99,99,99,1530.86,23680.5
88,88,88,1451.07,23935
91,91,91,1592.97,27894.2
83,83,83,1539.86,28574.3
95,95,95,1846.74,35906
72,72,72,1473.62,30167.3
71,71,71,1531.04,33020.5
79,79,79,1775.58,39914.8
76,76,76,1783.92,41880.3
76,76,76,1863.15,45681.4
89,89,89,2267.63,57784.9
75,75,75,1987.2,52659.2
98,98,98,2699.38,74362
76,76,76,2169.08,61913.1
95,95,95,2807.06,82951.5
88,88,88,2686.76,82037.5
86,86,86,2709.94,85400
88,88,88,2857.4,92789.2
94,94,94,3148.16,105442
89,89,89,3072.48,106075
82,82,82,2912.21,103433
92,92,92,3358.79,122631
78,78,78,2926.26,109789
99,99,99,3806.8,146389
93,93,93,3672.96,145070
80,80,80,3239.98,131225
92,92,92,3818.89,158528
99,99,99,4204.15,178541
114,114,114,4963.3,216099
118,118,118,5245.54,233193
94,94,94,4281.01,194977
102,102,102,4743.16,220573
101,101,101,4800.43,228169
120,120,120,5814.16,281715
116,116,116,5742.56,284293
104,104,104,5252.32,265267
134,134,134,6902.52,355569
140,140,140,7348.26,385704
119,119,119,6364.44,340396
140,140,140,7632.56,416127
148,148,148,8213.2,455801
144,144,144,8140.87,460246
152,152,152,8743.01,502908
154,154,154,9013.4,527555
171,171,171,10171.7,605065
147,147,147,8896.78,538466
175,175,175,10763.6,662043
172,172,172,10746.3,671429
179,179,179,11369.4,722152
173,173,173,11154.5,719220
183,183,183,11990.1,785606
193,193,193,12831.8,853149
246,246,246,16596.8,1.11975e+06
219,219,219,14998,1.02714e+06
219,219,219,15219.6,1.05772e+06
257,257,257,18114.1,1.27676e+06
256,256,256,18302.6,1.30856e+06
288,288,288,20882,1.51411e+06
268,268,268,19709.5,1.44951e+06
258,258,258,19211,1.4305e+06
312,312,312,23556.2,1.77853e+06
288,288,288,22043.5,1.68724e+06
343,343,343,26574.3,2.05891e+06
329,329,329,25835.4,2.02881e+06
327,327,327,25994.2,2.06639e+06
336,336,336,27051.3,2.17793e+06
366,366,366,29834.9,2.43205e+06
333,333,333,27470.1,2.26611e+06
352,352,352,29390.6,2.45402e+06
364,364,364,30755,2.59858e+06
368,368,368,31464.4,2.69028e+06
397,397,397,34340.5,2.97048e+06
351,351,351,30719.9,2.68866e+06
386,386,386,34147.4,3.02088e+06
353,353,353,31597.8,2.82841e+06
366,366,366,33124.9,2.998e+06
375,375,375,34307.2,3.13866e+06
376,376,376,34788.5,3.21875e+06
337,337,337,31503.8,2.9451e+06
378,378,378,35724.5,3.37633e+06
364,364,364,34766.5,3.32065e+06
354,354,354,34160.4,3.29645e+06
356,356,356,34705.9,3.38345e+06
353,353,353,34780.6,3.42691e+06
339,339,339,33730.8,3.35628e+06
352,352,352,35375.4,3.5552e+06
353,353,353,35834.5,3.63774e+06
331,331,331,33931.5,3.47841e+06
331,331,331,34265.6,3.54725e+06
320,320,320,33440.2,3.49456e+06
358,358,358,37763.9,3.98358e+06
345,345,345,36735.9,3.91171e+06
344,344,344,36976.7,3.97466e+06
351,351,351,38087.9,4.13304e+06
350,350,350,38323.2,4.19622e+06
346,346,346,38230.2,4.22415e+06
370,370,370,41254.4,4.59982e+06
352,352,352,39594,4.45369e+06
355,355,355,40291.3,4.57295e+06
368,368,368,42124.7,4.82202e+06
362,362,362,41820.6,4.83142e+06
331,331,331,38565.5,4.49339e+06
341,341,341,40061.2,4.70648e+06
333,333,333,39468.8,4.67806e+06
336,336,336,40155.8,4.79911e+06
368,368,368,44348.2,5.34451e+06
371,371,371,45075.9,5.47667e+06
401,401,401,49115.2,6.01576e+06
363,363,363,44837.2,5.53824e+06
380,380,380,47309.5,5.89001e+06
358,358,358,44925.5,5.63774e+06
354,354,354,44784.8,5.66578e+06
390,390,390,49719.4,6.33853e+06
362,362,362,46512.7,5.97636e+06
345,345,345,44676.5,5.78549e+06
381,381,381,49717.4,6.48775e+06
386,386,386,50760.6,6.67525e+06
392,392,392,51941.6,6.8825e+06
390,390,390,52062,6.9499e+06
402,402,402,54067.2,7.27184e+06
426,426,426,57739,7.82583e+06
443,443,443,60468,8.25371e+06
453,453,453,62276,8.56142e+06
486,486,486,67323.2,9.326e+06
453,453,453,63189.5,8.81442e+06
466,466,466,65471,9.19844e+06
505,505,505,71455.7,1.01108e+07
454,454,454,64696.3,9.21943e+06
541,541,541,77621.2,1.11369e+07
505,505,505,72971.6,1.05443e+07
491,491,491,71444.1,1.03957e+07
560,560,560,82037.2,1.20181e+07
516,516,516,76103.7,1.12244e+07
581,581,581,86283.9,1.2814e+07
620,620,620,92695,1.38587e+07
620,620,620,93307.7,1.40425e+07
620,620,620,93934.4,1.42318e+07
653,653,653,99584.7,1.5187e+07
651,651,651,99926.6,1.53385e+07
709,709,709,109534,1.6922e+07
708,708,708,110089,1.71182e+07
726,726,726,113628,1.77841e+07
700,700,700,110264,1.73688e+07
747,747,747,118403,1.87674e+07
738,738,738,117728,1.87805e+07
775,775,775,124387,1.99643e+07
748,748,748,120810,1.95121e+07
750,750,750,121865,1.98016e+07
811,811,811,132591,2.16776e+07
819,819,819,134726,2.21624e+07
869,869,869,143828,2.38052e+07
829,829,829,138027,2.29813e+07
899,899,899,150578,2.52212e+07
841,841,841,141717,2.38808e+07
868,868,868,147138,2.49419e+07
902,902,902,153781,2.62179e+07
940,940,940,161216,2.76497e+07
935,935,935,161286,2.78218e+07
979,979,979,169854,2.94692e+07
891,891,891,155483,2.71324e+07
935,935,935,164075,2.87921e+07
967,967,967,170676,3.01245e+07
981,981,981,174122,3.09057e+07
978,978,978,174582,3.11647e+07
1063,1063,1063,190809,3.42505e+07
1061,1061,1061,191503,3.45651e+07
1179,1179,1179,214003,3.88441e+07
1116,1116,1116,203677,3.71726e+07
1302,1302,1302,238921,4.38429e+07
1397,1397,1397,257768,4.75622e+07
1790,1790,1790,332084,6.1609e+07
2066,2066,2066,385355,7.18774e+07
2505,2505,2505,469710,8.80749e+07
2740,2740,2740,516527,9.73727e+07
2968,2968,2968,562460,1.06591e+08
2962,2962,2962,564263,1.07493e+08
3057,3057,3057,585382,1.12094e+08
3118,3118,3118,600217,1.15542e+08
3025,3025,3025,585340,1.13264e+08
2999,2999,2999,583313,1.13456e+08
2937,2937,2937,574187,1.12254e+08
2783,2783,2783,546837,1.07449e+08
2738,2738,2738,540750,1.06797e+08
2615,2615,2615,519085,1.0304e+08
2522,2522,2522,503139,1.00377e+08
2361,2361,2361,473369,9.49085e+07
2302,2302,2302,463835,9.34593e+07
2182,2182,2182,441843,8.94708e+07
2213,2213,2213,450326,9.16375e+07
1957,1957,1957,400196,8.1838e+07
1961,1961,1961,402994,8.2817e+07
1650,1650,1650,340731,7.03624e+07
1661,1661,1661,344647,7.15123e+07
1575,1575,1575,328379,6.84655e+07
1596,1596,1596,334361,7.00487e+07
1487,1487,1487,313024,6.5894e+07
1376,1376,1376,291023,6.15513e+07
1250,1250,1250,265616,5.64417e+07
1221,1221,1221,260670,5.56502e+07
1119,1119,1119,240022,5.1484e+07
1055,1055,1055,227335,4.89872e+07
1055,1055,1055,228402,4.9448e+07
932,932,932,202694,4.40826e+07
880,880,880,192268,4.20078e+07
794,794,794,174291,3.82586e+07
790,790,790,174180,3.84035e+07
714,714,714,158148,3.50292e+07
675,675,675,150178,3.34126e+07
631,631,631,141031,3.15209e+07
605,605,605,135826,3.04938e+07
543,543,543,122443,2.761e+07
442,442,442,100119,2.26782e+07
459,459,459,104423,2.37563e+07
462,462,462,105555,2.41166e+07
424,424,424,97301.7,2.23293e+07
396,396,396,91276.5,2.10389e+07
273,273,273,63188.3,1.46255e+07
290,290,290,67420,1.5674e+07
283,283,283,66078.7,1.5429e+07
251,251,251,58861,1.38033e+07
228,228,228,53684.7,1.26406e+07
206,206,206,48723.1,1.1524e+07
185,185,185,43941.6,1.04371e+07
189,189,189,45073.4,1.07493e+07
165,165,165,39522.4,9.46682e+06
134,134,134,32219.7,7.74709e+06
145,145,145,35018.6,8.45725e+06
120,120,120,29098.2,7.05587e+06
102,102,102,24835.8,6.04722e+06
104,104,104,25429.9,6.21809e+06
98,98,98,24059.3,5.90663e+06
84,84,84,20708,5.105e+06
89,89,89,22027.8,5.45196e+06
82,82,82,20376.7,5.06357e+06
68,68,68,16962.2,4.23112e+06
63,63,63,15781.7,3.95339e+06
50,50,50,12574.2,3.16219e+06
43,43,43,10854.1,2.73982e+06
38,38,38,9632.58,2.44176e+06
47,47,47,11960.9,3.04389e+06
43,43,43,10984.7,2.80611e+06
35,35,35,8977.38,2.30267e+06
32,32,32,8240.84,2.12224e+06
39,39,39,10085.9,2.60834e+06
35,35,35,9081.14,2.35621e+06
30,30,30,7814.47,2.03554e+06
31,31,31,8105.52,2.11934e+06
31,31,31,8137.89,2.1363e+06
24,24,24,6324.7,1.66674e+06
19,19,19,5023.79,1.32834e+06
19,19,19,5043.05,1.33855e+06
15,15,15,3995.68,1.06436e+06
11,11,11,2942.3,787015
15,15,15,4028.06,1.08168e+06
16,16,16,4310.46,1.16125e+06
14,14,14,3786.93,1.02435e+06
18,18,18,4885.67,1.3261e+06
11,11,11,2998.85,817556
13,13,13,3553.81,971508
14,14,14,3842.21,1.05447e+06
8,8,8,2203.61,606985
9,9,9,2488.28,687950
12,12,12,3327.63,922761
6,6,6,1672.12,466000
10,10,10,2794.56,780956
5,5,5,1402.91,393631
4,4,4,1126.91,317484
4,4,4,1130.49,319500
12,12,12,3400.69,963726
5,5,5,1422.82,404882
5,5,5,1428.64,408201
4,4,4,1146.69,328727
4,4,4,1150.71,331032
2,2,2,577.483,166744
2,2,2,579.234,167756
4,4,4,1161.65,337360
4,4,4,1165.77,339758
