#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9847244,9.84724e+06,9.84724e+06,31.9273,23.1033
89,89,89,133.213,206.882
92,92,92,231.829,591.219
87,87,87,306.197,1085.04
92,92,92,411.96,1852.01
98,98,98,541.09,2996.04
101,101,101,652.307,4221.62
79,79,79,594.502,4480.29
77,77,77,655.465,5586.14
88,88,88,836.182,7952.96
88,88,88,925.611,9743.19
105,105,105,1207.3,13889.3
76,76,76,949.557,11871.2
108,108,108,1461.46,19784.6
84,84,84,1218.27,17675.3
87,87,87,1349.77,20947.7
81,81,81,1333.71,21965.5
98,98,98,1712.46,29932.1
66,66,66,1220.51,22576.8
100,100,100,1951.02,38073
86,86,86,1770.53,36458.3
81,81,81,1746.29,37655.8
99,99,99,2230.03,50241.9
80,80,80,1885.7,44455.3
97,97,97,2380.51,58428.6
69,69,69,1759.29,44861.4
78,78,78,2066.83,54772.7
90,90,90,2471.7,67888.9
89,89,89,2535.85,72260.5
108,108,108,3185.15,93947.6
92,92,92,2807.21,85665.3
85,85,85,2674.48,84158.4
83,83,83,2700.89,87897
104,104,104,3485.46,116821
85,85,85,2937.76,101541
84,84,84,2979.09,105661
92,92,92,3353.07,122215
79,79,79,2966.07,111368
93,93,93,3578.15,137676
102,102,102,4030.91,159305
105,105,105,4248.86,171941
84,84,84,3486.56,144723
94,94,94,3995.79,169863
95,95,95,4136.4,180112
101,101,101,4493.07,199886
104,104,104,4733.71,215470
102,102,102,4743.7,220623
116,116,116,5508.95,261635
114,114,114,5528.08,268076
116,116,116,5741.1,284148
118,118,118,5964.25,301469
146,146,146,7519.16,387259
121,121,121,6348.32,333079
139,139,139,7444.57,398730
113,113,113,6160.99,335920
127,127,127,7043.48,390647
154,154,154,8702.78,491820
158,158,158,9090.31,523011
158,158,158,9249.56,541496
168,168,168,10003.8,595703
187,187,187,11319.1,685156
174,174,174,10701.8,658223
168,168,168,10496.1,655777
184,184,184,11682.8,741796
222,222,222,14313.2,922851
182,182,182,11916,780181
235,235,235,15624.1,1.0388e+06
197,197,197,13302.6,898286
240,240,240,16436.4,1.12566e+06
230,230,230,15990.5,1.11175e+06
246,246,246,17347.1,1.22328e+06
242,242,242,17300.8,1.23687e+06
282,282,282,20441.7,1.48181e+06
283,283,283,20806.7,1.52977e+06
302,302,302,22500.5,1.67643e+06
323,323,323,24389.1,1.84161e+06
339,339,339,25945.4,1.98577e+06
352,352,352,27279,2.11408e+06
334,334,334,26218.2,2.05809e+06
352,352,352,27986.7,2.22518e+06
361,361,361,29065.2,2.34015e+06
391,391,391,31874.6,2.59848e+06
344,344,344,28376.9,2.34087e+06
377,377,377,31466,2.62631e+06
368,368,368,31105.2,2.62919e+06
363,363,363,31035.1,2.65341e+06
356,356,356,30787,2.66251e+06
339,339,339,29667.4,2.59635e+06
341,341,341,30171.7,2.66962e+06
381,381,381,34098.4,3.05174e+06
371,371,371,33577.6,3.03899e+06
403,403,403,36879.2,3.37491e+06
369,369,369,34140.1,3.1587e+06
403,403,403,37676.5,3.52242e+06
365,365,365,34489.4,3.25898e+06
376,376,376,35918.3,3.43122e+06
377,377,377,36376.5,3.50997e+06
324,324,324,31588.9,3.07985e+06
378,378,378,37238.7,3.66861e+06
372,372,372,37015.3,3.68318e+06
343,343,343,34469.4,3.46399e+06
359,359,359,36439.5,3.69874e+06
370,370,370,37921.6,3.88664e+06
350,350,350,36219.5,3.74819e+06
369,369,369,38560,4.02949e+06
385,385,385,40621.7,4.28606e+06
345,345,345,36742.8,3.91317e+06
367,367,367,39462.8,4.2434e+06
343,343,343,37224.7,4.03991e+06
371,371,371,40622.3,4.44794e+06
364,364,364,40221,4.44435e+06
385,385,385,42926.4,4.7862e+06
370,370,370,41622.2,4.68221e+06
351,351,351,39831.2,4.52004e+06
374,374,374,42824.7,4.90365e+06
371,371,371,42841.5,4.94718e+06
366,366,366,42632.8,4.96602e+06
365,365,365,42887.9,5.03941e+06
362,362,362,42906.2,5.0855e+06
362,362,362,43256.4,5.16885e+06
382,382,382,46024.9,5.54531e+06
362,362,362,43989.6,5.34557e+06
342,342,342,41894.4,5.13202e+06
409,409,409,50505.5,6.23672e+06
406,406,406,50546,6.29288e+06
377,377,377,47301.7,5.93492e+06
406,406,406,51355.3,6.49602e+06
393,393,393,50108.3,6.38894e+06
387,387,387,49728.4,6.38998e+06
373,373,373,48303.9,6.25543e+06
414,414,414,54033.9,7.05236e+06
413,413,413,54311.3,7.14221e+06
382,382,382,50613.4,6.7061e+06
422,422,422,56339.8,7.52176e+06
443,443,443,59584.1,8.01417e+06
463,463,463,62739.9,8.50176e+06
441,441,441,60195.6,8.21662e+06
472,472,472,64908.1,8.92601e+06
464,464,464,64259.8,8.89944e+06
490,490,490,68362.6,9.53769e+06
452,452,452,63513.5,8.92474e+06
527,527,527,74572.7,1.05524e+07
496,496,496,70682.4,1.00726e+07
513,513,513,73600.1,1.05594e+07
531,531,531,76723.2,1.10856e+07
587,587,587,85404.2,1.24257e+07
527,527,527,77201.4,1.13095e+07
568,568,568,83780.3,1.23577e+07
632,632,632,93853.1,1.39374e+07
639,639,639,95521.2,1.42791e+07
661,661,661,99470.1,1.49687e+07
617,617,617,93484,1.41642e+07
655,655,655,99899.4,1.52365e+07
705,705,705,108214,1.66102e+07
661,661,661,102137,1.57821e+07
688,688,688,106974,1.66329e+07
693,693,693,108459,1.69747e+07
710,710,710,111815,1.76094e+07
775,775,775,122846,1.94726e+07
710,710,710,113234,1.8059e+07
813,813,813,130487,2.09432e+07
841,841,841,135816,2.19335e+07
807,807,807,131128,2.13068e+07
833,833,833,136193,2.22673e+07
805,805,805,132420,2.17827e+07
861,861,861,142487,2.35801e+07
904,904,904,150527,2.50645e+07
862,862,862,144377,2.41819e+07
891,891,891,150151,2.53035e+07
872,872,872,147800,2.50514e+07
904,904,904,154127,2.6278e+07
913,913,913,156590,2.68571e+07
974,974,974,168015,2.89827e+07
927,927,927,160823,2.79009e+07
1002,1002,1002,174851,3.05118e+07
964,964,964,169169,2.96868e+07
1019,1019,1019,179840,3.17394e+07
1051,1051,1051,186551,3.31127e+07
1006,1006,1006,179559,3.20493e+07
1075,1075,1075,192955,3.46341e+07
1183,1183,1183,213507,3.85337e+07
1082,1082,1082,196380,3.56425e+07
1167,1167,1167,212992,3.88739e+07
1291,1291,1291,236914,4.34766e+07
1479,1479,1479,272891,5.03512e+07
1735,1735,1735,321855,5.97066e+07
2198,2198,2198,409952,7.64608e+07
2524,2524,2524,473261,8.87386e+07
2845,2845,2845,536287,1.01091e+08
2954,2954,2954,559799,1.06085e+08
2989,2989,2989,569399,1.0847e+08
3209,3209,3209,614508,1.17675e+08
3116,3116,3116,599809,1.15459e+08
3052,3052,3052,590588,1.14284e+08
2993,2993,2993,582125,1.13221e+08
2853,2853,2853,557748,1.09038e+08
2798,2798,2798,549804,1.08036e+08
2780,2780,2780,549062,1.08442e+08
2754,2754,2754,546669,1.08514e+08
2511,2511,2511,500943,9.99379e+07
2388,2388,2388,478751,9.59812e+07
2365,2365,2365,476539,9.6021e+07
2221,2221,2221,449751,9.10744e+07
2147,2147,2147,436907,8.89091e+07
2005,2005,2005,410000,8.38408e+07
1929,1929,1929,396415,8.14645e+07
1842,1842,1842,380368,7.85449e+07
1763,1763,1763,365823,7.59086e+07
1614,1614,1614,336523,7.01661e+07
1424,1424,1424,298312,6.24929e+07
1407,1407,1407,296148,6.2334e+07
1374,1374,1374,290590,6.14577e+07
1293,1293,1293,274754,5.83834e+07
1197,1197,1197,255552,5.45589e+07
1069,1069,1069,229310,4.91889e+07
1076,1076,1076,231875,4.99685e+07
1014,1014,1014,219503,4.75166e+07
911,911,911,198129,4.30904e+07
869,869,869,189875,4.14873e+07
830,830,830,182157,3.99772e+07
799,799,799,176174,3.88454e+07
670,670,670,148403,3.28709e+07
670,670,670,149071,3.31673e+07
670,670,670,149745,3.3468e+07
562,562,562,126156,2.83192e+07
545,545,545,122901,2.7715e+07
476,476,476,107803,2.44147e+07
409,409,409,93049.8,2.11694e+07
401,401,401,91622,2.09342e+07
420,420,420,96383.8,2.21187e+07
407,407,407,93818.6,2.16264e+07
331,331,331,76620.6,1.77363e+07
291,291,291,67652.5,1.57281e+07
260,260,260,60704.1,1.41731e+07
251,251,251,58850.8,1.37985e+07
228,228,228,53691.8,1.26439e+07
199,199,199,47054.7,1.11264e+07
215,215,215,51060.3,1.21263e+07
194,194,194,46264.3,1.10329e+07
170,170,170,40715.8,9.75165e+06
138,138,138,33192.6,7.9837e+06
128,128,128,30912.5,7.46549e+06
135,135,135,32736.1,7.93819e+06
102,102,102,24833.9,6.04629e+06
105,105,105,25673.9,6.2776e+06
83,83,83,20376.6,5.00248e+06
88,88,88,21692,5.3471e+06
79,79,79,19554,4.83998e+06
77,77,77,19133.9,4.75463e+06
77,77,77,19212.2,4.79363e+06
49,49,49,12275.6,3.07531e+06
58,58,58,14585,3.66762e+06
54,54,54,13631.8,3.44121e+06
45,45,45,11404.6,2.89032e+06
46,46,46,11704.9,2.97837e+06
39,39,39,9964.87,2.54612e+06
45,45,45,11542.1,2.96047e+06
33,33,33,8497.28,2.18799e+06
22,22,22,5687.77,1.47049e+06
30,30,30,7788.05,2.02179e+06
25,25,25,6514.23,1.69741e+06
19,19,19,4966.39,1.29816e+06
21,21,21,5512.44,1.447e+06
22,22,22,5794.16,1.52602e+06
24,24,24,6349.79,1.68e+06
12,12,12,3187.28,846564
11,11,11,2932.46,781759
16,16,16,4280.2,1.14501e+06
13,13,13,3492.83,938452
10,10,10,2693.5,725496
6,6,6,1622.98,439009
9,9,9,2444.42,663913
11,11,11,2996.85,816467
11,11,11,3009,823097
15,15,15,4117.92,1.13048e+06
10,10,10,2753.79,758339
10,10,10,2764.34,764159
9,9,9,2497.28,692934
7,7,7,1949.38,542868
7,7,7,1955.98,546553
4,4,4,1120.5,313880
7,7,7,1970.97,554959
5,5,5,1412.5,399030
7,7,7,1985.42,563126
5,5,5,1423.33,405175
8,8,8,2285.07,652695
1,1,1,286.734,82216.5
3,3,3,862.269,247836
6,6,6,1729.75,498673
3,3,3,868.337,251337
2,2,2,580.703,168608
2,2,2,582.871,169870
3,3,3,877.18,256482
1,1,1,293.074,85892.3
1,1,1,294.428,86688
5,5,5,1476.64,436095
2,2,2,592.98,175813
3,3,3,892.555,265552
3,3,3,895.311,267194
1,1,1,299.189,89513.9
1,1,1,300.288,90172.6
1,1,1,301.175,90706.2
2,2,2,604.657,182805
1,1,1,303.333,92010.9
0,0,0,0,0
0,0,0,0,0
2,2,2,612.986,187876
2,2,2,614.883,189040
1,1,1,308.189,94980.6
1,1,1,309.92,96050.6
2,2,2,621.452,193101
0,0,0,0,0
0,0,0,0,0
2,2,2,626.804,196442
1,1,1,314.127,98675.5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,318.054,101158
1,1,1,319.658,102181
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,649.105,210669
1,1,1,325.769,106125
0,0,0,0,0
1,1,1,327.743,107415
3,3,3,985.143,323503
0,0,0,0,0
1,1,1,330.851,109462
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,334.854,112127
1,1,1,335.035,112249
1,1,1,336.201,113031
1,1,1,337.446,113870
1,1,1,338.299,114446
1,1,1,339.435,115216
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
