#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
99098388,9.90984e+07,9.90984e+07,356.368,254.644
895,895,895,1336.72,2066.46
839,839,839,2107.89,5367.33
788,788,788,2763.33,9755.44
983,983,983,4441.67,20151.5
980,980,980,5396.49,29798.6
958,958,958,6218.84,40451.9
968,968,968,7263.42,54579.5
1003,1003,1003,8537.41,72752
956,956,956,9074.86,86221
946,946,946,9925.21,104214
953,953,953,10965.6,126256
945,945,945,11820.6,147941
951,951,951,12836.1,173339
974,974,974,14130.2,205068
931,931,931,14420.1,223428
951,951,951,15679.3,258585
951,951,951,16643.3,291352
1001,1001,1001,18515.1,342547
976,976,976,19045,371709
889,889,889,18224.2,373660
946,946,946,20335.2,437202
932,932,932,20976.3,472192
939,939,939,22091.8,519829
964,964,964,23626,579112
939,939,939,23939.3,610397
984,984,984,26091.2,691898
925,925,925,25415.3,698386
925,925,925,26371.9,751946
857,857,857,25283.7,746006
975,975,975,29726.4,906396
888,888,888,27969.2,881015
925,925,925,30071.5,977694
993,993,993,33283.9,1.11571e+06
972,972,972,33544.9,1.15775e+06
924,924,924,32806.8,1.16489e+06
984,984,984,35926.1,1.31175e+06
998,998,998,37426.3,1.40362e+06
941,941,941,36237.6,1.39558e+06
945,945,945,37318.4,1.47379e+06
997,997,997,40377.4,1.63533e+06
944,944,944,39166.4,1.62508e+06
961,961,961,40832,1.73499e+06
912,912,912,39664.3,1.72514e+06
964,964,964,42884.4,1.90783e+06
919,919,919,41815.7,1.90275e+06
865,865,865,40204.3,1.86873e+06
941,941,941,44701.5,2.12359e+06
935,935,935,45355.7,2.20022e+06
907,907,907,44899.5,2.22274e+06
946,946,946,47765.6,2.41187e+06
967,967,967,49801.5,2.56491e+06
979,979,979,51385.7,2.69721e+06
901,901,901,48204.1,2.57903e+06
971,971,971,52924.4,2.88472e+06
935,935,935,51883,2.87905e+06
931,931,931,52614.1,2.97349e+06
996,996,996,57265.1,3.29255e+06
956,956,956,55943.3,3.27377e+06
951,951,951,56564.3,3.36445e+06
980,980,980,59290.2,3.58715e+06
885,885,885,54428.4,3.34747e+06
945,945,945,59064.9,3.69179e+06
894,894,894,56766.5,3.60459e+06
958,958,958,61785.9,3.98494e+06
971,971,971,63613.2,4.16757e+06
914,914,914,60773.8,4.04106e+06
880,880,880,59405.2,4.01028e+06
918,918,918,62879.1,4.30703e+06
917,917,917,63739.7,4.43056e+06
925,925,925,65210,4.59721e+06
925,925,925,66130.9,4.72797e+06
945,945,945,68495.7,4.9648e+06
1017,1017,1017,74754.8,5.49496e+06
934,934,934,69585.7,5.18441e+06
960,960,960,72479.6,5.47225e+06
955,955,955,73057,5.5889e+06
943,943,943,73080,5.66358e+06
941,941,941,73864.9,5.79819e+06
906,906,906,72027.1,5.72625e+06
929,929,929,74786.4,6.02055e+06
971,971,971,79141.8,6.45056e+06
958,958,958,79035.2,6.5205e+06
892,892,892,74482.3,6.21937e+06
1007,1007,1007,85088.3,7.18977e+06
951,951,951,81304.7,6.95113e+06
877,877,877,75862.2,6.56231e+06
919,919,919,80421.6,7.03776e+06
972,972,972,86017.7,7.61226e+06
958,958,958,85729.2,7.67178e+06
959,959,959,86784.5,7.85362e+06
917,917,917,83905.9,7.6775e+06
912,912,912,84359.7,7.80331e+06
986,986,986,92193.6,8.62043e+06
939,939,939,88742.5,8.3869e+06
947,947,947,90429.2,8.63517e+06
921,921,921,88874.2,8.57621e+06
948,948,948,92438,9.01356e+06
911,911,911,89729.4,8.83802e+06
913,913,913,90839.3,9.03818e+06
946,946,946,95072.4,9.55479e+06
945,945,945,95912.3,9.73466e+06
