#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
99080513,9.90805e+07,9.90805e+07,357.895,252.401
925,925,925,1390.49,2170.18
901,901,901,2263.31,5760.56
870,870,870,3052.89,10784.4
858,858,858,3862.74,17461.3
947,947,947,5205.06,28690.8
1006,1006,1006,6520.71,42351.2
1015,1015,1015,7600.69,57000.4
1007,1007,1007,8541.97,72540.2
957,957,957,9098.49,86580.4
968,968,968,10167.7,106881
955,955,955,10974.8,126203
916,916,916,11459.4,143437
974,974,974,13144.3,177464
942,942,942,13660.1,198166
955,955,955,14795,229284
957,957,957,15804,261068
952,952,952,16659.7,291617
931,931,931,17223.9,318727
908,908,908,17717.4,345789
968,968,968,19836,406555
925,925,925,19884.3,427520
946,946,946,21291.6,479280
958,958,958,22517.8,529365
958,958,958,23475.5,575345
956,956,956,24361.5,620880
981,981,981,25991.5,688725
921,921,921,25318,696058
876,876,876,24975.4,712139
906,906,906,26728.7,788617
938,938,938,28606.6,872509
942,942,942,29676,934964
877,877,877,28506.6,926670
972,972,972,32575.7,1.09183e+06
978,978,978,33742.4,1.16424e+06
986,986,986,34999,1.24241e+06
970,970,970,35386.6,1.29102e+06
892,892,892,33454.9,1.25481e+06
960,960,960,36967.9,1.42364e+06
978,978,978,38619.6,1.5251e+06
945,945,945,38295.7,1.55199e+06
969,969,969,40214.8,1.66905e+06
960,960,960,40789,1.73314e+06
1015,1015,1015,44157.2,1.92113e+06
966,966,966,42994.8,1.9137e+06
966,966,966,43948.3,1.99952e+06
995,995,995,46261.8,2.15099e+06
954,954,954,45304.8,2.15158e+06
915,915,915,44373.9,2.15204e+06
948,948,948,46920.6,2.32238e+06
891,891,891,45004.8,2.27329e+06
951,951,951,48984.5,2.52319e+06
953,953,953,50045,2.6281e+06
948,948,948,50714,2.71307e+06
974,974,974,53078.5,2.89261e+06
973,973,973,53993.8,2.99631e+06
993,993,993,56106.1,3.17016e+06
948,948,948,54526,3.13625e+06
928,928,928,54295.9,3.17685e+06
891,891,891,53017,3.15474e+06
895,895,895,54149.4,3.27623e+06
947,947,947,58238.5,3.58162e+06
939,939,939,58686.3,3.6679e+06
956,956,956,60694,3.85339e+06
955,955,955,61609.5,3.97467e+06
