#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9928556,9.92856e+06,9.92856e+06,23.5993,17.2258
43,43,43,65.5053,103.075
37,37,37,94.4578,244.171
44,44,44,152.344,531.891
38,38,38,171.362,775.243
43,43,43,235.024,1288.7
38,38,38,249.303,1639.14
41,41,41,309.296,2337.33
52,52,52,440.686,3738.48
39,39,39,369.196,3497.81
37,37,37,389.432,4101.37
43,43,43,492.072,5635.04
49,49,49,610.556,7611.01
38,38,38,509.635,6838.21
49,49,49,707.881,10231
48,48,48,743.757,11529.5
60,60,60,988.222,16281.1
55,55,55,964.873,16931.1
45,45,45,831.854,15381.8
36,36,36,700.86,13647.4
34,34,34,696.934,14288
53,53,53,1139.36,24498.8
48,48,48,1078.89,24254.4
36,36,36,842.94,19739.9
52,52,52,1273.86,31210.8
52,52,52,1328.35,33937
36,36,36,955.756,25377
39,39,39,1072.4,29492.7
42,42,42,1198.8,34220.2
42,42,42,1235.79,36363.9
53,53,53,1618.56,49433
35,35,35,1102.2,34712.4
42,42,42,1367.18,44508.1
42,42,42,1402.71,46850.6
42,42,42,1447.06,49860.1
47,47,47,1668.91,59264.8
41,41,41,1493.36,54395.9
42,42,42,1575.06,59070.4
47,47,47,1807.26,69498
33,33,33,1302.51,51412.5
43,43,43,1742.4,70606.9
42,42,42,1740.42,72123.7
45,45,45,1911.25,81178.1
46,46,46,2002.22,87154.1
48,48,48,2136.08,95064.8
42,42,42,1912.63,87102.9
36,36,36,1672,77657.9
46,46,46,2185.39,103828
45,45,45,2179.28,105543
54,54,54,2672.6,132278
52,52,52,2622.82,132296
58,58,58,2987.22,153858
53,53,53,2781.99,146032
43,43,43,2298.61,122878
45,45,45,2448.99,133283
61,61,61,3383.92,187726
59,59,59,3334.14,188421
51,51,51,2932.04,168571
62,62,62,3627.34,212224
55,55,55,3269.43,194353
57,57,57,3446.82,208435
67,67,67,4119.56,253300
74,74,74,4628.28,289478
61,61,61,3872.12,245797
69,69,69,4452.87,287369
77,77,77,5042.58,330233
74,74,74,4925.3,327825
79,79,79,5333.33,360063
90,90,90,6159.72,421586
81,81,81,5637,392301
91,91,91,6413.85,452068
92,92,92,6576.94,470183
104,104,104,7538.22,546400
110,110,110,8084.13,594129
109,109,109,8118.13,604633
105,105,105,7928.62,598706
131,131,131,10018.3,766161
115,115,115,8909.97,690337
122,122,122,9577.96,751955
124,124,124,9864.1,784692
131,131,131,10551.7,849924
143,143,143,11651.2,949317
144,144,144,11877.4,979690
136,136,136,11352.7,947690
136,136,136,11491.3,970970
133,133,133,11373,972530
148,148,148,12802.4,1.10746e+06
144,144,144,12602.7,1.10299e+06
144,144,144,12741.5,1.12741e+06
133,133,133,11900.2,1.06477e+06
157,157,157,14214.5,1.28698e+06
146,146,146,13353.1,1.22129e+06
170,170,170,15725.5,1.45467e+06
153,153,153,14307,1.33787e+06
152,152,152,14364.1,1.35743e+06
165,165,165,15755.7,1.50451e+06
171,171,171,16506,1.59328e+06
154,154,154,15015.5,1.46407e+06
166,166,166,16352.9,1.61096e+06
163,163,163,16221.7,1.6144e+06
155,155,155,15577,1.56546e+06
149,149,149,15118.9,1.53411e+06
154,154,154,15786.3,1.61823e+06
151,151,151,15631.9,1.61826e+06
139,139,139,14528.4,1.51853e+06
145,145,145,15300.3,1.6145e+06
149,149,149,15868.8,1.69008e+06
150,150,150,16119.6,1.73228e+06
176,176,176,19096.1,2.07195e+06
159,159,159,17407.4,1.90578e+06
160,160,160,17677.3,1.95305e+06
171,171,171,19064.4,2.12545e+06
137,137,137,15416.7,1.73487e+06
143,143,143,16233.7,1.84291e+06
149,149,149,17062.7,1.95395e+06
142,142,142,16404.5,1.89514e+06
135,135,135,15728.7,1.83255e+06
135,135,135,15864,1.86421e+06
170,170,170,20146.7,2.3876e+06
176,176,176,21032.8,2.51353e+06
159,159,159,19162,2.30933e+06
180,180,180,21860.7,2.65495e+06
162,162,162,19848.5,2.43189e+06
169,169,169,20875.4,2.5786e+06
155,155,155,19296.1,2.4022e+06
174,174,174,21836.3,2.74038e+06
134,134,134,16948,2.14355e+06
162,162,162,20653.7,2.63319e+06
151,151,151,19407.2,2.49431e+06
152,152,152,19685.1,2.54936e+06
162,162,162,21145.3,2.76003e+06
178,178,178,23415.7,3.08033e+06
194,194,194,25704.1,3.40569e+06
186,186,186,24836.9,3.31654e+06
196,196,196,26363.3,3.54604e+06
200,200,200,27099,3.6718e+06
223,223,223,30435.1,4.15382e+06
220,220,220,30251.5,4.15979e+06
222,222,222,30750.1,4.25933e+06
214,214,214,29854.7,4.165e+06
232,232,232,32599.6,4.58077e+06
282,282,282,39902,5.64602e+06
268,268,268,38183.7,5.44031e+06
248,248,248,35586.6,5.1065e+06
262,262,262,37860.7,5.47115e+06
249,249,249,36230.8,5.27179e+06
279,279,279,40876.1,5.98874e+06
277,277,277,40853.8,6.02541e+06
274,274,274,40688.3,6.04212e+06
274,274,274,40958.7,6.12271e+06
287,287,287,43204.2,6.50387e+06
284,284,284,43026.9,6.51873e+06
310,310,310,47267.3,7.20712e+06
270,270,270,41437.7,6.35957e+06
290,290,290,44798.8,6.92047e+06
295,295,295,45878.1,7.13494e+06
291,291,291,45538.1,7.12622e+06
280,280,280,44103.9,6.94701e+06
305,305,305,48338.6,7.66107e+06
288,288,288,45936.9,7.3271e+06
273,273,273,43826,7.03563e+06
301,301,301,48603.1,7.84805e+06
301,301,301,48907.4,7.94665e+06
312,312,312,51020,8.3431e+06
304,304,304,50007.6,8.2262e+06
267,267,267,44192.2,7.31443e+06
296,296,296,49274.8,8.20276e+06
275,275,275,46062.8,7.71559e+06
300,300,300,50550.5,8.51786e+06
283,283,283,47972.5,8.13205e+06
309,309,309,52684.4,8.98271e+06
304,304,304,52141.2,8.94313e+06
308,308,308,53128,9.16428e+06
318,318,318,55172.6,9.5724e+06
312,312,312,54442.6,9.5e+06
286,286,286,50202.3,8.81216e+06
288,288,288,50834.3,8.97268e+06
