#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9935999,9.936e+06,9.936e+06,13.1933,8.18142
26,26,26,39.7674,63.1855
31,31,31,79.161,204.235
36,36,36,124.492,433.69
42,42,42,191.571,877.721
49,49,49,271.709,1511.35
40,40,40,259.858,1692.44
39,39,39,293.114,2206.48
54,54,54,457.359,3878.26
44,44,44,419.871,4010.83
48,48,48,502.478,5264.33
41,41,41,473.964,5481.98
51,51,51,634.07,7887.35
58,58,58,780.394,10504.7
47,47,47,680.11,9845.31
37,37,37,569.717,8775.54
28,28,28,459.174,7531.78
35,35,35,614.328,10786.4
36,36,36,667.267,12371.1
36,36,36,701.807,13684
38,38,38,780.358,16027.2
47,47,47,1010.21,21717.2
43,43,43,969.799,21874.7
44,44,44,1033.91,24297.9
26,26,26,639.599,15736.1
36,36,36,918.711,23448.5
37,37,37,977.09,25805.7
32,32,32,882.511,24341.6
38,38,38,1084.33,30944.3
36,36,36,1061.61,31309.5
51,51,51,1552.55,47266.8
39,39,39,1230.27,38811.5
44,44,44,1432.98,46672.6
47,47,47,1576.21,52864.5
27,27,27,932.047,32176.9
29,29,29,1028.95,36510.2
37,37,37,1350.97,49331.1
41,41,41,1537.03,57624.2
39,39,39,1500.8,57756.7
42,42,42,1658.69,65508.9
38,38,38,1537.31,62195
51,51,51,2116.15,87809.4
42,42,42,1783.22,75713.7
42,42,42,1825.74,79368.4
34,34,34,1513.67,67390.8
41,41,41,1864.24,84769.6
57,57,57,2646.2,122853
40,40,40,1898.26,90087.8
42,42,42,2035.15,98618.7
44,44,44,2178.11,107825
50,50,50,2525.31,127548
44,44,44,2263.22,116416
52,52,52,2730.14,143343
55,55,55,2938.02,156949
37,37,37,2014.42,109677
42,42,42,2328.88,129138
39,39,39,2206.8,124874
54,54,54,3104.96,178537
55,55,55,3217.03,188172
70,70,70,4168.68,248261
65,65,65,3933.62,238058
55,55,55,3384.93,208327
60,60,60,3749.83,234359
62,62,62,3933.44,249552
59,59,59,3808.26,245816
56,56,56,3667.7,240219
68,68,68,4519,300320
66,66,66,4451.74,300278
68,68,68,4664.57,319978
64,64,64,4450.1,309432
68,68,68,4796.75,338370
80,80,80,5720.77,409099
79,79,79,5730.42,415675
103,103,103,7571.43,556576
