#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9929586,9.92959e+06,9.92959e+06,10.6233,6.46444
50,50,50,73.1738,111.533
57,57,57,140.318,350.36
41,41,41,142.554,499.521
33,33,33,149.98,684.864
53,53,53,288.549,1574.76
49,49,49,316.415,2046.53
48,48,48,359.055,2689.93
42,42,42,354.685,2997.98
55,55,55,525.27,5021.69
54,54,54,567.7,5972.34
38,38,38,437.02,5029.69
42,42,42,522.852,6512.16
45,45,45,605.881,8160.92
46,46,46,668.948,9731.5
45,45,45,697.653,10820.4
47,47,47,774.808,12776.5
52,52,52,910.752,15955
46,46,46,850.474,15727.5
36,36,36,699.757,13605.3
40,40,40,821.37,16868.3
35,35,35,753.094,16207.5
45,45,45,1010.75,22707
30,30,30,703.267,16488.3
33,33,33,807.62,19767.7
46,46,46,1176.68,30102.6
38,38,38,1007.07,26692
36,36,36,990.551,27258
27,27,27,768.634,21884.9
43,43,43,1267.06,37339.4
31,31,31,945.258,28825.7
40,40,40,1260.74,39741.2
38,38,38,1234.59,40114
53,53,53,1777.52,59619.4
46,46,46,1589.1,54900.7
35,35,35,1243.34,44171.4
44,44,44,1605.71,58602.4
35,35,35,1314.37,49361.9
49,49,49,1887.53,72714.1
46,46,46,1819.3,71956.2
52,52,52,2104.51,85175.8
54,54,54,2242.39,93120.9
45,45,45,1911.81,81226.4
36,36,36,1564.17,67964.9
42,42,42,1871.02,83353.7
35,35,35,1592.59,72469.6
59,59,59,2743.59,127586
44,44,44,2089,99182.8
47,47,47,2278.76,110488
51,51,51,2524.93,125009
41,41,41,2070.62,104576
51,51,51,2629.48,135576
54,54,54,2837.26,149079
56,56,56,2998.49,160558
48,48,48,2616.06,142583
48,48,48,2664.21,147879
59,59,59,3332.33,188215
63,63,63,3623.4,208402
57,57,57,3334.68,195094
72,72,72,4288.34,255421
58,58,58,3509.18,212321
69,69,69,4245.44,261219
62,62,62,3878.33,242608
77,77,77,4888.25,310331
75,75,75,4839.4,312270
73,73,73,4780.45,313056
77,77,77,5121.6,340664
74,74,74,4998.78,337680
90,90,90,6167.03,422588
83,83,83,5770.71,401226
65,65,65,4580.25,322755
86,86,86,6152.22,440122
99,99,99,7175.02,520019
106,106,106,7796.49,573455
90,90,90,6703.26,499271
102,102,102,7700.16,581307
110,110,110,8413.89,643585
117,117,117,9070.13,703147
126,126,126,9887.58,775918
120,120,120,9539.32,758332
142,142,142,11433.2,920560
131,131,131,10679.9,870700
120,120,120,9896.1,816118
138,138,138,11519.9,961673
136,136,136,11485.8,970034
102,102,102,8722.52,745914
131,131,131,11333.5,980536
139,139,139,12158.5,1.06353e+06
142,142,142,12561.7,1.11125e+06
133,133,133,11910.7,1.06666e+06
141,141,141,12755.2,1.15388e+06
135,135,135,12348,1.12944e+06
133,133,133,12301.7,1.13784e+06
120,120,120,11216.6,1.04845e+06
129,129,129,12189,1.15174e+06
140,140,140,13377.2,1.27822e+06
125,125,125,12065.8,1.16467e+06
130,130,130,12672.8,1.23539e+06
124,124,124,12209.7,1.20224e+06
126,126,126,12537.5,1.24754e+06
119,119,119,11960.1,1.20206e+06
160,160,160,16234.2,1.6472e+06
143,143,143,14659.1,1.50273e+06
155,155,155,16040.1,1.65992e+06
157,157,157,16402.2,1.71359e+06
128,128,128,13505.8,1.42506e+06
123,123,123,13101.6,1.39556e+06
128,128,128,13759.4,1.47908e+06
132,132,132,14317.4,1.55295e+06
135,135,135,14780.6,1.61827e+06
149,149,149,16466.9,1.81988e+06
149,149,149,16609.8,1.8516e+06
127,127,127,14289,1.6077e+06
128,128,128,14527,1.64871e+06
133,133,133,15227.4,1.74343e+06
155,155,155,17904.2,2.06815e+06
114,114,114,13285.5,1.54829e+06
129,129,129,15154.9,1.78042e+06
112,112,112,13269.3,1.57211e+06
139,139,139,16608.8,1.98457e+06
125,125,125,15061.1,1.8147e+06
133,133,133,16162.2,1.96404e+06
149,149,149,18250.2,2.23538e+06
157,157,157,19392.6,2.39538e+06
139,139,139,17311.4,2.15601e+06
143,143,143,17946.9,2.2524e+06
142,142,142,17956.5,2.27068e+06
104,104,104,13256.3,1.68972e+06
137,137,137,17601.9,2.26151e+06
149,149,149,19295.4,2.49875e+06
146,146,146,19054.6,2.48685e+06
146,146,146,19202.5,2.52561e+06
167,167,167,22127.1,2.93181e+06
154,154,154,20559.8,2.74486e+06
165,165,165,22191,2.9845e+06
171,171,171,23170.4,3.13959e+06
178,178,178,24299.2,3.31715e+06
171,171,171,23506.7,3.23139e+06
176,176,176,24376.9,3.37634e+06
170,170,170,23716.1,3.30856e+06
165,165,165,23182.8,3.25723e+06
207,207,207,29290.9,4.14474e+06
178,178,178,25369.8,3.61589e+06
201,201,201,28840.8,4.1383e+06
235,235,235,33959.3,4.90739e+06
204,204,204,29684.2,4.31938e+06
199,199,199,29150,4.26999e+06
200,200,200,29497.7,4.3506e+06
204,204,204,30291.4,4.49792e+06
205,205,205,30646.9,4.58165e+06
238,238,238,35820.4,5.39121e+06
225,225,225,34087.1,5.16416e+06
271,271,271,41334.5,6.3046e+06
260,260,260,39911.5,6.12668e+06
266,266,266,41103.9,6.35165e+06
268,268,268,41662.1,6.47662e+06
249,249,249,38972.3,6.09978e+06
266,266,266,41898.9,6.59971e+06
261,261,261,41372,6.55805e+06
295,295,295,47059,7.50697e+06
277,277,277,44451.2,7.13327e+06
290,290,290,46838.2,7.5649e+06
294,294,294,47768.5,7.76137e+06
314,314,314,51336,8.39298e+06
285,285,285,46880.1,7.71141e+06
291,291,291,48164.5,7.9719e+06
308,308,308,51281.7,8.53838e+06
291,291,291,48745.1,8.16527e+06
293,293,293,49369.2,8.31851e+06
278,278,278,47111,7.98365e+06
320,320,320,54560.5,9.30269e+06
352,352,352,60359.4,1.03502e+07
314,314,314,54156.9,9.34069e+06
329,329,329,57087.6,9.90578e+06
299,299,299,52174.4,9.10428e+06
327,327,327,57384.4,1.00703e+07
343,343,343,60535.2,1.06837e+07
361,361,361,64077,1.13736e+07
356,356,356,63548.7,1.1344e+07
348,348,348,62466.7,1.12129e+07
376,376,376,67867.6,1.22501e+07
398,398,398,72242.5,1.31131e+07
366,366,366,66802.8,1.2193e+07
368,368,368,67527.2,1.23911e+07
404,404,404,74545,1.37549e+07
400,400,400,74195.3,1.37624e+07
415,415,415,77398.6,1.44351e+07
403,403,403,75565.3,1.41691e+07
461,461,461,86898.2,1.63803e+07
514,514,514,97406.1,1.84591e+07
616,616,616,117351,2.2356e+07
691,691,691,132334,2.53436e+07
774,774,774,148999,2.8683e+07
863,863,863,167009,3.23198e+07
920,920,920,178956,3.481e+07
1027,1027,1027,200785,3.92549e+07
1088,1088,1088,213801,4.20138e+07
1183,1183,1183,233645,4.61453e+07
1210,1210,1210,240189,4.76783e+07
1267,1267,1267,252771,5.04287e+07
1215,1215,1215,243596,4.88387e+07
1264,1264,1264,254691,5.13193e+07
1253,1253,1253,253711,5.13722e+07
1205,1205,1205,245230,4.9907e+07
1246,1246,1246,254788,5.21006e+07
1219,1219,1219,250502,5.14778e+07
1240,1240,1240,256066,5.28788e+07
1147,1147,1147,238006,4.93871e+07
1139,1139,1139,237463,4.95073e+07
1057,1057,1057,221423,4.63845e+07
1068,1068,1068,224809,4.73214e+07
1013,1013,1013,214258,4.53173e+07
933,933,933,198257,4.21285e+07
942,942,942,201116,4.2938e+07
866,866,866,185750,3.98419e+07
892,892,892,192227,4.14254e+07
825,825,825,178612,3.86696e+07
803,803,803,174663,3.79915e+07
774,774,774,169118,3.69522e+07
736,736,736,161540,3.54555e+07
699,699,699,154113,3.39784e+07
694,694,694,153736,3.40559e+07
692,692,692,153955,3.42518e+07
617,617,617,137895,3.08188e+07
575,575,575,129079,2.89765e+07
536,536,536,120859,2.72519e+07
505,505,505,114382,2.59076e+07
520,520,520,118305,2.69157e+07
482,482,482,110127,2.51617e+07
467,467,467,107191,2.46039e+07
407,407,407,93823,2.16284e+07
404,404,404,93522,2.16494e+07
377,377,377,87647.3,2.03768e+07
320,320,320,74718.4,1.74464e+07
364,364,364,85343.6,2.00097e+07
304,304,304,71591.9,1.68599e+07
278,278,278,65744.3,1.55479e+07
286,286,286,67929.9,1.61345e+07
247,247,247,58908.3,1.40494e+07
259,259,259,62028.1,1.48552e+07
220,220,220,52907.8,1.27238e+07
194,194,194,46849.5,1.13138e+07
208,208,208,50438.7,1.22311e+07
183,183,183,44564.1,1.08523e+07
171,171,171,41802.3,1.02189e+07
144,144,144,35352.5,8.67916e+06
141,141,141,34754.5,8.56653e+06
134,134,134,33166.9,8.20931e+06
130,130,130,32296.6,8.02363e+06
110,110,110,27444.5,6.84729e+06
105,105,105,26298.8,6.58693e+06
115,115,115,28923.8,7.27466e+06
91,91,91,22974.8,5.80046e+06
81,81,81,20537.5,5.20729e+06
74,74,74,18832.1,4.79256e+06
67,67,67,17120.4,4.37474e+06
72,72,72,18469.4,4.73776e+06
61,61,61,15708.1,4.045e+06
56,56,56,14478.9,3.74357e+06
55,55,55,14272,3.70345e+06
59,59,59,15371.2,4.00466e+06
43,43,43,11244.8,2.94058e+06
43,43,43,11288.8,2.96368e+06
36,36,36,9487.2,2.5002e+06
40,40,40,10575.6,2.79609e+06
27,27,27,7169.98,1.90402e+06
38,38,38,10127.9,2.69935e+06
23,23,23,6152.96,1.64604e+06
26,26,26,6980.38,1.87407e+06
23,23,23,6198.22,1.67035e+06
25,25,25,6761.59,1.82876e+06
13,13,13,3529.38,958195
20,20,20,5449.9,1.48507e+06
15,15,15,4102.92,1.12226e+06
8,8,8,2194.98,602244
14,14,14,3857.55,1.06291e+06
12,12,12,3317.26,917017
17,17,17,4717.55,1.30913e+06
11,11,11,3064.92,853975
19,19,19,5310.52,1.4843e+06
17,17,17,4767.64,1.33709e+06
10,10,10,2814.97,792405
20,20,20,5650.69,1.59652e+06
9,9,9,2551.32,723246
9,9,9,2559.32,727791
6,6,6,1712.46,488752
8,8,8,2291.03,656101
10,10,10,2873.5,825699
9,9,9,2598.01,749960
10,10,10,2893.95,837495
6,6,6,1742.79,506222
7,7,7,2040.73,594943
4,4,4,1170.14,342306
3,3,3,881.453,258986
6,6,6,1767.21,520505
5,5,5,1478.16,436994
0,0,0,0,0
6,6,6,1784.99,531032
3,3,3,896.111,267672
4,4,4,1198.57,359143
2,2,2,601.486,180893
1,1,1,301.661,90999.6
4,4,4,1210.72,366461
3,3,3,909.45,275700
3,3,3,912.645,277640
5,5,5,1527.08,466397
3,3,3,919.634,281909
5,5,5,1538.12,473163
3,3,3,926.254,285983
4,4,4,1237.96,383134
2,2,2,621.611,193200
2,2,2,622.497,193751
2,2,2,624.975,195297
1,1,1,313.238,98117.8
2,2,2,628.762,197671
2,2,2,630.79,198948
2,2,2,633.584,200714
1,1,1,317.694,100930
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,642.182,206199
0,0,0,0,0
2,2,2,646.875,209224
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,332.837,110781
1,1,1,333.328,111107
0,0,0,0,0
1,1,1,335.007,112230
0,0,0,0,0
1,1,1,337.964,114220
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,342.706,117447
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,346.867,120317
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,350.69,122983
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,365.968,133933
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
