#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9917380,9.91738e+06,9.91738e+06,22.9004,16.8939
37,37,37,57.8131,93.4476
37,37,37,94.29,242.571
57,57,57,197.873,690.324
53,53,53,238.663,1078.66
42,42,42,231.377,1278.3
58,58,58,379.421,2487.69
41,41,41,308.084,2318.09
51,51,51,436.771,3744.36
53,53,53,506.331,4842.41
49,49,49,518.292,5485.65
50,50,50,573.942,6592.29
48,48,48,598.391,7463.17
50,50,50,674.283,9097.42
38,38,38,550.869,7988.61
35,35,35,546.278,8529.77
51,51,51,841.397,13884.8
49,49,49,859.19,15069.4
50,50,50,923.578,17063.7
50,50,50,971.914,18896.4
49,49,49,1003.62,20559.9
37,37,37,794.049,17044.5
53,53,53,1189.34,26694
49,49,49,1153.12,27141
50,50,50,1224.78,30005.7
53,53,53,1352.68,34527.6
45,45,45,1193.11,31637.3
59,59,59,1623.68,44687.6
63,63,63,1795.49,51176.8
45,45,45,1328.02,39195.5
50,50,50,1525.77,46563.8
44,44,44,1384.81,43588.4
48,48,48,1560.88,50763.1
57,57,57,1908.53,63907.8
51,51,51,1762.2,60893.2
44,44,44,1562.47,55487.9
52,52,52,1898.75,69336.5
53,53,53,1989.04,74651.7
38,38,38,1464.41,56437.5
56,56,56,2212.9,87449.7
55,55,55,2227.69,90233.4
46,46,46,1906.49,79019.8
59,59,59,2509.16,106715
48,48,48,2088.68,90890.7
51,51,51,2267.77,100842
49,49,49,2227.08,101225
46,46,46,2140.8,99635
52,52,52,2469.46,117278
60,60,60,2913.31,141460
66,66,66,3268.75,161895
61,61,61,3080.44,155564
59,59,59,3043.9,157045
53,53,53,2783.63,146205
56,56,56,2997.08,160406
59,59,59,3215.74,175275
49,49,49,2720.3,151027
53,53,53,2995.04,169254
58,58,58,3332.6,191492
62,62,62,3629.13,212434
62,62,62,3690.94,219731
59,59,59,3568.14,215795
61,61,61,3748.2,230316
60,60,60,3752.4,234680
81,81,81,5141.77,326400
71,71,71,4581.44,295634
71,71,71,4648.77,304387
67,67,67,4455.8,296335
