#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9909544,9.90954e+06,9.90954e+06,30.4359,20.9212
87,87,87,128.024,196.097
76,76,76,191.967,491.156
74,74,74,258.209,906.751
88,88,88,398.154,1808.47
87,87,87,478.144,2635.28
112,112,112,726.197,4716.62
90,90,90,671.103,5010.61
87,87,87,736.736,6245
98,98,98,928.417,8802.74
107,107,107,1119.76,11726.8
103,103,103,1182.58,13586
90,90,90,1121.44,13980.8
81,81,81,1094.05,14783.8
101,101,101,1468.62,21363.7
101,101,101,1570.35,24424.3
92,92,92,1521.25,25160.6
109,109,109,1907.77,33401
107,107,107,1978.2,36580.6
106,106,106,2064.77,40231
109,109,109,2233.73,45784.1
81,81,81,1737.11,37261.1
96,96,96,2157.65,48503.3
86,86,86,2014.67,47203
111,111,111,2716.72,66501
101,101,101,2575.15,65665.7
107,107,107,2835.33,75139.1
92,92,92,2528.25,69487.8
85,85,85,2429.68,69457.9
98,98,98,2888.74,85159
91,91,91,2773.34,84528.4
76,76,76,2391.74,75274.9
92,92,92,2989.86,97173.6
97,97,97,3247.14,108708
123,123,123,4247.97,146719
100,100,100,3550.47,126068
89,89,89,3246.2,118410
96,96,96,3597.2,134798
95,95,95,3658.43,140893
79,79,79,3120.53,123269
108,108,108,4372.03,176998
89,89,89,3691.77,153143
103,103,103,4381.05,186354
89,89,89,3870.78,168356
100,100,100,4453.75,198367
103,103,103,4686.76,213270
104,104,104,4835.39,224825
95,95,95,4511.12,214220
94,94,94,4563.27,221533
99,99,99,4902.31,242761
96,96,96,4851.38,245173
111,111,111,5715.2,294276
90,90,90,4728.73,248461
82,82,82,4387.08,234720
108,108,108,5890.43,321279
87,87,87,4825.48,267653
99,99,99,5592.37,315914
91,91,91,5233.81,301026
89,89,89,5207.51,304706
98,98,98,5831.84,347052
95,95,95,5745.56,347498
98,98,98,6028.05,370797
86,86,86,5371.63,335523
92,92,92,5845.93,371474
89,89,89,5737.63,369900
