#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9905720,9.90572e+06,9.90572e+06,31.3879,19.8945
80,80,80,120.532,187.896
87,87,87,216.96,547.956
96,96,96,336.876,1190.11
92,92,92,415.945,1887.96
96,96,96,527.66,2907.56
101,101,101,653.331,4234.13
108,108,108,812.17,6116.96
104,104,104,885.92,7554.41
98,98,98,934.46,8918.95
110,110,110,1152.14,12077.1
104,104,104,1196.12,13765.5
125,125,125,1559.66,19470.2
88,88,88,1189.04,16073.1
92,92,92,1339.95,19524.2
86,86,86,1333.59,20688.2
109,109,109,1797.8,29661.8
110,110,110,1926.97,33764.5
100,100,100,1848.51,34178.7
95,95,95,1853.57,36172.7
82,82,82,1679.04,34386.3
98,98,98,2102.23,45103.8
86,86,86,1935.3,43558.6
98,98,98,2297.53,53872
101,101,101,2477.17,60762.3
91,91,91,2314.65,58882.1
81,81,81,2147.33,56932.3
98,98,98,2694.42,74087.7
109,109,109,3104.1,88408
103,103,103,3041.26,89806.5
82,82,82,2494.81,75911.1
92,92,92,2896.94,91227.2
91,91,91,2957.71,96140
100,100,100,3354.17,112513
106,106,106,3659.48,126346
101,101,101,3585.07,127263
86,86,86,3140.31,114675
99,99,99,3713.41,139295
90,90,90,3467.67,133617
95,95,95,3752.2,148207
98,98,98,3970.71,160891
96,96,96,3983.22,165279
97,97,97,4122.19,175189
77,77,77,3346.57,145455
96,96,96,4272.94,190195
94,94,94,4279.94,194878
97,97,97,4512.8,209960
97,97,97,4605.33,218658
97,97,97,4706.51,228370
93,93,93,4603.37,227868
94,94,94,4745.07,239537
102,102,102,5255.3,270775
105,105,105,5512.63,289429
85,85,85,4546.43,243183
86,86,86,4692.69,256069
98,98,98,5443.09,302327
94,94,94,5307.2,299652
97,97,97,5578.14,320787
77,77,77,4505.8,263672
96,96,96,5712.73,339959
98,98,98,5929.12,358728
115,115,115,7071.51,434847
102,102,102,6378.42,398873
114,114,114,7239.34,459729
109,109,109,7037.91,454432
118,118,118,7728.59,506206
109,109,109,7249.16,482122
114,114,114,7694.39,519341
107,107,107,7330.62,502233
113,113,113,7848.87,545183
98,98,98,6918.54,488438
106,106,106,7577.98,541763
76,76,76,5508.81,399308
111,111,111,8159.55,599813
100,100,100,7446.73,554545
105,105,105,7930.44,598978
110,110,110,8409.62,642932
109,109,109,8444.96,654296
93,93,93,7299.22,572896
100,100,100,7945.92,631384
100,100,100,8050.82,648166
93,93,93,7581.39,618045
76,76,76,6269.84,517255
103,103,103,8603.65,718677
