#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9908569,9.90857e+06,9.90857e+06,34.7069,23.4927
100,100,100,149.441,231.039
94,94,94,231.034,576.21
95,95,95,334.039,1182.85
77,77,77,350.817,1603.6
88,88,88,487.603,2709.3
93,93,93,609.627,4005.46
97,97,97,722.794,5392.89
96,96,96,815.344,6932.56
105,105,105,996.115,9459.15
104,104,104,1087.25,11373.5
106,106,106,1220.65,14066.6
88,88,88,1098.55,13721.3
91,91,91,1227.37,16559.7
108,108,108,1566.03,22716.6
94,94,94,1462.28,22755.6
91,91,91,1508.16,25001.9
91,91,91,1595.37,27975.9
94,94,94,1741.89,32286.9
95,95,95,1848.57,35978.8
90,90,90,1850.45,38054.6
86,86,86,1847.69,39704.6
94,94,94,2116.5,47662.2
107,107,107,2512.07,58987.3
102,102,102,2495.15,61045.8
92,92,92,2351.23,60098.2
92,92,92,2438.37,64635.4
101,101,101,2774.47,76222.6
90,90,90,2564.52,73083
80,80,80,2362.73,69788.6
86,86,86,2622,79946.6
85,85,85,2677.48,84347.1
90,90,90,2925.94,95131.1
98,98,98,3283.31,110009
75,75,75,2588.45,89340.1
88,88,88,3129.93,111331
120,120,120,4378.08,159740
94,94,94,3524.35,132147
98,98,98,3774.74,145404
114,114,114,4504.24,177979
103,103,103,4178.34,169510
106,106,106,4398.42,182519
95,95,95,4034.95,171385
101,101,101,4389.11,190743
101,101,101,4491.74,199768
92,92,92,4184.4,190326
97,97,97,4513.71,210045
106,106,106,5035.73,239240
110,110,110,5335.19,258773
104,104,104,5149.14,254946
112,112,112,5647.16,284745
108,108,108,5563.9,286646
101,101,101,5303.22,278467
104,104,104,5563.23,297600
94,94,94,5119.64,278846
94,94,94,5215.94,289434
100,100,100,5648.9,319109
91,91,91,5231.72,300786
112,112,112,6555.18,383672
101,101,101,6012.17,357891
104,104,104,6288.35,380232
80,80,80,4921.38,302757
87,87,87,5439,340039
85,85,85,5397.71,342777
89,89,89,5741.18,370358
83,83,83,5435.27,355937
78,78,78,5186.55,344883
102,102,102,6883.31,464517
94,94,94,6437.88,440928
115,115,115,7994.71,555796
95,95,95,6693.8,471660
97,97,97,6936.11,495983
92,92,92,6674.76,484271
91,91,91,6690.33,491880
96,96,96,7151.24,532718
94,94,94,7098.46,536052
88,88,88,6734.23,515347
99,99,99,7667.95,593922
87,87,87,6827.56,535818
105,105,105,8348.9,663857
75,75,75,6036.71,485897
92,92,92,7494.05,610452
94,94,94,7752.99,639463
95,95,95,7933.84,662596
93,93,93,7859.43,664208
79,79,79,6750.31,576800
103,103,103,8908.79,770557
92,92,92,8048.45,704111
103,103,103,9116.32,806877
94,94,94,8407.74,752029
109,109,109,9862.83,892445
82,82,82,7503.52,686626
97,97,97,8974.16,830272
88,88,88,8225.83,768919
103,103,103,9731.75,919493
102,102,102,9739.5,929986
91,91,91,8786.55,848397
106,106,106,10330.4,1.00678e+06
88,88,88,8666.79,853568
80,80,80,7958.53,791734
74,74,74,7438.32,747689
104,104,104,10560.6,1.07238e+06
107,107,107,10968.1,1.1243e+06
74,74,74,7659.67,792852
111,111,111,11595,1.21121e+06
110,110,110,11608.5,1.22508e+06
78,78,78,8306.36,884566
104,104,104,11175,1.20077e+06
101,101,101,10957.1,1.1887e+06
106,106,106,11614,1.27251e+06
100,100,100,11050.8,1.22122e+06
87,87,87,9697.81,1.08101e+06
98,98,98,11024.2,1.24013e+06
94,94,94,10673,1.21185e+06
100,100,100,11454.9,1.31217e+06
113,113,113,13047.8,1.50661e+06
86,86,86,10021.7,1.16784e+06
74,74,74,8692.48,1.02108e+06
108,108,108,12795.3,1.51594e+06
114,114,114,13626.6,1.62881e+06
112,112,112,13490.8,1.62503e+06
85,85,85,10325.4,1.25429e+06
98,98,98,12003.2,1.47019e+06
110,110,110,13583.1,1.67729e+06
96,96,96,11946.8,1.48673e+06
109,109,109,13683.9,1.7179e+06
95,95,95,12020.1,1.52089e+06
112,112,112,14279.2,1.8205e+06
101,101,101,12980.9,1.66837e+06
91,91,91,11784.3,1.52606e+06
95,95,95,12398.4,1.61812e+06
94,94,94,12363,1.62601e+06
92,92,92,12187.8,1.61459e+06
93,93,93,12419.5,1.65855e+06
96,96,96,12916.2,1.7378e+06
118,118,118,15989.7,2.16672e+06
102,102,102,13921.8,1.90017e+06
89,89,89,12236.2,1.6823e+06
103,103,103,14268.2,1.97653e+06
117,117,117,16321.6,2.27689e+06
108,108,108,15173.2,2.13173e+06
111,111,111,15707.5,2.22276e+06
98,98,98,13968.7,1.99108e+06
109,109,109,15639.1,2.24386e+06
106,106,106,15315.4,2.21285e+06
120,120,120,17455.8,2.53921e+06
109,109,109,15966.7,2.33887e+06
114,114,114,16817.3,2.4809e+06
123,123,123,18271,2.71406e+06
102,102,102,15247.5,2.27929e+06
93,93,93,13996.6,2.10652e+06
107,107,107,16211.1,2.45608e+06
111,111,111,16926.4,2.58112e+06
114,114,114,17498.9,2.68607e+06
119,119,119,18386.9,2.84101e+06
110,110,110,17108.4,2.66088e+06
117,117,117,18306.7,2.8644e+06
118,118,118,18584.5,2.927e+06
137,137,137,21716.8,3.44247e+06
109,109,109,17387.5,2.77363e+06
119,119,119,19103.6,3.06679e+06
123,123,123,19864.1,3.20799e+06
107,107,107,17384.1,2.82438e+06
106,106,106,17335.8,2.83521e+06
113,113,113,18592.3,3.05907e+06
128,128,128,21186,3.50663e+06
103,103,103,17153.7,2.8568e+06
104,104,104,17418.9,2.91748e+06
126,126,126,21235.8,3.57905e+06
120,120,120,20339.8,3.44756e+06
123,123,123,20973.2,3.57622e+06
142,142,142,24346.6,4.17435e+06
108,108,108,18629,3.21333e+06
106,106,106,18389.9,3.19045e+06
124,124,124,21642.9,3.77755e+06
120,120,120,21055.9,3.6946e+06
128,128,128,22598.3,3.98972e+06
116,116,116,20592.9,3.65578e+06
106,106,106,18920.4,3.37718e+06
107,107,107,19203.8,3.44662e+06
133,133,133,24012.3,4.33528e+06
124,124,124,22501.3,4.08316e+06
117,117,117,21352,3.89665e+06
136,136,136,24959.5,4.58074e+06
128,128,128,23608.2,4.35427e+06
154,154,154,28569,5.29993e+06
142,142,142,26479.4,4.93777e+06
139,139,139,26066.8,4.88834e+06
158,158,158,29779.8,5.61292e+06
139,139,139,26341.6,4.99195e+06
169,169,169,32193.8,6.13282e+06
154,154,154,29481.3,5.64381e+06
204,204,204,39269.7,7.55937e+06
168,168,168,32513.5,6.29245e+06
186,186,186,36171.5,7.03432e+06
200,200,200,39100.3,7.6442e+06
194,194,194,38119.2,7.4901e+06
197,197,197,38909.4,7.68499e+06
188,188,188,37318.8,7.40797e+06
173,173,173,34511.3,6.88459e+06
191,191,191,38301.1,7.6805e+06
176,176,176,35468.8,7.14795e+06
183,183,183,37060.5,7.50537e+06
179,179,179,36422.8,7.41129e+06
177,177,177,36194.4,7.40133e+06
192,192,192,39455.5,8.10801e+06
173,173,173,35719.6,7.37511e+06
171,171,171,35480.9,7.36196e+06
150,150,150,31270.4,6.51894e+06
166,166,166,34779.3,7.28674e+06
159,159,159,33469.7,7.04543e+06
142,142,142,30030.7,6.351e+06
145,145,145,30811.5,6.54723e+06
146,146,146,31172.3,6.65559e+06
141,141,141,30242.9,6.48679e+06
143,143,143,30818.7,6.6419e+06
159,159,159,34427.8,7.45454e+06
146,146,146,31754.4,6.90646e+06
136,136,136,29713.8,6.49201e+06
123,123,123,26999.1,5.92645e+06
140,140,140,30876.5,6.80969e+06
142,142,142,31447.4,6.96438e+06
128,128,128,28480.1,6.33684e+06
109,109,109,24368.7,5.44803e+06
122,122,122,27388.7,6.14868e+06
125,125,125,28189.1,6.35701e+06
122,122,122,27633.1,6.25894e+06
117,117,117,26617.9,6.05566e+06
122,122,122,27876.3,6.3696e+06
111,111,111,25472.4,5.84545e+06
109,109,109,25122.7,5.79036e+06
121,121,121,28012,6.4849e+06
131,131,131,30461.4,7.08317e+06
113,113,113,26383.9,6.1603e+06
106,106,106,24856.3,5.82862e+06
130,130,130,30615.1,7.20988e+06
101,101,101,23885.4,5.64866e+06
109,109,109,25884.3,6.14678e+06
106,106,106,25282.3,6.03014e+06
105,105,105,25149.1,6.02359e+06
102,102,102,24531.5,5.89996e+06
99,99,99,23909.7,5.77451e+06
116,116,116,28134.7,6.82381e+06
112,112,112,27274.2,6.6418e+06
121,121,121,29587.5,7.23487e+06
95,95,95,23324.3,5.72657e+06
99,99,99,24400.7,6.01407e+06
109,109,109,26977,6.67671e+06
80,80,80,19878.5,4.93946e+06
102,102,102,25449.5,6.34979e+06
106,106,106,26548.9,6.64948e+06
97,97,97,24393.8,6.13462e+06
102,102,102,25758.7,6.50502e+06
97,97,97,24593.4,6.23545e+06
106,106,106,26979.2,6.86677e+06
114,114,114,29127.6,7.44226e+06
77,77,77,19749.8,5.06566e+06
97,97,97,24974.3,6.43005e+06
112,112,112,28946.8,7.48143e+06
106,106,106,27503.5,7.13624e+06
99,99,99,25788.6,6.71768e+06
116,116,116,30338.1,7.93448e+06
94,94,94,24674.7,6.47706e+06
99,99,99,26088.9,6.87508e+06
96,96,96,25390.4,6.71534e+06
92,92,92,24424.5,6.48433e+06
101,101,101,26911.5,7.17061e+06
90,90,90,24078.7,6.44206e+06
101,101,101,27121.3,7.28281e+06
88,88,88,23714.1,6.39047e+06
109,109,109,29488.5,7.97775e+06
109,109,109,29591.6,8.03361e+06
113,113,113,30791.6,8.3905e+06
90,90,90,24618.2,6.73398e+06
96,96,96,26347.6,7.23121e+06
84,84,84,23140.3,6.3747e+06
103,103,103,28478.9,7.87426e+06
98,98,98,27191.8,7.54484e+06
90,90,90,25063,6.97952e+06
92,92,92,25715.3,7.18778e+06
89,89,89,24961.1,7.00063e+06
98,98,98,27584.9,7.76457e+06
91,91,91,25710,7.26379e+06
101,101,101,28637.1,8.11964e+06
81,81,81,23043.2,6.55541e+06
113,113,113,32261.1,9.21042e+06
101,101,101,28938.5,8.29147e+06
89,89,89,25587.3,7.35631e+06
114,114,114,32887.6,9.48767e+06
83,83,83,24023.8,6.95355e+06
101,101,101,29342.9,8.52483e+06
98,98,98,28562.1,8.32443e+06
97,97,97,28368.6,8.29671e+06
90,90,90,26410.8,7.75037e+06
92,92,92,27095.8,7.98024e+06
89,89,89,26298.1,7.77066e+06
98,98,98,29057,8.6154e+06
81,81,81,24096.7,7.16855e+06
110,110,110,32830.9,9.79884e+06
102,102,102,30550.9,9.1506e+06
111,111,111,33353.8,1.00223e+07
104,104,104,31357.1,9.45448e+06
100,100,100,30252,9.15182e+06
