#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9910197,9.9102e+06,9.9102e+06,32.2321,23.6484
90,90,90,136.545,214.097
90,90,90,222.111,555.59
108,108,108,370.849,1283.32
87,87,87,393.637,1787.42
103,103,103,570.589,3167.77
96,96,96,622.693,4046.65
99,99,99,741.997,5570.03
109,109,109,933.118,7996.19
101,101,101,960.64,9145.24
91,91,91,956.791,10066.2
94,94,94,1079.29,12401.1
86,86,86,1070.76,13339.9
92,92,92,1245.55,16869.8
109,109,109,1579.03,22884.4
87,87,87,1348.72,20915
85,85,85,1400.06,23067.1
91,91,91,1595.66,27986.1
88,88,88,1630.07,30202.1
76,76,76,1479.13,28792.8
88,88,88,1805.31,37043.9
107,107,107,2302.41,49552.3
83,83,83,1870.46,42159.2
85,85,85,1993.31,46751.2
93,93,93,2281.42,55974.4
102,102,102,2604.05,66490.7
92,92,92,2437.23,64572.7
100,100,100,2744.35,75322.3
87,87,87,2478.32,70604.2
102,102,102,3008.65,88753.3
88,88,88,2686.43,82017.5
74,74,74,2332.26,73512.8
89,89,89,2891.39,93942.4
81,81,81,2717.43,91172.3
94,94,94,3249.35,112331
89,89,89,3157.83,112052
85,85,85,3100.5,113104
92,92,92,3446.23,129100
101,101,101,3891.38,149937
93,93,93,3673.88,145141
93,93,93,3759.11,151951
81,81,81,3366.49,139923
93,93,93,3952.51,167989
78,78,78,3393.78,147669
84,84,84,3730.52,165682
84,84,84,3824.79,174161
80,80,80,3718.53,172850
99,99,99,4704.11,223530
88,88,88,4267.22,206928
97,97,97,4793.63,236903
88,88,88,4448.38,224872
88,88,88,4537.78,234001
95,95,95,4989.64,262077
94,94,94,5026.89,268834
91,91,91,4957.38,270070
113,113,113,6267.85,347674
85,85,85,4803.07,271413
80,80,80,4596.93,264154
98,98,98,5732,335271
101,101,101,6013.18,358011
77,77,77,4658.89,281893
74,74,74,4548.48,279582
94,94,94,5877.02,367447
101,101,101,6415.24,407487
103,103,103,6642.9,428437
80,80,80,5237.09,342846
74,74,74,4923.86,327632
109,109,109,7356.85,496552
93,93,93,6369.13,436198
100,100,100,6951.04,483177
87,87,87,6136.2,432800
95,95,95,6790.26,485351
85,85,85,6160.97,446567
79,79,79,5807.36,426910
77,77,77,5734.99,427151
86,86,86,6487.8,489442
106,106,106,8105.97,619883
89,89,89,6898.08,534654
88,88,88,6906.77,542092
99,99,99,7870.96,625786
117,117,117,9425.28,759292
89,89,89,7255.24,591452
103,103,103,8496.93,700958
95,95,95,7936.18,662987
113,113,113,9548.72,806896
94,94,94,8035.61,686934
92,92,92,7959.59,688649
91,91,91,7958.53,696031
89,89,89,7878.45,697422
88,88,88,7877.84,705241
87,87,87,7870.76,712063
91,91,91,8328.35,762222
93,93,93,8603.02,795835
79,79,79,7387.92,690912
82,82,82,7751.92,732839
117,117,117,11172.5,1.06688e+06
93,93,93,8970.4,865257
81,81,81,7899.88,770476
93,93,93,9157.71,901769
84,84,84,8359.77,831980
96,96,96,9644.78,968985
98,98,98,9946.42,1.00951e+06
74,74,74,7583.42,777144
102,102,102,10564.9,1.09429e+06
106,106,106,11078.1,1.15777e+06
110,110,110,11605.3,1.2244e+06
101,101,101,10757,1.14568e+06
90,90,90,9673.35,1.03971e+06
91,91,91,9874.6,1.07152e+06
94,94,94,10292,1.12688e+06
102,102,102,11267.9,1.24477e+06
100,100,100,11144.4,1.24199e+06
91,91,91,10236.9,1.15159e+06
98,98,98,11121.6,1.26214e+06
91,91,91,10422.4,1.1937e+06
95,95,95,10967.1,1.26609e+06
95,95,95,11067.5,1.28937e+06
114,114,114,13393.6,1.57359e+06
76,76,76,9009,1.06793e+06
100,100,100,11942.5,1.42625e+06
97,97,97,11693.7,1.40972e+06
96,96,96,11663.9,1.41717e+06
97,97,97,11879.5,1.45488e+06
90,90,90,11110.1,1.37151e+06
101,101,101,12574,1.5654e+06
97,97,97,12176.5,1.52853e+06
91,91,91,11510,1.45583e+06
98,98,98,12495.4,1.59323e+06
94,94,94,12079.9,1.5524e+06
83,83,83,10748.1,1.39183e+06
86,86,86,11223.5,1.46474e+06
120,120,120,15779.2,2.07487e+06
103,103,103,13645.4,1.80773e+06
95,95,95,12677,1.69164e+06
109,109,109,14664.8,1.973e+06
105,105,105,14223.8,1.92682e+06
105,105,105,14334.5,1.95695e+06
91,91,91,12512.3,1.72042e+06
115,115,115,15933.6,2.20765e+06
95,95,95,13247.4,1.84731e+06
93,93,93,13062.4,1.83469e+06
97,97,97,13725.3,1.94211e+06
93,93,93,13253.8,1.88886e+06
117,117,117,16782.9,2.40741e+06
