#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9928314,9.92831e+06,9.92831e+06,19.0366,13.7134
36,36,36,53.0236,80.6617
41,41,41,102.203,259.008
36,36,36,123.736,428.3
46,46,46,209.737,960.168
46,46,46,251.363,1377.45
34,34,34,221.536,1446.68
40,40,40,301.849,2281.51
42,42,42,357.484,3046.13
50,50,50,475.667,4529.1
45,45,45,473.435,4984.71
52,52,52,599.335,6911.84
41,41,41,511.493,6384.35
39,39,39,527.12,7127.86
50,50,50,727.249,10582
43,43,43,667.3,10359.8
46,46,46,761.785,12619.2
40,40,40,701.498,12306.2
49,49,49,906.112,16759.2
43,43,43,836.694,16283.4
38,38,38,778.247,15941.5
52,52,52,1116.78,23989.1
47,47,47,1052.92,23591.9
49,49,49,1154.05,27184.3
47,47,47,1149.69,28127.3
35,35,35,895.248,22901.7
27,27,27,715.366,18955.7
66,66,66,1816.32,49991.1
58,58,58,1651.66,47039.5
35,35,35,1037.08,30731.6
36,36,36,1095.94,33365.2
42,42,42,1322.92,41673.2
48,48,48,1559.77,50688.8
35,35,35,1170.65,39158.2
50,50,50,1724.14,59456.4
51,51,51,1812.19,64397.2
49,49,49,1787.69,65224.4
43,43,43,1613.06,60514.7
49,49,49,1887.42,72704.9
43,43,43,1695.55,66861.3
47,47,47,1903.61,77104.9
57,57,57,2363.45,98003.7
52,52,52,2209.04,93848.1
40,40,40,1737.59,75483.4
42,42,42,1870.16,83277.4
52,52,52,2368.91,107921
42,42,42,1955.47,91047.2
44,44,44,2087.89,99077.8
57,57,57,2767.73,134396
41,41,41,2029.88,100502
53,53,53,2677.55,135272
44,44,44,2265.5,116651
59,59,59,3094.66,162325
57,57,57,3046.36,162817
64,64,64,3483.16,189574
69,69,69,3833.39,212976
60,60,60,3390.2,191564
73,73,73,4194.79,241050
54,54,54,3157.5,184631
77,77,77,4585.32,273059
74,74,74,4476.97,270863
67,67,67,4121.26,253510
83,83,83,5190.76,324634
67,67,67,4252.49,269912
67,67,67,4323.46,278996
81,81,81,5304.82,347427
76,76,76,5055.59,336308
75,75,75,5060.51,341457
95,95,95,6515.26,446835
95,95,95,6609.12,459802
105,105,105,7403.76,522061
