#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9925691,9.92569e+06,9.92569e+06,10.3475,7.22423
46,46,46,71.7582,115.896
49,49,49,120.642,301.587
39,39,39,137.655,488.567
51,51,51,230.688,1047.55
40,40,40,221.81,1233.28
49,49,49,318.637,2075.51
65,65,65,487.817,3666.48
46,46,46,390.312,3316.19
35,35,35,333.036,3171.61
53,53,53,558.364,5886.82
48,48,48,553.135,6376.91
44,44,44,551.101,6906.76
44,44,44,593.54,8010.46
55,55,55,797.637,11572.8
53,53,53,820.172,12696.7
50,50,50,825.121,13620.9
40,40,40,701.995,12322.8
46,46,46,853.354,15834.8
48,48,48,934.884,18213.1
54,54,54,1109.63,22806
48,48,48,1031.06,22151.8
40,40,40,899.968,20252.6
55,55,55,1294.82,30487.4
40,40,40,981.269,24075.5
44,44,44,1124.86,28760.3
36,36,36,954.827,25328.4
38,38,38,1044.06,28689.4
46,46,46,1311.54,37397
43,43,43,1272.7,37672.2
64,64,64,1950.82,59468.3
42,42,42,1322.51,41646.6
42,42,42,1362.02,44172.9
49,49,49,1640.58,54932.7
46,46,46,1589.68,54940.8
46,46,46,1632.5,57939.1
42,42,42,1534.55,56072.7
45,45,45,1686.98,63246
48,48,48,1850.88,71374.8
52,52,52,2050.49,80860.2
53,53,53,2149.95,87217
38,38,38,1576.51,65407.4
45,45,45,1914.79,81479
47,47,47,2044.42,88932.6
56,56,56,2489.89,110711
52,52,52,2362.94,107379
43,43,43,1999.99,93025.5
47,47,47,2234.79,106265
48,48,48,2328.51,112962
42,42,42,2079.66,102979
54,54,54,2727.72,137790
48,48,48,2469.21,127025
44,44,44,2311.31,121416
55,55,55,2939.17,157072
49,49,49,2670.65,145562
70,70,70,3883.14,215417
70,70,70,3951.67,223088
62,62,62,3566.38,205151
51,51,51,2979.52,174074
60,60,60,3574.66,212975
67,67,67,4051.22,244968
65,65,65,3998.63,245991
87,87,87,5435.52,339605
57,57,57,3623.97,230412
75,75,75,4839.23,312247
65,65,65,4262.48,279524
85,85,85,5653.57,376040
74,74,74,4994.52,337105
89,89,89,6092.98,417135
101,101,101,7016.03,487382
67,67,67,4719.99,332518
86,86,86,6145.71,439190
126,126,126,9138.18,662760
121,121,121,8892.83,653584
104,104,104,7742.99,576488
123,123,123,9286.19,701094
129,129,129,9874.1,755808
114,114,114,8834.93,684711
127,127,127,9971.72,782964
126,126,126,10020.9,796981
171,171,171,13763.8,1.10786e+06
129,129,129,10519.5,857847
147,147,147,12124.2,999981
136,136,136,11348.3,946958
174,174,174,14699.7,1.24185e+06
189,189,189,16157.5,1.38131e+06
150,150,150,12975.5,1.12244e+06
129,129,129,11290.5,988187
156,156,156,13809.5,1.22246e+06
151,151,151,13515.8,1.2098e+06
141,141,141,12764.5,1.15557e+06
170,170,170,15552.4,1.42281e+06
142,142,142,13138.8,1.2157e+06
137,137,137,12808.4,1.19749e+06
145,145,145,13704,1.29519e+06
141,141,141,13460.7,1.28504e+06
143,143,143,13795.1,1.33081e+06
151,151,151,14722.2,1.43539e+06
150,150,150,14774.6,1.45527e+06
145,145,145,14427.5,1.43555e+06
160,160,160,16083.4,1.61674e+06
130,130,130,13195,1.3393e+06
142,142,142,14550.3,1.49095e+06
138,138,138,14285.7,1.47886e+06
140,140,140,14628.5,1.52853e+06
136,136,136,14350.8,1.51431e+06
164,164,164,17464.9,1.8599e+06
170,170,170,18271.9,1.96391e+06
136,136,136,14755.6,1.60095e+06
129,129,129,14130,1.54775e+06
161,161,161,17796.3,1.96714e+06
155,155,155,17291,1.9289e+06
149,149,149,16757.9,1.88475e+06
143,143,143,16235.8,1.84338e+06
146,146,146,16718.4,1.91443e+06
155,155,155,17898.9,2.06691e+06
147,147,147,17122.6,1.99446e+06
170,170,170,19972.9,2.34658e+06
148,148,148,17532.6,2.07698e+06
132,132,132,15775.3,1.88532e+06
167,167,167,20129.1,2.42623e+06
124,124,124,15070,1.8315e+06
126,126,126,15436.3,1.89112e+06
166,166,166,20499.9,2.53162e+06
141,141,141,17549.8,2.18439e+06
147,147,147,18448.6,2.31532e+06
134,134,134,16949.1,2.14383e+06
183,183,183,23323.6,2.97264e+06
143,143,143,18378.1,2.36192e+06
168,168,168,21758.4,2.81804e+06
165,165,165,21528.9,2.80906e+06
175,175,175,23017.3,3.02742e+06
157,157,157,20800.9,2.75591e+06
175,175,175,23356.7,3.11737e+06
202,202,202,27168.9,3.65422e+06
185,185,185,25065.8,3.39621e+06
187,187,187,25521.5,3.48316e+06
190,190,190,26128,3.59303e+06
210,210,210,29084.3,4.0281e+06
197,197,197,27482.1,3.83386e+06
197,197,197,27677,3.88842e+06
257,257,257,36362.6,5.14492e+06
223,223,223,31778.3,4.52855e+06
239,239,239,34300.8,4.9228e+06
240,240,240,34678.5,5.01086e+06
233,233,233,33907.2,4.93434e+06
253,253,253,37058.8,5.42829e+06
229,229,229,33780.4,4.98304e+06
246,246,246,36535.2,5.42611e+06
270,270,270,40363.7,6.03419e+06
266,266,266,40030.3,6.02417e+06
266,266,266,40294.9,6.10409e+06
303,303,303,46207.3,7.04661e+06
292,292,292,44823.6,6.88068e+06
282,282,282,43576.5,6.73376e+06
301,301,301,46811.4,7.28013e+06
307,307,307,48050.6,7.52073e+06
306,306,306,48192.6,7.58999e+06
287,287,287,45486.5,7.20914e+06
302,302,302,48177.1,7.68556e+06
271,271,271,43500.2,6.98257e+06
302,302,302,48776,7.87782e+06
319,319,319,51840.2,8.4245e+06
291,291,291,47582.3,7.78035e+06
292,292,292,48039.8,7.90353e+06
339,339,339,56098.6,9.28338e+06
322,322,322,53607.4,8.92474e+06
323,323,323,54111.7,9.06526e+06
331,331,331,55775.3,9.39846e+06
303,303,303,51362.3,8.70658e+06
