#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9943305,9.9433e+06,9.9433e+06,18.0095,13.5481
44,44,44,64.5761,98.4139
35,35,35,89.3477,230.873
53,53,53,185.209,651.174
43,43,43,192.093,861.013
32,32,32,174.895,958.576
43,43,43,279.793,1823.96
35,35,35,260.594,1942.53
52,52,52,442.435,3768.6
33,33,33,314.789,3005.22
27,27,27,281.791,2942.91
38,38,38,436.173,5009.35
35,35,35,440.542,5548.64
38,38,38,511.318,6883.73
28,28,28,408,5947.54
37,37,37,575.124,8942.49
43,43,43,711.312,11770.2
32,32,32,557.838,9726.99
31,31,31,573.42,10608.5
36,36,36,702.532,13712.7
34,34,34,696.606,14275.6
34,34,34,731.883,15757.3
32,32,32,721.898,16287.9
19,19,19,447.259,10530.1
36,36,36,881.42,21583.8
31,31,31,790.442,20156.6
30,30,30,795.588,21100.7
26,26,26,715.764,19706.8
37,37,37,1053.27,29986
32,32,32,941.86,27724
35,35,35,1067.78,32579.1
36,36,36,1134.25,35740
28,28,28,911.433,29670.2
34,34,34,1137.45,38055.8
34,34,34,1171.99,40402.5
37,37,37,1313.18,46610.2
29,29,29,1058.31,38623.6
34,34,34,1274.1,47748.1
44,44,44,1691.14,65002.9
45,45,45,1775.41,70050
39,39,39,1580.38,64044.6
33,33,33,1369.32,56822.3
25,25,25,1064.29,45309.5
45,45,45,1959.27,85307.5
41,41,41,1828.65,81562.3
35,35,35,1592.96,72503.5
43,43,43,1999.58,92988.4
34,34,34,1616.11,76821
36,36,36,1743.75,84465
41,41,41,2032.06,100717
46,46,46,2324.52,117468
48,48,48,2469.68,127072
34,34,34,1788.8,94115.2
37,37,37,1980.68,106033
44,44,44,2397.93,130686
56,56,56,3106.08,172286
47,47,47,2656.58,150162
51,51,51,2930.02,168338
38,38,38,2221.33,129853
49,49,49,2919.38,173939
49,49,49,2962.07,179062
66,66,66,4053.2,248921
53,53,53,3310.32,206764
67,67,67,4255.39,270281
55,55,55,3547.65,228837
78,78,78,5112.99,335169
57,57,57,3789.94,251999
65,65,65,4388.74,296328
67,67,67,4587.99,314181
62,62,62,4303.75,298751
68,68,68,4793.23,337874
75,75,75,5363.72,383599
90,90,90,6527.74,473467
85,85,85,6252.57,459944
88,88,88,6557.06,488587
82,82,82,6187.41,466886
83,83,83,6346.85,485338
69,69,69,5349.79,414790
83,83,83,6515.88,511535
96,96,96,7631.46,606668
102,102,102,8210.54,660920
103,103,103,8395.81,684373
91,91,91,7513.82,620418
107,107,107,8934.82,746094
115,115,115,9715.27,820762
110,110,110,9409.93,804980
109,109,109,9425.29,815018
98,98,98,8573.38,750035
118,118,118,10444.3,924439
136,136,136,12170,1.08904e+06
138,138,138,12488.2,1.13013e+06
122,122,122,11164.1,1.02163e+06
103,103,103,9527.86,881369
114,114,114,10658.1,996452
128,128,128,12096.7,1.14321e+06
101,101,101,9646.87,921415
123,123,123,11864.2,1.1444e+06
116,116,116,11305.5,1.10186e+06
106,106,106,10437.3,1.02772e+06
110,110,110,10941.1,1.08826e+06
115,115,115,11563.1,1.16265e+06
114,114,114,11571.3,1.17453e+06
101,101,101,10353.8,1.0614e+06
113,113,113,11699.3,1.21127e+06
105,105,105,10967.9,1.14567e+06
118,118,118,12448.1,1.31318e+06
106,106,106,11290.1,1.20253e+06
112,112,112,12037.4,1.29375e+06
106,106,106,11500.9,1.24785e+06
123,123,123,13470.6,1.47526e+06
105,105,105,11602.5,1.28209e+06
104,104,104,11598.8,1.29359e+06
110,110,110,12371.8,1.39148e+06
107,107,107,12143,1.37807e+06
112,112,112,12822.3,1.46797e+06
91,91,91,10511.9,1.2143e+06
111,111,111,12932.3,1.50671e+06
115,115,115,13514,1.58809e+06
118,118,118,13983,1.657e+06
92,92,92,10993.3,1.31363e+06
120,120,120,14461.9,1.7429e+06
111,111,111,13482.3,1.63761e+06
101,101,101,12369.5,1.5149e+06
103,103,103,12721.7,1.5713e+06
100,100,100,12453.1,1.55081e+06
126,126,126,15814.1,1.98481e+06
125,125,125,15812.4,2.00027e+06
121,121,121,15423.2,1.96591e+06
99,99,99,12720.6,1.63449e+06
125,125,125,16191.6,2.09735e+06
129,129,129,16839.6,2.19824e+06
107,107,107,14073.2,1.85099e+06
118,118,118,15635.9,2.0719e+06
115,115,115,15348.5,2.04849e+06
121,121,121,16270,2.18771e+06
139,139,139,18833.3,2.55176e+06
132,132,132,18022.6,2.46073e+06
144,144,144,19803.5,2.72349e+06
125,125,125,17311.7,2.39756e+06
148,148,148,20647.1,2.88044e+06
147,147,147,20656.9,2.90278e+06
141,141,141,19953.6,2.82374e+06
155,155,155,22083.6,3.14637e+06
160,160,160,22959.9,3.29476e+06
161,161,161,23265.4,3.36198e+06
168,168,168,24449.9,3.55832e+06
155,155,155,22702.5,3.32521e+06
192,192,192,28319.4,4.17704e+06
145,145,145,21544.5,3.20114e+06
176,176,176,26315.6,3.93472e+06
171,171,171,25734.8,3.873e+06
173,173,173,26203.2,3.96884e+06
164,164,164,25009.2,3.81381e+06
155,155,155,23786.2,3.65023e+06
176,176,176,27193.9,4.20177e+06
194,194,194,30171.9,4.6925e+06
214,214,214,33494.5,5.24247e+06
211,211,211,33224.8,5.23171e+06
192,192,192,30430.4,4.82298e+06
254,254,254,40514.2,6.46223e+06
219,219,219,35148.3,5.64114e+06
226,226,226,36495.7,5.89355e+06
236,236,236,38351.1,6.23225e+06
253,253,253,41360.9,6.76178e+06
226,226,226,37170,6.11333e+06
263,263,263,43526.4,7.20361e+06
245,245,245,40797.7,6.79371e+06
246,246,246,41210.6,6.90373e+06
235,235,235,39599.6,6.6729e+06
251,251,251,42546.2,7.21191e+06
256,256,256,43650.2,7.44274e+06
264,264,264,45274.8,7.76446e+06
269,269,269,46400.4,8.00372e+06
228,228,228,39555.7,6.86252e+06
269,269,269,46938.2,8.19033e+06
287,287,287,50364.1,8.83817e+06
266,266,266,46952.8,8.28785e+06
262,262,262,46506.9,8.25535e+06
279,279,279,49800,8.88907e+06
264,264,264,47387.2,8.50587e+06
312,312,312,56309,1.01625e+07
299,299,299,54263.4,9.84792e+06
290,290,290,52922.1,9.65776e+06
288,288,288,52846,9.6969e+06
349,349,349,64395.5,1.18819e+07
304,304,304,56389.7,1.04599e+07
322,322,322,60056.9,1.12014e+07
351,351,351,65827.1,1.23453e+07
371,371,371,69939.8,1.31849e+07
441,441,441,83573.3,1.58379e+07
474,474,474,90317.8,1.72095e+07
504,504,504,96518.4,1.84838e+07
584,584,584,112414,2.16386e+07
660,660,660,127706,2.47103e+07
706,706,706,137316,2.67077e+07
780,780,780,152497,2.98144e+07
821,821,821,161329,3.17017e+07
865,865,865,170852,3.37463e+07
971,971,971,192751,3.82625e+07
901,901,901,179749,3.58599e+07
940,940,940,188462,3.77852e+07
918,918,918,184976,3.72727e+07
936,936,936,189544,3.83836e+07
989,989,989,201272,4.09612e+07
971,971,971,198565,4.06056e+07
951,951,951,195442,4.01657e+07
940,940,940,194094,4.00772e+07
897,897,897,186132,3.86235e+07
902,902,902,188068,3.92126e+07
871,871,871,182487,3.82338e+07
849,849,849,178713,3.76188e+07
806,806,806,170464,3.60521e+07
787,787,787,167236,3.55373e+07
745,745,745,159058,3.39591e+07
692,692,692,148431,3.18378e+07
690,690,690,148685,3.20395e+07
632,632,632,136823,2.96212e+07
