#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9850247,9.85025e+06,9.85025e+06,30.4689,22.5528
81,81,81,120.369,186.071
88,88,88,213.764,526.342
70,70,70,243.7,854.117
85,85,85,381.379,1719.97
91,91,91,496.131,2713.09
109,109,109,705.22,4570.55
83,83,83,625.332,4717.32
98,98,98,829.837,7034.62
106,106,106,1004.34,9524.27
91,91,91,954.553,10019.9
74,74,74,847.897,9720.61
86,86,86,1070.73,13338.4
90,90,90,1215.66,16426.7
90,90,90,1304.89,18925.9
89,89,89,1382.51,21482.2
79,79,79,1303.63,21518.7
71,71,71,1244.65,21825.2
74,74,74,1370.09,25372.4
96,96,96,1869.56,36416.8
84,84,84,1721.73,35295.9
69,69,69,1483.5,31901.4
89,89,89,2000.95,44993.2
86,86,86,2022.21,47558.6
100,100,100,2453.2,60189.5
82,82,82,2096.82,53625.2
82,82,82,2177.75,57843.4
82,82,82,2258.92,62235.4
99,99,99,2820.24,80348.7
87,87,87,2568.65,75845.4
80,80,80,2439.51,74396.2
78,78,78,2459.15,77537.1
92,92,92,2991.14,97256.1
88,88,88,2949.09,98838.7
93,93,93,3206.83,110586
78,78,78,2769.77,98360.6
88,88,88,3214.9,117457
92,92,92,3449.72,129361
104,104,104,4004.55,154206
106,106,106,4182.22,165018
91,91,91,3688.81,149539
118,118,118,4891.61,202789
100,100,100,4246.75,180358
108,108,108,4697.02,204288
120,120,120,5333.91,237097
99,99,99,4503.93,204912
109,109,109,5070.33,235864
98,98,98,4651.45,220784
118,118,118,5718.93,277181
131,131,131,6486.47,321189
134,134,134,6762.29,341268
148,148,148,7625.48,392904
135,135,135,7086.79,372029
158,158,158,8450.47,451977
150,150,150,8172.82,445312
194,194,194,10774,598360
152,152,152,8594.1,485924
154,154,154,8860.35,509792
170,170,170,9946.42,581965
178,178,178,10586.8,629675
180,180,180,10886.7,658455
199,199,199,12244.2,753390
221,221,221,13809,862867
202,202,202,12829,814780
209,209,209,13487.6,870429
217,217,217,14215.7,931288
239,239,239,15891.3,1.05664e+06
255,255,255,17215.2,1.16223e+06
216,216,216,14795,1.0134e+06
246,246,246,17094.6,1.18793e+06
261,261,261,18411.6,1.29882e+06
276,276,276,19736.2,1.41131e+06
272,272,272,19727.4,1.4308e+06
281,281,281,20660.4,1.51907e+06
295,295,295,21975.3,1.63702e+06
323,323,323,24390.3,1.84179e+06
321,321,321,24557.5,1.87875e+06
353,353,353,27347.2,2.11864e+06
357,357,357,28018.4,2.199e+06
343,343,343,27260.2,2.16656e+06
370,370,370,29783.7,2.39752e+06
365,365,365,29742.1,2.42357e+06
368,368,368,30361.5,2.50497e+06
370,370,370,30899.2,2.58047e+06
374,374,374,31598,2.66964e+06
391,391,391,33429.9,2.85824e+06
398,398,398,34428,2.97814e+06
371,371,371,32471.4,2.84206e+06
352,352,352,31149.7,2.75658e+06
359,359,359,32130.5,2.87571e+06
421,421,421,38094.7,3.44708e+06
402,402,402,36777.1,3.3646e+06
361,361,361,33387.6,3.08794e+06
343,343,343,32068.9,2.99833e+06
361,361,361,34115.6,3.22406e+06
349,349,349,33321.7,3.1815e+06
395,395,395,38122.8,3.67939e+06
339,339,339,33044.4,3.22108e+06
378,378,378,37237.4,3.66836e+06
348,348,348,34618.7,3.44386e+06
370,370,370,37181.1,3.73634e+06
349,349,349,35407,3.59216e+06
347,347,347,35562.6,3.64468e+06
328,328,328,33946.9,3.51342e+06
383,383,383,40023.4,4.18247e+06
322,322,322,33977.9,3.58543e+06
332,332,332,35359.7,3.76601e+06
329,329,329,35362.6,3.80098e+06
348,348,348,37749.1,4.09484e+06
315,315,315,34491.7,3.77679e+06
369,369,369,40775.9,4.50593e+06
330,330,330,36792.1,4.10201e+06
345,345,345,38814.6,4.36691e+06
345,345,345,39158.1,4.44455e+06
359,359,359,41108.7,4.70735e+06
333,333,333,38468.1,4.44387e+06
353,353,353,41121.9,4.79043e+06
387,387,387,45487.9,5.34667e+06
345,345,345,40874.7,4.84275e+06
347,347,347,41458.1,4.95327e+06
358,358,358,43139.8,5.19848e+06
364,364,364,44236.7,5.37608e+06
340,340,340,41652.1,5.10266e+06
329,329,329,40625.3,5.01648e+06
395,395,395,49167.5,6.12014e+06
372,372,372,46681.4,5.85797e+06
381,381,381,48199.8,6.09774e+06
351,351,351,44742.5,5.70343e+06
364,364,364,46777.7,6.01145e+06
364,364,364,47130.8,6.10254e+06
354,354,354,46194.1,6.02799e+06
386,386,386,50767,6.67695e+06
406,406,406,53800,7.12921e+06
362,362,362,48320.1,6.44983e+06
416,416,416,55954.1,7.52615e+06
407,407,407,55156.8,7.4749e+06
425,425,425,58014.1,7.91917e+06
428,428,428,58844,8.09026e+06
464,464,464,64267.2,8.9015e+06
482,482,482,67248.3,9.38249e+06
447,447,447,62810.7,8.82594e+06
480,480,480,67927.5,9.61284e+06
507,507,507,72246.4,1.0295e+07
491,491,491,70456.2,1.01102e+07
490,490,490,70803.6,1.0231e+07
538,538,538,78280.6,1.13901e+07
538,538,538,78814.9,1.15461e+07
609,609,609,89833.7,1.32514e+07
563,563,563,83599.8,1.24138e+07
565,565,565,84466.9,1.26278e+07
635,635,635,95571.1,1.43841e+07
619,619,619,93786.6,1.42099e+07
641,641,641,97758.8,1.49092e+07
683,683,683,104852,1.60966e+07
694,694,694,107234,1.65693e+07
705,705,705,109633,1.70487e+07
731,731,731,114408,1.7906e+07
720,720,720,113413,1.78646e+07
683,683,683,108260,1.71599e+07
730,730,730,116439,1.85727e+07
740,740,740,118772,1.90634e+07
777,777,777,125497,2.02698e+07
749,749,749,121713,1.97784e+07
740,740,740,120997,1.97843e+07
794,794,794,130619,2.14879e+07
800,800,800,132410,2.19156e+07
849,849,849,141362,2.35373e+07
898,898,898,150427,2.51985e+07
821,821,821,138350,2.33141e+07
865,865,865,146616,2.48512e+07
860,860,860,146627,2.49994e+07
888,888,888,152293,2.61186e+07
900,900,900,155248,2.67801e+07
890,890,890,154429,2.6796e+07
889,889,889,155126,2.70687e+07
964,964,964,169174,2.96888e+07
920,920,920,162390,2.86636e+07
1034,1034,1034,183544,3.25807e+07
970,970,970,173161,3.09123e+07
1050,1050,1050,188474,3.3831e+07
1092,1092,1092,197117,3.55815e+07
1117,1117,1117,202742,3.67989e+07
1199,1199,1199,218836,3.99412e+07
1201,1201,1201,220385,4.04409e+07
1381,1381,1381,254804,4.70132e+07
1666,1666,1666,309085,5.73433e+07
2065,2065,2065,385151,7.18362e+07
2473,2473,2473,463725,8.69555e+07
2698,2698,2698,508608,9.58794e+07
3023,3023,3023,572847,1.08553e+08
3054,3054,3054,581782,1.10829e+08
2979,2979,2979,570456,1.09238e+08
3072,3072,3072,591329,1.13825e+08
3010,3010,3010,582421,1.12696e+08
2911,2911,2911,566163,1.10114e+08
2949,2949,2949,576530,1.12712e+08
2777,2777,2777,545661,1.07219e+08
2729,2729,2729,538961,1.06442e+08
2637,2637,2637,523480,1.03918e+08
2406,2406,2406,480003,9.57621e+07
2407,2407,2407,482624,9.67704e+07
2255,2255,2255,454389,9.1561e+07
2219,2219,2219,449338,9.09891e+07
2109,2109,2109,429167,8.73328e+07
1951,1951,1951,398960,8.15837e+07
1896,1896,1896,389635,8.00716e+07
1803,1803,1803,372308,7.68796e+07
1707,1707,1707,354174,7.34852e+07
1663,1663,1663,346731,7.22924e+07
1490,1490,1490,312171,6.54033e+07
1416,1416,1416,298058,6.27393e+07
1354,1354,1354,286366,6.05653e+07
1314,1314,1314,279226,5.93357e+07
1236,1236,1236,263880,5.63373e+07
1110,1110,1110,238071,5.10611e+07
1052,1052,1052,226708,4.88561e+07
964,964,964,208681,4.51743e+07
916,916,916,199229,4.33322e+07
863,863,863,188568,4.12027e+07
838,838,838,183943,4.03759e+07
746,746,746,164477,3.62636e+07
726,726,726,160821,3.56248e+07
649,649,649,144397,3.21274e+07
631,631,631,141030,3.15208e+07
580,580,580,130201,2.92284e+07
524,524,524,118153,2.66415e+07
525,525,525,118909,2.69323e+07
425,425,425,96682.3,2.19941e+07
385,385,385,87981.7,2.0106e+07
375,375,375,86061.2,1.97508e+07
335,335,335,77218.7,1.77992e+07
326,326,326,75473.5,1.74732e+07
285,285,285,66264.4,1.54069e+07
275,275,275,64210,1.49925e+07
244,244,244,57227.2,1.3422e+07
217,217,217,51104.1,1.20352e+07
203,203,203,48004.2,1.13518e+07
200,200,200,47500,1.12813e+07
178,178,178,42441.6,1.01196e+07
164,164,164,39277.9,9.40707e+06
143,143,143,34393,8.27188e+06
145,145,145,35015.5,8.45578e+06
135,135,135,32737.6,7.9389e+06
99,99,99,24108.6,5.87098e+06
98,98,98,23963.1,5.85951e+06
109,109,109,26755.1,6.5673e+06
88,88,88,21689.5,5.34586e+06
91,91,91,22524.9,5.57551e+06
75,75,75,18635.8,4.63059e+06
64,64,64,15964.2,3.98214e+06
74,74,74,18532.9,4.64147e+06
66,66,66,16596.7,4.17348e+06
44,44,44,11109.3,2.80492e+06
47,47,47,11916,3.0211e+06
36,36,36,9160.55,2.331e+06
42,42,42,10731.2,2.74189e+06
24,24,24,6156.16,1.5791e+06
32,32,32,8242.11,2.12289e+06
