#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9929649,9.92965e+06,9.92965e+06,14.5585,9.43919
38,38,38,56.6302,87.6585
50,50,50,124.387,312.071
29,29,29,101.601,358.467
38,38,38,167.702,743.354
52,52,52,285.824,1575.36
53,53,53,344.837,2248.57
43,43,43,321.046,2400.03
47,47,47,400.216,3412.26
47,47,47,444.971,4216.61
38,38,38,398.871,4190.28
40,40,40,461.248,5322.38
43,43,43,536.696,6701.85
47,47,47,634.067,8558.21
31,31,31,448.771,6499.83
37,37,37,572.934,8873.82
37,37,37,608.397,10006.7
40,40,40,700.329,12265.1
47,47,47,870.321,16119.7
34,34,34,663.16,12937.3
39,39,39,798.316,16344.7
40,40,40,857.015,18364.4
49,49,49,1100.59,24723.5
48,48,48,1128,26512.2
36,36,36,883.724,21697.4
48,48,48,1227.22,31380.4
51,51,51,1347.72,35618.6
35,35,35,964.336,26573
45,45,45,1280.75,36454.6
43,43,43,1268.82,37443.4
48,48,48,1462.07,44539
23,23,23,724.657,22833.4
41,41,41,1333.68,43386.1
40,40,40,1337.61,44733
41,41,41,1417.3,48996.6
51,51,51,1810.58,64283
46,46,46,1679.4,61316.2
54,54,54,2026.76,76073.8
42,42,42,1617.19,62271.6
41,41,41,1618.07,63860.4
33,33,33,1336.08,54097.4
48,48,48,1989.92,82500.4
46,46,46,1957.6,83313.2
47,47,47,2049.22,89350.4
47,47,47,2093.35,93240.3
52,52,52,2366.82,107733
45,45,45,2092.96,97346.9
44,44,44,2093.28,99589.5
45,45,45,2181.02,105711
37,37,37,1833.36,90846.7
55,55,55,2776.95,140213
50,50,50,2576.27,132748
61,61,61,3201.3,168011
49,49,49,2622.96,140411
70,70,70,3810.14,207393
55,55,55,3054.51,169642
44,44,44,2489.03,140805
65,65,65,3736.31,214775
54,54,54,3156.53,184516
58,58,58,3453.85,205679
76,76,76,4602.8,278765
69,69,69,4246.1,261301
73,73,73,4564.62,285427
67,67,67,4255.16,270250
67,67,67,4319.57,278493
67,67,67,4386.83,287234
80,80,80,5320.59,353866
89,89,89,6008.35,405627
101,101,101,6913.72,473270
95,95,95,6600.39,458589
85,85,85,5988.17,421867
96,96,96,6864.82,490902
104,104,104,7539.18,546540
133,133,133,9775.46,718503
125,125,125,9317.77,694577
94,94,94,7095.9,535665
139,139,139,10630.5,813013
94,94,94,7283.31,564333
118,118,118,9264.17,727337
120,120,120,9537.53,758047
98,98,98,7889,635073
129,129,129,10515.2,857141
156,156,156,12867.5,1.06137e+06
118,118,118,9850.01,822236
143,143,143,12084.1,1.02117e+06
169,169,169,14448.6,1.2353e+06
170,170,170,14702.4,1.27154e+06
149,149,149,13038.6,1.14099e+06
150,150,150,13281.1,1.17593e+06
150,150,150,13424.3,1.20142e+06
136,136,136,12303.6,1.11308e+06
140,140,140,12809.3,1.172e+06
136,136,136,12573.7,1.1625e+06
158,158,158,14772.7,1.38123e+06
118,118,118,11152.3,1.05403e+06
138,138,138,13181.6,1.25911e+06
155,155,155,14951.6,1.44228e+06
128,128,128,12481.6,1.21713e+06
138,138,138,13594.2,1.33917e+06
123,123,123,12242.5,1.21853e+06
130,130,130,13063.1,1.31266e+06
114,114,114,11572.2,1.17471e+06
128,128,128,13122,1.34522e+06
127,127,127,13148.4,1.36128e+06
129,129,129,13486.3,1.40993e+06
125,125,125,13188.4,1.39148e+06
130,130,130,13843.6,1.47422e+06
147,147,147,15797.1,1.69762e+06
121,121,121,13122.6,1.42317e+06
106,106,106,11603.8,1.27027e+06
141,141,141,15581.1,1.72179e+06
130,130,130,14493,1.61574e+06
128,128,128,14393,1.61844e+06
134,134,134,15208.5,1.72612e+06
125,125,125,14309.3,1.63805e+06
159,159,159,18361.7,2.12048e+06
147,147,147,17129.5,1.99607e+06
134,134,134,15743,1.84958e+06
137,137,137,16228.4,1.92235e+06
138,138,138,16486,1.96949e+06
155,155,155,18675.7,2.25021e+06
115,115,115,13974.1,1.69805e+06
133,133,133,16291.2,1.99553e+06
117,117,117,14449.3,1.78447e+06
139,139,139,17300.2,2.15322e+06
134,134,134,16818.4,2.1109e+06
112,112,112,14170.4,1.79286e+06
