#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9941700,9.9417e+06,9.9417e+06,13.7528,9.7629
34,34,34,48.3418,70.5765
40,40,40,99.0974,248.277
32,32,32,111.282,390.524
28,28,28,125.799,567.051
37,37,37,202.127,1107.25
47,47,47,305.935,1995.27
48,48,48,359.393,2694.35
33,33,33,282.519,2421.29
40,40,40,381.641,3643.39
25,25,25,266.2,2836.36
38,38,38,436.354,5013.98
48,48,48,605.607,7644.08
36,36,36,483.95,6509.2
48,48,48,695.293,10074.9
34,34,34,526.652,8160.46
40,40,40,659.626,10881.2
30,30,30,523.097,9123.46
43,43,43,794.973,14700.1
42,42,42,817.16,15902.3
36,36,36,736.634,15075.7
28,28,28,600.968,12901.2
38,38,38,858.748,19409.3
45,45,45,1056.41,24804.6
39,39,39,957.67,23519.1
36,36,36,917.337,23378.9
32,32,32,848.708,22512
40,40,40,1100.4,30275.4
27,27,27,770.794,22007
37,37,37,1094.7,32391.7
39,39,39,1188.67,36232
43,43,43,1354.46,42667.8
32,32,32,1041.58,33906.1
44,44,44,1478.98,49716
54,54,54,1860.15,64082
35,35,35,1241.18,44017.9
39,39,39,1425.17,52082.3
35,35,35,1313.66,49308.3
30,30,30,1157.71,44678.7
39,39,39,1537.89,60646.1
26,26,26,1051.51,42527
50,50,50,2077.45,86320.9
37,37,37,1573.92,66955.2
35,35,35,1523.81,66345.6
44,44,44,1957.05,87051.7
41,41,41,1863.38,84690.7
35,35,35,1626.72,75608.5
63,63,63,2994.07,142299
40,40,40,1940.09,94100.7
31,31,31,1534.67,75976.6
43,43,43,2171.11,109624
55,55,55,2833.98,146031
40,40,40,2098.51,110097
40,40,40,2140.84,114583
60,60,60,3272.18,178457
39,39,39,2167.35,120449
49,49,49,2769.59,156547
47,47,47,2701.99,155338
41,41,41,2399.16,140392
52,52,52,3091.57,183808
70,70,70,4234.25,256133
39,39,39,2399.26,147606
70,70,70,4375.2,273468
64,64,64,4060.47,257621
47,47,47,3031.86,195582
