#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9927896,9.9279e+06,9.9279e+06,15.4764,10.7058
48,48,48,71.801,113.109
50,50,50,125.17,316.815
44,44,44,152.75,533.773
36,36,36,162.047,732.626
38,38,38,210.956,1174.02
50,50,50,323.385,2095.56
37,37,37,276.324,2066.81
41,41,41,347.738,2952.82
37,37,37,353.544,3381.39
47,47,47,494.401,5204.17
33,33,33,379.734,4372.83
52,52,52,649.179,8108.68
57,57,57,771.838,10456.4
36,36,36,521.601,7560.4
47,47,47,729.773,11334.8
39,39,39,643.753,10629.7
26,26,26,452.989,7894.55
46,46,46,850.196,15717.5
45,45,45,878.023,17135.8
34,34,34,695.545,14231.8
46,46,46,991.386,21369.7
47,47,47,1055.44,23704.7
52,52,52,1222.11,28725.9
38,38,38,932.323,22876.8
45,45,45,1148.59,29320
44,44,44,1165.37,30868.9
52,52,52,1424.6,39031.8
50,50,50,1427.18,40741.3
51,51,51,1504.47,44385
36,36,36,1097.1,33437.2
40,40,40,1261.42,39782.9
43,43,43,1400.94,45645.9
43,43,43,1440.98,48292.6
37,37,37,1277.38,44103
46,46,46,1632.3,57925.1
37,37,37,1349.19,49200.4
43,43,43,1614.35,60611.1
49,49,49,1887.26,72692.4
49,49,49,1932.79,76241.3
55,55,55,2228.7,90316.1
44,44,44,1828.52,75991.6
51,51,51,2167.5,92122.8
34,34,34,1478.89,64330.3
35,35,35,1557.59,69319.4
47,47,47,2139.21,97370.4
55,55,55,2560.48,119206
35,35,35,1662.55,78975.8
67,67,67,3248.93,157550
55,55,55,2722.78,134796
39,39,39,1968.58,99370.4
53,53,53,2729.89,140614
49,49,49,2568.33,134623
45,45,45,2407.21,128774
51,51,51,2778.6,151390
66,66,66,3659.87,202954
53,53,53,2994.65,169211
64,64,64,3684.36,212106
60,60,60,3506.89,204976
60,60,60,3573.51,212839
77,77,77,4662.86,282374
74,74,74,4550.65,279850
69,69,69,4308.81,269077
79,79,79,5013.47,318170
75,75,75,4837.51,312026
93,93,93,6091.38,398987
76,76,76,5051.31,335739
75,75,75,5064.31,341969
83,83,83,5686.91,389656
85,85,85,5913.57,411421
108,108,108,7613.17,536679
101,101,101,7221.12,516293
97,97,97,7028.42,509274
98,98,98,7204.06,529585
97,97,97,7228.64,538702
111,111,111,8379.93,632650
103,103,103,7880.13,602886
106,106,106,8224.57,638153
140,140,140,10989.1,862584
142,142,142,11289.7,897601
