#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9928758,9.92876e+06,9.92876e+06,13.4999,8.71785
41,41,41,61.3831,94.9583
51,51,51,124.184,306.07
47,47,47,160.833,553.669
40,40,40,180.341,815.785
47,47,47,258.975,1431.06
41,41,41,267.93,1753.75
52,52,52,390.264,2933.05
48,48,48,407.906,3470.58
50,50,50,473.765,4493.56
49,49,49,513.177,5379.14
42,42,42,483.139,5561.25
50,50,50,624.836,7812.22
49,49,49,663.299,8982.62
36,36,36,523.506,7615.49
37,37,37,571.674,8834.8
42,42,42,691.81,11399.3
41,41,41,716.608,12527.7
48,48,48,886.483,16375.5
48,48,48,933.964,18176.2
54,54,54,1106.83,22690.5
62,62,62,1335.22,28760.1
48,48,48,1077.88,24208.2
38,38,38,894.272,21049.2
46,46,46,1125.42,27537.9
43,43,43,1095.19,27897.4
34,34,34,902.114,23938.6
38,38,38,1044.36,28705.1
34,34,34,969.592,27653.1
43,43,43,1269.83,37502
43,43,43,1313.27,40111.5
48,48,48,1511.17,47579.4
55,55,55,1786.69,58047
33,33,33,1104.37,36960.9
41,41,41,1412.41,48659.2
41,41,41,1454.64,51613.4
55,55,55,2008.47,73348.9
41,41,41,1537.48,57657.3
46,46,46,1771.14,68197.9
54,54,54,2136.23,84513
47,47,47,1903.61,77105
42,42,42,1742.67,72311.1
51,51,51,2168.53,92210.4
40,40,40,1741.35,75809.9
52,52,52,2314.92,103060
55,55,55,2502.94,113908
45,45,45,2092.4,97295.3
46,46,46,2182.61,103564
41,41,41,1984.56,96063
48,48,48,2378.52,117864
62,62,62,3130.66,158086
41,41,41,2114.16,109019
54,54,54,2834.09,148746
61,61,61,3262.91,174539
54,54,54,2941.96,160285
58,58,58,3219.13,178674
55,55,55,3108.02,175638
52,52,52,2991.09,172056
64,64,64,3743.86,219014
54,54,54,3214.24,191325
76,76,76,4599.8,278403
71,71,71,4369.73,268942
66,66,66,4125.89,257930
88,88,88,5589.01,354975
91,91,91,5868.28,378434
68,68,68,4453.62,291694
93,93,93,6182.38,410994
86,86,86,5805.01,391847
100,100,100,6850.93,469360
80,80,80,5563.66,386936
106,106,106,7477.77,527527
103,103,103,7361.91,526199
86,86,86,6237.74,452441
98,98,98,7199.24,528877
102,102,102,7599.76,566248
116,116,116,8756.38,660995
119,119,119,9103.61,696444
109,109,109,8444.02,654151
128,128,128,10054.2,789750
131,131,131,10413,827719
129,129,129,10383.4,835790
135,135,135,11011.5,898191
150,150,150,12379.5,1.02169e+06
151,151,151,12605.7,1.05236e+06
146,146,146,12334.5,1.04206e+06
141,141,141,12052.6,1.03026e+06
154,154,154,13320.2,1.15215e+06
156,156,156,13654.2,1.19513e+06
144,144,144,12746.9,1.12837e+06
145,145,145,12976.7,1.16135e+06
145,145,145,13124.2,1.18791e+06
135,135,135,12352.4,1.13025e+06
141,141,141,13042.1,1.20636e+06
161,161,161,15058.3,1.40841e+06
142,142,142,13417.5,1.26783e+06
170,170,170,16238.1,1.55104e+06
150,150,150,14479.5,1.39771e+06
170,170,170,16574.9,1.61606e+06
147,147,147,14478.6,1.42606e+06
142,142,142,14129.4,1.40594e+06
154,154,154,15478.2,1.55569e+06
152,152,152,15423.6,1.56507e+06
151,151,151,15479.2,1.5868e+06
142,142,142,14696.5,1.52105e+06
168,168,168,17556.4,1.83469e+06
162,162,162,17086.1,1.80209e+06
157,157,157,16725.2,1.78175e+06
147,147,147,15801.6,1.69858e+06
165,165,165,17900.4,1.94199e+06
148,148,148,16203.9,1.77412e+06
174,174,174,19228.9,2.12503e+06
151,151,151,16838.9,1.87782e+06
152,152,152,17103.8,1.92461e+06
187,187,187,21219.6,2.40789e+06
159,159,159,18201.4,2.0836e+06
132,132,132,15248.6,1.76152e+06
139,139,139,16196.3,1.8872e+06
141,141,141,16563.2,1.94568e+06
162,162,162,19191.4,2.27353e+06
163,163,163,19478.3,2.32764e+06
162,162,162,19527.1,2.35377e+06
165,165,165,20048.2,2.43596e+06
150,150,150,18376.9,2.25142e+06
181,181,181,22349,2.75955e+06
