#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9855942,9.85594e+06,9.85594e+06,32.5727,23.4492
84,84,84,127.025,199.003
74,74,74,186.145,473.929
80,80,80,279.803,986.411
78,78,78,351.728,1591.95
79,79,79,436.177,2416.24
82,82,82,534.249,3487.19
68,68,68,513.212,3878.33
90,90,90,764.588,6503.86
67,67,67,638.106,6081.35
79,79,79,826.077,8642.45
64,64,64,738.799,8533.9
93,93,93,1163.19,14556.5
73,73,73,988.051,13378.9
95,95,95,1382.07,20114.6
78,78,78,1210,18776.9
85,85,85,1398.55,23017.7
67,67,67,1172.9,20539.1
90,90,90,1662.57,30720.9
80,80,80,1561.89,30500.3
83,83,83,1700.87,34863
90,90,90,1931.77,41471.9
91,91,91,2045.84,46000
85,85,85,2002.92,47203.6
87,87,87,2130.5,52180.1
91,91,91,2325.35,59427.6
77,77,77,2038.64,53979.9
82,82,82,2256.62,62108.8
86,86,86,2453.34,69993.6
75,75,75,2212.02,65248.1
88,88,88,2683.66,81847.6
90,90,90,2832.23,89135.9
78,78,78,2535.02,82393.5
79,79,79,2639.99,88228.6
88,88,88,3037.91,104880
99,99,99,3515.46,124840
87,87,87,3176.11,115959
95,95,95,3567.93,134010
88,88,88,3390.06,130602
83,83,83,3274.59,129199
98,98,98,3971.01,160916
96,96,96,3979.41,164963
96,96,96,4082.86,173651
95,95,95,4132.37,179758
105,105,105,4671.63,207857
104,104,104,4729.61,215097
119,119,119,5533.68,257336
121,121,121,5745.15,272793
100,100,100,4850.62,235295
122,122,122,6039.77,299016
122,122,122,6156.93,310730
124,124,124,6382.33,328513
126,126,126,6616.33,347438
136,136,136,7275.25,389196
137,137,137,7460.71,406305
153,153,153,8489.23,471039
146,146,146,8247.56,465917
164,164,164,9430.52,542298
162,162,162,9481.37,554929
176,176,176,10478.3,623849
178,178,178,10773.9,652127
167,167,167,10277.2,632478
185,185,185,11561.5,722541
165,165,165,10477.7,665357
217,217,217,13992.2,902239
196,196,196,12841.2,841322
220,220,220,14627.5,972577
235,235,235,15865.5,1.07115e+06
222,222,222,15198.9,1.04058e+06
241,241,241,16751.1,1.16433e+06
218,218,218,15366.3,1.08316e+06
264,264,264,18869.9,1.34879e+06
301,301,301,21822.5,1.58215e+06
255,255,255,18741,1.37737e+06
314,314,314,23395.5,1.74317e+06
333,333,333,25142.5,1.89835e+06
287,287,287,21960.8,1.68042e+06
323,323,323,25036.3,1.94064e+06
312,312,312,24505.2,1.92471e+06
326,326,326,25919.8,2.06087e+06
343,343,343,27619.5,2.22404e+06
339,339,339,27630.9,2.25214e+06
340,340,340,28047.1,2.31367e+06
397,397,397,33158.3,2.76949e+06
355,355,355,29992.8,2.53401e+06
361,361,361,30870.1,2.63982e+06
345,345,345,29842.6,2.58143e+06
390,390,390,34124.6,2.9859e+06
364,364,364,32216,2.85133e+06
359,359,359,32126.4,2.87497e+06
373,373,373,33761.5,3.0559e+06
343,343,343,31388.2,2.87238e+06
334,334,334,30890.2,2.85693e+06
341,341,341,31879.6,2.98041e+06
308,308,308,29110.2,2.75133e+06
343,343,343,32742.3,3.12556e+06
336,336,336,32417.3,3.12766e+06
333,333,333,32464.3,3.16499e+06
355,355,355,34977.6,3.44632e+06
353,353,353,35120.4,3.4942e+06
356,356,356,35772.2,3.59455e+06
325,325,325,32983.6,3.34747e+06
350,350,350,35879.6,3.67816e+06
319,319,319,33015.3,3.41698e+06
333,333,333,34790.6,3.63483e+06
337,337,337,35558.3,3.75193e+06
304,304,304,32384.2,3.44981e+06
312,312,312,33539,3.60535e+06
313,313,313,33955,3.68355e+06
335,335,335,36682.8,4.01683e+06
339,339,339,37461.9,4.13984e+06
345,345,345,38470.6,4.28985e+06
343,343,343,38581.8,4.33984e+06
338,338,338,38364.8,4.35464e+06
321,321,321,36752.7,4.20801e+06
340,340,340,39273.7,4.53657e+06
328,328,328,38210,4.45126e+06
333,333,333,39127.6,4.59753e+06
295,295,295,34957.2,4.14242e+06
323,323,323,38599.3,4.61273e+06
340,340,340,40970.7,4.93708e+06
304,304,304,36943.7,4.48963e+06
317,317,317,38828,4.7559e+06
338,338,338,41732.5,5.15269e+06
334,334,334,41592.5,5.17947e+06
335,335,335,42054.5,5.27938e+06
323,323,323,40859.1,5.16866e+06
329,329,329,41942.2,5.34698e+06
336,336,336,43176.2,5.5482e+06
341,341,341,44163.6,5.71973e+06
370,370,370,48285.7,6.3014e+06
359,359,359,47211.9,6.20884e+06
364,364,364,48233.1,6.39133e+06
354,354,354,47253,6.30749e+06
339,339,339,45600.7,6.13401e+06
359,359,359,48651.1,6.59314e+06
367,367,367,50104.6,6.84055e+06
379,379,379,52122.4,7.16822e+06
392,392,392,54291.2,7.51926e+06
423,423,423,59013.8,8.2332e+06
424,424,424,59584.2,8.37334e+06
