#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9929820,9.92982e+06,9.92982e+06,11.4677,7.85551
40,40,40,59.7405,92.6471
31,31,31,76.6354,191.835
49,49,49,170.252,595.032
43,43,43,193.503,874.125
35,35,35,197.251,1114.2
50,50,50,324.652,2112.47
28,28,28,210.322,1582.5
44,44,44,374.177,3184.89
39,39,39,371.486,3542.72
47,47,47,493.558,5187.06
52,52,52,599.359,6913.25
31,31,31,388.95,4883.26
40,40,40,537.466,7224.99
59,59,59,854.901,12392.7
57,57,57,882.915,13681.6
38,38,38,625.022,10282.9
44,44,44,769.538,13462
48,48,48,888.37,16445.9
35,35,35,681.728,13282
54,54,54,1103.49,22554.9
42,42,42,900.838,19324.3
30,30,30,675.118,15194.7
42,42,42,987.268,23210
43,43,43,1054.24,25850.2
47,47,47,1198.44,30563
37,37,37,981.34,26030.4
41,41,41,1127.92,31032.9
47,47,47,1340.34,38227.2
47,47,47,1388.06,40997.5
47,47,47,1433.1,43700.7
46,46,46,1449.94,45706.3
39,39,39,1265.74,41082.2
37,37,37,1238.35,41449.6
48,48,48,1656.77,57189.3
44,44,44,1564.6,55639.3
42,42,42,1532.16,55896.9
49,49,49,1835.41,68752.8
55,55,55,2116.52,81452.7
54,54,54,2130.89,84091.7
45,45,45,1823.14,73866.2
43,43,43,1783.25,73956.9
48,48,48,2043.02,86960.4
35,35,35,1520.53,66059.9
35,35,35,1556.02,69180.6
51,51,51,2321.98,105722
53,53,53,2467.77,114907
51,51,51,2421.04,114935
50,50,50,2425.27,117642
57,57,57,2822.7,139788
42,42,42,2123.78,107395
52,52,52,2677.4,137859
58,58,58,3043.87,159749
58,58,58,3097.9,165469
56,56,56,3054.44,166605
57,57,57,3167.43,176016
73,73,73,4126.14,233225
61,61,61,3508.53,201805
67,67,67,3919.43,229289
54,54,54,3211.91,191048
58,58,58,3507.92,212167
62,62,62,3812.88,234492
62,62,62,3875.85,242299
73,73,73,4635.16,294317
71,71,71,4583.67,295923
73,73,73,4783.32,313433
92,92,92,6113.54,406261
64,64,64,4321.09,291752
85,85,85,5823.92,399043
95,95,95,6601.45,458736
79,79,79,5568.43,392504
81,81,81,5789.97,413881
90,90,90,6524.07,472937
93,93,93,6836.73,502598
112,112,112,8342.81,621461
101,101,101,7627.44,576027
119,119,119,9107.73,697074
128,128,128,9923.7,769386
118,118,118,9264.38,727372
118,118,118,9379.48,745558
113,113,113,9096.37,732255
128,128,128,10433,850383
122,122,122,10064.5,830284
117,117,117,9766.89,815326
110,110,110,9295.39,785502
145,145,145,12402.3,1.06081e+06
146,146,146,12631.7,1.0929e+06
122,122,122,10676.3,934291
133,133,133,11776.8,1.04281e+06
144,144,144,12882.8,1.15256e+06
152,152,152,13756.7,1.24506e+06
135,135,135,12351.5,1.13009e+06
141,141,141,13049.7,1.20777e+06
123,123,123,11502.2,1.07563e+06
118,118,118,11149.6,1.05351e+06
124,124,124,11844.7,1.13143e+06
132,132,132,12740.7,1.22974e+06
143,143,143,13944.4,1.35977e+06
149,149,149,14680.7,1.44647e+06
153,153,153,15223.3,1.51471e+06
161,161,161,16179.6,1.62598e+06
131,131,131,13296.7,1.34965e+06
123,123,123,12609.1,1.29261e+06
132,132,132,13666.3,1.41492e+06
125,125,125,13060.4,1.3646e+06
156,156,156,16455.9,1.73588e+06
148,148,148,15755.1,1.67719e+06
124,124,124,13322.3,1.43132e+06
165,165,165,17904.2,1.9428e+06
128,128,128,14013.2,1.53415e+06
141,141,141,15577.6,1.72101e+06
132,132,132,14718.6,1.6412e+06
123,123,123,13844.2,1.55823e+06
115,115,115,13054.7,1.48197e+06
136,136,136,15575.2,1.78375e+06
136,136,136,15703.8,1.81331e+06
130,130,130,15146,1.76463e+06
143,143,143,16802.1,1.97421e+06
136,136,136,16113.9,1.90925e+06
138,138,138,16487.7,1.96989e+06
153,153,153,18436.1,2.22152e+06
130,130,130,15792.7,1.91856e+06
138,138,138,16912.3,2.07265e+06
147,147,147,18157.1,2.24273e+06
130,130,130,16185.3,2.01511e+06
140,140,140,17567.8,2.20449e+06
141,141,141,17831.2,2.25499e+06
140,140,140,17846.7,2.27504e+06
124,124,124,15931.4,2.04687e+06
162,162,162,20975.4,2.71586e+06
138,138,138,18003.3,2.3487e+06
173,173,173,22746.7,2.99084e+06
171,171,171,22657.2,3.00206e+06
148,148,148,19756.7,2.63735e+06
155,155,155,20850,2.80467e+06
156,156,156,21138.8,2.86443e+06
194,194,194,26483,3.61523e+06
190,190,190,26126.4,3.5926e+06
184,184,184,25480.3,3.52852e+06
180,180,180,25109.4,3.50269e+06
216,216,216,30347.9,4.26388e+06
213,213,213,30138.9,4.2646e+06
216,216,216,30782.9,4.387e+06
234,234,234,33581.8,4.81941e+06
225,225,225,32504,4.69561e+06
212,212,212,30845.2,4.48788e+06
240,240,240,35160.6,5.15114e+06
235,235,235,34671.1,5.11526e+06
265,265,265,39353.5,5.84417e+06
225,225,225,33634.3,5.02786e+06
223,223,223,33563.6,5.05166e+06
275,275,275,41664,6.31235e+06
273,273,273,41632.8,6.34908e+06
252,252,252,38679.8,5.93702e+06
258,258,258,39865.4,6.1599e+06
274,274,274,42606.2,6.62515e+06
280,280,280,43821.1,6.85821e+06
287,287,287,45204.8,7.12014e+06
276,276,276,43748.1,6.93444e+06
283,283,283,45143.9,7.20134e+06
259,259,259,41576.6,6.6742e+06
287,287,287,46347.6,7.48468e+06
299,299,299,48593.5,7.89745e+06
285,285,285,46600.9,7.61984e+06
289,289,289,47542.4,7.82105e+06
307,307,307,50802.2,8.40673e+06
289,289,289,48128.4,8.01505e+06
293,293,293,49076.5,8.22018e+06
286,286,286,48187.2,8.11894e+06
290,290,290,49159.6,8.33335e+06
308,308,308,52522.3,8.95651e+06
333,333,333,57098.7,9.7906e+06
303,303,303,52267.3,9.01611e+06
316,316,316,54836.3,9.5159e+06
312,312,312,54449.1,9.50228e+06
336,336,336,58965.2,1.03479e+07
295,295,295,52065.7,9.18929e+06
309,309,309,54852.7,9.7373e+06
313,313,313,55873.2,9.97387e+06
353,353,353,63358.8,1.13721e+07
323,323,323,58306.1,1.05251e+07
310,310,310,56258.4,1.02097e+07
343,343,343,62603.8,1.14264e+07
382,382,382,70106.7,1.28664e+07
347,347,347,64026.2,1.18137e+07
402,402,402,74573.3,1.38338e+07
414,414,414,77220.4,1.44034e+07
418,418,418,78372.9,1.46946e+07
507,507,507,95573.7,1.80165e+07
567,567,567,107457,2.03653e+07
624,624,624,118875,2.26462e+07
689,689,689,131938,2.52652e+07
807,807,807,155342,2.99025e+07
879,879,879,170094,3.29146e+07
1030,1030,1030,200334,3.8965e+07
1049,1049,1049,205071,4.00899e+07
1155,1155,1155,226957,4.45972e+07
1180,1180,1180,233061,4.6032e+07
1249,1249,1249,247936,4.92173e+07
1258,1258,1258,250970,5.00684e+07
1192,1192,1192,238998,4.79197e+07
