#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9953188,9.95319e+06,9.95319e+06,8.55958,6.04041
30,30,30,42.9563,64.4977
20,20,20,47.8658,115.699
26,26,26,92.621,331.984
34,34,34,153.039,691.735
40,40,40,218.741,1198.54
28,28,28,181.548,1179.24
28,28,28,212.987,1622.81
33,33,33,279.971,2378.19
34,34,34,322.861,3068.61
33,33,33,349.124,3696.07
38,38,38,437.699,5045.17
43,43,43,535.948,6683.5
32,32,32,432.098,5837.06
18,18,18,261.054,3787.21
30,30,30,466.972,7271
30,30,30,495.88,8198.62
36,36,36,628.524,10977.2
30,30,30,556.498,10325.1
43,43,43,837.501,16315.4
22,22,22,450.979,9247.16
32,32,32,689.082,14841.7
28,28,28,630.149,14183.7
22,22,22,518.776,12234.5
25,25,25,610.754,14922.6
19,19,19,483.687,12314.4
22,22,22,581.832,15389.7
32,32,32,879.76,24189.8
33,33,33,942.614,26927.3
30,30,30,886.774,26214.9
38,38,38,1158.41,35316.9
17,17,17,536.971,16962
28,28,28,908.295,29466
41,41,41,1375.43,46144.6
26,26,26,894.437,30771.4
34,34,34,1206.04,42783.3
42,42,42,1534.56,56071.1
41,41,41,1537.52,57661.6
21,21,21,806.784,30996.5
33,33,33,1304.61,51578.6
43,43,43,1740.66,70465.6
35,35,35,1452.67,60296.2
29,29,29,1234.36,52541.3
27,27,27,1173.35,50993.3
23,23,23,1024.18,45607.4
38,38,38,1728.62,78638.4
35,35,35,1627.03,75638.4
43,43,43,2040.1,96793.3
30,30,30,1454.54,70524.6
35,35,35,1732.69,85780.6
33,33,33,1664.83,83992.5
36,36,36,1851.5,95227.4
39,39,39,2046.99,107444
31,31,31,1659.07,88792.7
28,28,28,1524.8,83039.1
32,32,32,1778.68,98868.7
29,29,29,1636.83,92388.4
45,45,45,2587.49,148783
51,51,51,2981.12,174261
48,48,48,2857.02,170058
42,42,42,2542.05,153861
34,34,34,2092.33,128763
40,40,40,2500.09,156265
33,33,33,2096.91,133246
37,37,37,2385.2,153765
48,48,48,3145.68,206156
43,43,43,2858.95,190087
55,55,55,3713.51,250734
58,58,58,3972.52,272090
40,40,40,2781.53,193426
67,67,67,4724.99,333223
56,56,56,4007.1,286734
74,74,74,5363.92,388813
46,46,46,3382.69,248756
62,62,62,4617.52,343901
65,65,65,4906.76,370409
66,66,66,5048.23,386136
65,65,65,5039.38,390703
58,58,58,4552.32,357309
83,83,83,6597.4,524413
63,63,63,5076.14,409008
75,75,75,6112.99,498255
83,83,83,6848.72,565126
82,82,82,6849.45,572141
84,84,84,7098.54,599879
105,105,105,8988.22,769421
88,88,88,7607.14,657605
64,64,64,5601.1,490197
88,88,88,7788.2,689282
114,114,114,10207.7,914018
103,103,103,9324.02,844060
100,100,100,9145.7,836448
90,90,90,8327.2,770477
96,96,96,8976.58,839372
86,86,86,8127.75,768151
87,87,87,8310.23,793800
79,79,79,7626.9,736331
105,105,105,10235.6,997803
92,92,92,9061.4,892497
94,94,94,9350.79,930191
100,100,100,10048.1,1.00966e+06
80,80,80,8118.76,823935
101,101,101,10359.5,1.06257e+06
94,94,94,9734.07,1.00801e+06
81,81,81,8466.77,885021
88,88,88,9283.46,979358
92,92,92,9801.3,1.0442e+06
99,99,99,10641.1,1.14377e+06
99,99,99,10744.9,1.1662e+06
101,101,101,11054.8,1.20999e+06
91,91,91,10057.2,1.11151e+06
101,101,101,11262.9,1.25598e+06
83,83,83,9336.72,1.0503e+06
79,79,79,8967.43,1.01791e+06
114,114,114,13047.3,1.49328e+06
100,100,100,11544.5,1.33276e+06
85,85,85,9901.41,1.15339e+06
83,83,83,9749.56,1.14524e+06
84,84,84,9958.99,1.18074e+06
108,108,108,12905,1.54203e+06
74,74,74,8922.03,1.07572e+06
103,103,103,12510.6,1.51957e+06
93,93,93,11391.5,1.39534e+06
104,104,104,12844.4,1.58634e+06
78,78,78,9712.59,1.20942e+06
96,96,96,12041,1.51027e+06
107,107,107,13542.9,1.71412e+06
99,99,99,12621.3,1.60906e+06
134,134,134,17217.4,2.21225e+06
126,126,126,16315.7,2.11273e+06
109,109,109,14226.3,1.85678e+06
108,108,108,14205.3,1.86845e+06
111,111,111,14710.9,1.94965e+06
117,117,117,15621.5,2.08574e+06
108,108,108,14527.7,1.95421e+06
126,126,126,17071.8,2.31308e+06
130,130,130,17745.9,2.42244e+06
117,117,117,16088.2,2.21224e+06
120,120,120,16621,2.30215e+06
143,143,143,19940.7,2.78066e+06
159,159,159,22340.9,3.13912e+06
156,156,156,22074.7,3.12367e+06
169,169,169,24083.9,3.43217e+06
166,166,166,23823.7,3.41911e+06
129,129,129,18641.2,2.69378e+06
136,136,136,19791.1,2.88006e+06
158,158,158,23149.4,3.39175e+06
172,172,172,25365.6,3.74079e+06
145,145,145,21525.6,3.19553e+06
164,164,164,24516.5,3.66502e+06
155,155,155,23323.5,3.5096e+06
154,154,154,23329,3.53406e+06
170,170,170,25922.5,3.95281e+06
171,171,171,26253.6,4.03073e+06
148,148,148,22865,3.53249e+06
153,153,153,23796.1,3.70101e+06
178,178,178,27858.8,4.3602e+06
168,168,168,26458.8,4.16708e+06
176,176,176,27892.7,4.42047e+06
185,185,185,29500.7,4.70429e+06
158,158,158,25360.2,4.07053e+06
151,151,151,24387.2,3.93867e+06
134,134,134,21771.6,3.53735e+06
160,160,160,26156.5,4.27604e+06
163,163,163,26813.1,4.4107e+06
171,171,171,28304.5,4.68507e+06
174,174,174,28970,4.82334e+06
160,160,160,26799.1,4.48871e+06
140,140,140,23590.1,3.97496e+06
145,145,145,24573.5,4.16456e+06
134,134,134,22842.8,3.89398e+06
201,201,201,34475.7,5.91333e+06
148,148,148,25529.3,4.40371e+06
160,160,160,27760.9,4.8167e+06
157,157,157,27393,4.77947e+06
180,180,180,31588.3,5.54346e+06
175,175,175,30888.6,5.45204e+06
161,161,161,28581.7,5.07401e+06
157,157,157,28024.2,5.00227e+06
144,144,144,25850.7,4.6407e+06
134,134,134,24190.3,4.36695e+06
172,172,172,31220.2,5.66687e+06
147,147,147,26823.8,4.89466e+06
153,153,153,28084.6,5.1552e+06
171,171,171,31554,5.82257e+06
159,159,159,29492.6,5.47054e+06
179,179,179,33378.4,6.22415e+06
172,172,172,32243.6,6.0445e+06
215,215,215,40528,7.63963e+06
201,201,201,38097.8,7.22112e+06
218,218,218,41530.1,7.9117e+06
254,254,254,48642.5,9.31535e+06
291,291,291,56021.3,1.07849e+07
369,369,369,71397.8,1.38148e+07
461,461,461,89679,1.74454e+07
526,526,526,102843,2.01077e+07
647,647,647,127142,2.49846e+07
611,611,611,120678,2.3835e+07
700,700,700,138948,2.75807e+07
705,705,705,140649,2.80598e+07
686,686,686,137545,2.75782e+07
744,744,744,149917,3.02086e+07
746,746,746,151069,3.05922e+07
786,786,786,159963,3.2555e+07
793,793,793,162182,3.3169e+07
804,804,804,165226,3.39547e+07
776,776,776,160248,3.30919e+07
782,782,782,162268,3.36713e+07
769,769,769,160340,3.34315e+07
738,738,738,154608,3.239e+07
699,699,699,147150,3.09773e+07
754,754,754,159458,3.37225e+07
726,726,726,154283,3.27871e+07
719,719,719,153505,3.27732e+07
700,700,700,150144,3.22047e+07
686,686,686,147836,3.18593e+07
666,666,666,144179,3.12125e+07
647,647,647,140728,3.06094e+07
631,631,631,137873,3.01252e+07
604,604,604,132568,2.90967e+07
588,588,588,129649,2.85865e+07
601,601,601,133120,2.94858e+07
576,576,576,128155,2.85134e+07
517,517,517,115548,2.58248e+07
497,497,497,111585,2.50527e+07
516,516,516,116352,2.62361e+07
488,488,488,110526,2.50329e+07
465,465,465,105781,2.40637e+07
412,412,412,94147.5,2.1514e+07
417,417,417,95700.9,2.19633e+07
391,391,391,90118.4,2.07707e+07
347,347,347,80327.3,1.85951e+07
337,337,337,78348.6,1.82152e+07
325,325,325,75891.1,1.77215e+07
327,327,327,76676.8,1.79796e+07
316,316,316,74415.2,1.75241e+07
265,265,265,62675.2,1.48234e+07
238,238,238,56520.6,1.34226e+07
228,228,228,54377,1.29687e+07
216,216,216,51732.6,1.23901e+07
196,196,196,47137.5,1.13364e+07
175,175,175,42262.2,1.02063e+07
167,167,167,40494.4,9.81915e+06
168,168,168,40908,9.9611e+06
149,149,149,36432.2,8.90811e+06
129,129,129,31678,7.77903e+06
128,128,128,31549.2,7.77621e+06
113,113,113,27967.9,6.92218e+06
90,90,90,22364.6,5.55753e+06
109,109,109,27193.1,6.78407e+06
76,76,76,19036.9,4.7685e+06
85,85,85,21379.5,5.37745e+06
91,91,91,22978.1,5.80212e+06
71,71,71,17999,4.56285e+06
68,68,68,17306.3,4.40455e+06
49,49,49,12518.8,3.1984e+06
38,38,38,9747.32,2.50027e+06
55,55,55,14163.1,3.64718e+06
55,55,55,14216.8,3.67484e+06
44,44,44,11417.8,2.96287e+06
43,43,43,11201,2.91775e+06
23,23,23,6014.87,1.57299e+06
23,23,23,6035.76,1.58393e+06
30,30,30,7904.08,2.08248e+06
24,24,24,6349.07,1.67961e+06
29,29,29,7701.5,2.04528e+06
25,25,25,6662.28,1.77544e+06
31,31,31,8293.47,2.21877e+06
19,19,19,5102.38,1.37023e+06
20,20,20,5388.8,1.45196e+06
11,11,11,2975.55,804899
12,12,12,3258.26,884691
18,18,18,4904.37,1.33627e+06
7,7,7,1912.81,522693
14,14,14,3844.58,1.05577e+06
12,12,12,3306.4,911026
17,17,17,4700.44,1.29965e+06
9,9,9,2497.67,693153
7,7,7,1950.68,543594
9,9,9,2513.79,702126
5,5,5,1402.13,393197
13,13,13,3659.42,1.03011e+06
11,11,11,3108.68,878536
9,9,9,2552.14,723711
11,11,11,3129.33,890249
10,10,10,2854.73,814948
11,11,11,3151.82,903090
8,8,8,2300.79,661705
4,4,4,1154.37,333142
5,5,5,1446.83,418666
3,3,3,870.482,252580
7,7,7,2042.26,595832
4,4,4,1170.37,342440
5,5,5,1466.39,430060
9,9,9,2651.66,781259
1,1,1,295.055,87057.2
4,4,4,1185.7,351473
3,3,3,891.744,265069
5,5,5,1491.39,444847
3,3,3,897.78,268670
4,4,4,1202.62,361572
0,0,0,0,0
2,2,2,604.773,182875
1,1,1,303.137,91891.9
3,3,3,913.601,278222
