#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9859778,9.85978e+06,9.85978e+06,28.8652,21.4054
73,73,73,106.947,162.382
67,67,67,166.774,420.197
68,68,68,240.973,861.24
89,89,89,402.714,1829.09
87,87,87,475.661,2607.46
75,75,75,488.977,3194.23
92,92,92,689.582,5176.65
81,81,81,691.051,5901.36
79,79,79,748.914,7105.95
84,84,84,887.351,9380.6
61,61,61,705.342,8160.95
93,93,93,1164.93,14600.4
89,89,89,1199.18,16164.4
82,82,82,1191.57,17321.3
72,72,72,1117.2,17342.2
73,73,73,1206.23,19936.8
81,81,81,1412.57,24640.3
75,75,75,1388.23,25703.1
77,77,77,1504.15,29389
88,88,88,1805.85,37065
85,85,85,1830.89,39443.5
67,67,67,1510.17,34044.2
84,84,84,1975.98,46490.8
64,64,64,1564.08,38228.3
72,72,72,1834.64,46753.3
85,85,85,2254.5,59803.2
83,83,83,2280.51,62665.4
75,75,75,2131.42,60579.1
74,74,74,2184.53,64494.6
80,80,80,2441.24,74502.4
78,78,78,2459.92,77586
71,71,71,2303.84,74760.9
82,82,82,2745.28,91916.3
77,77,77,2659.64,91871.4
90,90,90,3200.46,113818
87,87,87,3177.68,116073
71,71,71,2665.94,100109
85,85,85,3272.92,126030
85,85,85,3358.72,132724
89,89,89,3601.85,145776
76,76,76,3155.16,130994
80,80,80,3398.82,144408
76,76,76,3307.97,143989
86,86,86,3827.45,170348
91,91,91,4141.6,188501
76,76,76,3531.43,164098
93,93,93,4417.75,209863
84,84,84,4073.06,197505
95,95,95,4707.35,233261
100,100,100,5046.85,254715
92,92,92,4736.47,243857
124,124,124,6510.03,341789
101,101,101,5407.14,289485
102,102,102,5560.06,303090
97,97,97,5384.07,298857
94,94,94,5313.34,300343
120,120,120,6897.66,396492
135,135,135,7897.54,462021
140,140,140,8330.48,495704
132,132,132,7985.58,483112
123,123,123,7562.21,464946
135,135,135,8437.41,527343
143,143,143,9080.25,576593
157,157,157,10131.8,653856
148,148,148,9697.75,635460
145,145,145,9643.15,641325
157,157,157,10598.1,715419
160,160,160,10962.5,751114
173,173,173,12025.7,835959
195,195,195,13752.7,969953
200,200,200,14306.1,1.02335e+06
212,212,212,15365.6,1.1137e+06
212,212,212,15578.7,1.14481e+06
222,222,222,16535.8,1.23169e+06
205,205,205,15478,1.16865e+06
225,225,225,17210.5,1.31647e+06
252,252,252,19530.9,1.51374e+06
282,282,282,22140.5,1.73833e+06
295,295,295,23452.5,1.8645e+06
263,263,263,21169.5,1.704e+06
277,277,277,22576.1,1.84002e+06
278,278,278,22936.7,1.89245e+06
291,291,291,24300.1,2.02921e+06
290,290,290,24507.9,2.07119e+06
302,302,302,25826.9,2.20873e+06
294,294,294,25444.8,2.20219e+06
302,302,302,26429.7,2.31304e+06
301,301,301,26633.1,2.35658e+06
281,281,281,25144.6,2.25002e+06
298,298,298,26972.7,2.44138e+06
285,285,285,26071.9,2.38508e+06
312,312,312,28859,2.66939e+06
306,306,306,28606.3,2.67428e+06
293,293,293,27683.2,2.6156e+06
313,313,313,29887,2.85382e+06
305,305,305,29428.9,2.83957e+06
290,290,290,28270.5,2.75596e+06
303,303,303,29846.2,2.93994e+06
343,343,343,34131,3.39632e+06
287,287,287,28842,2.8985e+06
299,299,299,30352,3.08111e+06
339,339,339,34748.7,3.56189e+06
341,341,341,35299.1,3.65407e+06
298,298,298,31140.1,3.25406e+06
286,286,286,30173.5,3.18338e+06
290,290,290,30885.2,3.28932e+06
302,302,302,32470.4,3.49117e+06
303,303,303,32873.1,3.56649e+06
335,335,335,36680.8,4.01638e+06
300,300,300,33145.7,3.66214e+06
306,306,306,34118.8,3.80425e+06
314,314,314,35330,3.97522e+06
300,300,300,34048.3,3.86432e+06
293,293,293,33548.9,3.84142e+06
326,326,326,37661.4,4.3509e+06
312,312,312,36349.1,4.23482e+06
347,347,347,40788.3,4.79452e+06
312,312,312,36974.5,4.3818e+06
317,317,317,37879.6,4.5264e+06
296,296,296,35673,4.29923e+06
325,325,325,39494.2,4.79939e+06
306,306,306,37484.2,4.59174e+06
307,307,307,37905.6,4.68026e+06
334,334,334,41585.6,5.17775e+06
339,339,339,42543.1,5.33902e+06
347,347,347,43888.8,5.55112e+06
300,300,300,38246.6,4.87604e+06
306,306,306,39320.9,5.05276e+06
348,348,348,45069.3,5.83694e+06
349,349,349,45542.8,5.94314e+06
360,360,360,47345.6,6.22671e+06
356,356,356,47165.2,6.24879e+06
402,402,402,53665.6,7.16419e+06
394,394,394,52984.3,7.12524e+06
381,381,381,51631.7,6.99696e+06
392,392,392,53514.8,7.30573e+06
427,427,427,58714.6,8.07359e+06
400,400,400,55400.4,7.67305e+06
422,422,422,58862.9,8.21055e+06
440,440,440,61828.1,8.68803e+06
419,419,419,59288.5,8.38936e+06
426,426,426,60696.7,8.64814e+06
476,476,476,68305.9,9.80191e+06
487,487,487,70371.6,1.01688e+07
515,515,515,74939.5,1.09048e+07
489,489,489,71637.3,1.04947e+07
497,497,497,73304.5,1.0812e+07
569,569,569,84487,1.2545e+07
530,530,530,79232.5,1.18449e+07
546,546,546,82178.9,1.23689e+07
550,550,550,83335.5,1.2627e+07
572,572,572,87227.3,1.33018e+07
606,606,606,93020.6,1.42787e+07
640,640,640,98877.2,1.52761e+07
618,618,618,96098.2,1.49432e+07
637,637,637,99681.3,1.55987e+07
685,685,685,107887,1.69923e+07
661,661,661,104763,1.66041e+07
699,699,699,111486,1.77815e+07
748,748,748,120060,1.92705e+07
722,722,722,116598,1.88299e+07
794,794,794,129034,2.09696e+07
745,745,745,121806,1.99151e+07
742,742,742,122056,2.00778e+07
805,805,805,133221,2.2047e+07
790,790,790,131543,2.19032e+07
820,820,820,137349,2.30058e+07
836,836,836,140868,2.37368e+07
789,789,789,133741,2.267e+07
864,864,864,147316,2.5118e+07
806,806,806,138252,2.37143e+07
804,804,804,138697,2.39266e+07
858,858,858,148855,2.5825e+07
860,860,860,150091,2.61944e+07
865,865,865,151818,2.66461e+07
895,895,895,157955,2.78768e+07
977,977,977,173423,3.07836e+07
915,915,915,163316,2.91499e+07
1009,1009,1009,181110,3.25083e+07
982,982,982,177257,3.19959e+07
1014,1014,1014,184052,3.34075e+07
1106,1106,1106,201855,3.68405e+07
1178,1178,1178,216186,3.96746e+07
1385,1385,1385,255563,4.71572e+07
1612,1612,1612,299043,5.54756e+07
1948,1948,1948,363336,6.77686e+07
2453,2453,2453,459978,8.62537e+07
2629,2629,2629,495607,9.34298e+07
2830,2830,2830,536283,1.01626e+08
2980,2980,2980,567706,1.08151e+08
3036,3036,3036,581401,1.1134e+08
2998,2998,2998,577131,1.11101e+08
2999,2999,2999,580340,1.12302e+08
2889,2889,2889,561912,1.09293e+08
2777,2777,2777,542920,1.06144e+08
2706,2706,2706,531731,1.04486e+08
2557,2557,2557,504995,9.97341e+07
2535,2535,2535,503211,9.98902e+07
2322,2322,2322,463228,9.24118e+07
2383,2383,2383,477785,9.57949e+07
2280,2280,2280,459439,9.2581e+07
2047,2047,2047,414522,8.39418e+07
2006,2006,2006,408220,8.30726e+07
1966,1966,1966,402026,8.22101e+07
1781,1781,1781,365979,7.52053e+07
1701,1701,1701,351247,7.25307e+07
1742,1742,1742,361461,7.50026e+07
1574,1574,1574,328179,6.84255e+07
1477,1477,1477,309427,6.48243e+07
1346,1346,1346,283322,5.96372e+07
1272,1272,1272,269025,5.68982e+07
1268,1268,1268,269453,5.72595e+07
1211,1211,1211,258556,5.52033e+07
1124,1124,1124,241085,5.17101e+07
1068,1068,1068,230149,4.9596e+07
943,943,943,204153,4.41979e+07
959,959,959,208580,4.53657e+07
883,883,883,192935,4.21561e+07
811,811,811,178004,3.90697e+07
763,763,763,168246,3.70993e+07
689,689,689,152618,3.3806e+07
676,676,676,150401,3.34621e+07
578,578,578,129179,2.88707e+07
544,544,544,122134,2.74204e+07
481,481,481,108451,2.44526e+07
449,449,449,101710,2.30398e+07
470,470,470,106940,2.43322e+07
382,382,382,87288.9,1.9946e+07
398,398,398,91343.4,2.09639e+07
381,381,381,87820.9,2.02429e+07
333,333,333,77077.2,1.78405e+07
287,287,287,66727.9,1.55144e+07
262,262,262,61175.6,1.42842e+07
252,252,252,59095.8,1.38584e+07
208,208,208,48977,1.15324e+07
211,211,211,49899.1,1.18006e+07
182,182,182,43226.6,1.02667e+07
168,168,168,40062.3,9.55352e+06
141,141,141,33767.4,8.08681e+06
166,166,166,39914.5,9.59742e+06
127,127,127,30670.9,7.40713e+06
135,135,135,32731.7,7.93604e+06
111,111,111,27028.9,6.58165e+06
100,100,100,24448.3,5.97718e+06
99,99,99,24306.7,5.96783e+06
93,93,93,22922.1,5.6497e+06
100,100,100,24749.6,6.12541e+06
76,76,76,18883.5,4.69196e+06
79,79,79,19713.7,4.91937e+06
63,63,63,15783,3.95404e+06
47,47,47,11822.7,2.97395e+06
48,48,48,12120,3.0603e+06
38,38,38,9632.19,2.44156e+06
30,30,30,7632.99,1.94209e+06
36,36,36,9197.49,2.34983e+06
38,38,38,9746.16,2.49968e+06
38,38,38,9785.83,2.52007e+06
28,28,28,7240.96,1.87255e+06
22,22,22,5707.77,1.48085e+06
24,24,24,6251.89,1.62859e+06
29,29,29,7581.49,1.98204e+06
20,20,20,5250.63,1.37846e+06
17,17,17,4477.73,1.17942e+06
20,20,20,5289.48,1.39893e+06
11,11,11,2921.12,775722
27,27,27,7196.02,1.91788e+06
19,19,19,5083.96,1.36035e+06
10,10,10,2685.33,721098
11,11,11,2963.37,798326
15,15,15,4057.39,1.09749e+06
7,7,7,1900.32,515887
9,9,9,2450.7,667326
13,13,13,3557.2,973359
5,5,5,1371.41,376153
5,5,5,1378.15,379862
10,10,10,2764.39,764184
11,11,11,3053.26,847493
7,7,7,1949.36,542861
8,8,8,2236.36,625162
5,5,5,1402.75,393544
6,6,6,1688.9,475401
4,4,4,1128.76,318524
3,3,3,851.113,241465
4,4,4,1138.57,324086
7,7,7,1998.8,570744
3,3,3,858.999,245960
6,6,6,1723.98,495353
3,3,3,864.649,249206
3,3,3,868.841,251628
1,1,1,290.099,84157.2
4,4,4,1166.89,340407
4,4,4,1169.99,342220
3,3,3,881.551,259044
1,1,1,294.669,86829.7
2,2,2,590.634,174424
1,1,1,296.154,87707.4
2,2,2,595.102,177073
1,1,1,298.2,88923.4
3,3,3,898.034,268822
0,0,0,0,0
3,3,3,904.404,272649
0,0,0,0,0
1,1,1,303.414,92059.8
0,0,0,0,0
1,1,1,305.548,93359.8
1,1,1,306.992,94243.8
0,0,0,0,0
0,0,0,0,0
1,1,1,309.733,95934.5
0,0,0,0,0
1,1,1,311.172,96827.8
1,1,1,312.192,97464
0,0,0,0,0
1,1,1,314.458,98883.9
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,641.141,205531
0,0,0,0,0
0,0,0,0,0
1,1,1,323.301,104524
1,1,1,324.508,105305
1,1,1,325.436,105908
1,1,1,326.47,106582
0,0,0,0,0
0,0,0,0,0
1,1,1,329.55,108603
3,3,3,991.496,327688
2,2,2,662.938,219744
0,0,0,0,0
0,0,0,0,0
1,1,1,334.58,111944
1,1,1,335.618,112640
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,339.023,114937
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,351.12,123285
3,3,3,1058.24,373293
0,0,0,0,0
