#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 700 0 700
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9909163,9.90916e+06,9.90916e+06,20.6206,13.4123
43,43,43,63.2368,97.438
49,49,49,123.652,316.381
65,65,65,227.1,799.225
55,55,55,247.19,1115.55
53,53,53,291.128,1603.29
56,56,56,368.157,2424.79
61,61,61,455.875,3412.26
54,54,54,458.66,3899.29
62,62,62,584.142,5508.41
68,68,68,715.233,7529.56
55,55,55,634.488,7323.66
52,52,52,650.386,8138.57
75,75,75,1011.09,13636
62,62,62,902.124,13131.5
48,48,48,746.359,11608.3
59,59,59,970.155,15956.5
46,46,46,805.223,14099.8
56,56,56,1035.48,19151.3
40,40,40,783.453,15347.2
64,64,64,1317.36,27121.7
51,51,51,1093.58,23453.6
54,54,54,1215.94,27383.3
50,50,50,1174.18,27577.8
58,58,58,1421.14,34827.5
44,44,44,1127.02,28870.4
46,46,46,1218.99,32307.1
40,40,40,1101.97,30362.6
53,53,53,1507.77,42898.7
49,49,49,1444.48,42586.1
49,49,49,1493.89,45549.2
44,44,44,1387.04,43727.3
49,49,49,1593.34,51815.5
41,41,41,1375.57,46153.8
51,51,51,1759.29,60692.7
48,48,48,1704.8,60551.9
40,40,40,1457.11,53081.9
41,41,41,1536.2,57562.6
49,49,49,1889.24,72844.1
62,62,62,2446.09,96511.2
52,52,52,2102.29,84996.7
51,51,51,2115.99,87796.1
46,46,46,1955.59,83140.7
43,43,43,1871.53,81459.6
51,51,51,2269.73,101018
54,54,54,2457.94,111884
56,56,56,2602.49,120949
55,55,55,2609.28,123793
51,51,51,2471.2,119746
55,55,55,2721.71,134691
65,65,65,3280.14,165533
44,44,44,2270.88,117206
54,54,54,2834.66,148806
48,48,48,2568.43,137439
55,55,55,2995.53,163153
79,79,79,4385.34,243439
51,51,51,2886.67,163394
63,63,63,3618.3,207817
54,54,54,3157.92,184679
77,77,77,4584.09,272914
72,72,72,4354,263303
69,69,69,4244.37,261088
70,70,70,4373.4,273243
82,82,82,5206.02,330527
69,69,69,4449.25,286901
88,88,88,5762.19,377312
86,86,86,5722.5,380787
86,86,86,5805.18,391869
89,89,89,6096.03,417553
95,95,95,6601.74,458775
104,104,104,7336.13,517498
99,99,99,7083.36,506815
93,93,93,6738.85,488310
117,117,117,8592.42,631031
99,99,99,7373.89,549243
115,115,115,8676.73,654666
125,125,125,9561.21,731344
104,104,104,8061.15,624837
150,150,150,11777.6,924756
119,119,119,9460.74,752158
142,142,142,11422.6,918858
121,121,121,9862.6,803901
138,138,138,11386.9,939583
154,154,154,12861.2,1.07411e+06
126,126,126,10641.8,898797
156,156,156,13343.3,1.14132e+06
127,127,127,10993.6,951661
159,159,159,13913.3,1.2175e+06
155,155,155,13721.9,1.21479e+06
147,147,147,13156.5,1.17753e+06
132,132,132,11947.7,1.08142e+06
141,141,141,12896.8,1.17964e+06
138,138,138,12766.6,1.18107e+06
154,154,154,14401.6,1.3468e+06
148,148,148,13983.5,1.32123e+06
