#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 1400 0 1400
#annotation axis_x.title 
#bin_number 1402
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9406029,9.40603e+06,9.40603e+06,238.96,162.204
604,604,604,924.266,1464.47
671,671,671,1677.89,4252.53
615,615,615,2149.22,7559.1
616,616,616,2768.87,12498.1
583,583,583,3210.38,17725.3
617,617,617,4005.15,26048.7
635,635,635,4759.17,35719.9
613,613,613,5214.11,44405.1
607,607,607,5777.33,55034.9
612,612,612,6417.37,67341.8
669,669,669,7692.87,88515.8
642,642,642,8027.32,100425
680,680,680,9183.88,124089
656,656,656,9512.28,137988
614,614,614,9518.85,147620
673,673,673,11098.8,183092
684,684,684,11962.2,209262
630,630,630,11639.7,215105
703,703,703,13701.6,267112
653,653,653,13372.8,273918
654,654,654,14068.4,302681
717,717,717,16132.1,363021
668,668,668,15689,368536
678,678,678,16608.7,406916
664,664,664,16933,431871
725,725,725,19224.5,509828
630,630,630,17321.6,476300
700,700,700,19943.4,568257
695,695,695,20490.8,604194
682,682,682,20801.6,634519
674,674,674,21227.1,668590
690,690,690,22427,729001
677,677,677,22677.1,759658
686,686,686,23672.9,816979
704,704,704,24992.2,887291
651,651,651,23754.5,866843
708,708,708,26545.2,995323
675,675,675,25986.5,1.0005e+06
700,700,700,27657.3,1.09281e+06
679,679,679,27486.1,1.11271e+06
637,637,637,26445,1.09791e+06
651,651,651,27662.4,1.17549e+06
676,676,676,29422.6,1.28066e+06
609,609,609,27099.9,1.20597e+06
677,677,677,30793.9,1.40075e+06
608,608,608,28276.6,1.31513e+06
581,581,581,27596.2,1.3108e+06
620,620,620,30064.3,1.45789e+06
578,578,578,28608.4,1.41603e+06
640,640,640,32327.7,1.63299e+06
600,600,600,30915.2,1.59297e+06
665,665,665,34917.5,1.83349e+06
634,634,634,33922.3,1.81507e+06
660,660,660,35970.6,1.96049e+06
655,655,655,36351,2.01745e+06
675,675,675,38129.7,2.15394e+06
644,644,644,37035.3,2.12989e+06
634,634,634,37092.1,2.17013e+06
631,631,631,37537.6,2.23313e+06
614,614,614,37145.1,2.24722e+06
628,628,628,38613,2.3742e+06
647,647,647,40445.1,2.52835e+06
593,593,593,37669.1,2.3929e+06
662,662,662,42699.8,2.75424e+06
709,709,709,46457.4,3.04419e+06
651,651,651,43293.4,2.87918e+06
685,685,685,46236.6,3.12097e+06
677,677,677,46373.5,3.17657e+06
651,651,651,45237,3.1435e+06
644,644,644,45396.8,3.20016e+06
686,686,686,49042.2,3.50609e+06
660,660,660,47851.7,3.46943e+06
630,630,630,46305.6,3.40355e+06
710,710,710,52899.2,3.94136e+06
702,702,702,52995.8,4.00084e+06
741,741,741,56688.8,4.33694e+06
697,697,697,54025.9,4.18772e+06
678,678,678,53215.9,4.17694e+06
696,696,696,55339.7,4.40018e+06
928,928,928,74806.9,6.03035e+06
815,815,815,66348.7,5.4015e+06
680,680,680,56094.5,4.6274e+06
671,671,671,56029.5,4.6786e+06
700,700,700,59154.2,4.99893e+06
733,733,733,62667.7,5.35782e+06
758,758,758,65572.3,5.67252e+06
751,751,751,65715.8,5.75049e+06
768,768,768,67960.9,6.01397e+06
760,760,760,68022,6.08821e+06
776,776,776,70225.2,6.35519e+06
738,738,738,67531.3,6.17957e+06
773,773,773,71496,6.61284e+06
751,751,751,70219.9,6.56575e+06
818,818,818,77299.7,7.30476e+06
798,798,798,76203.2,7.27692e+06
816,816,816,78737.5,7.5976e+06
785,785,785,76535.2,7.46203e+06
850,850,850,83733.9,8.24873e+06
790,790,790,78597.2,7.81971e+06
904,904,904,90864.5,9.13321e+06
903,903,903,91648.3,9.30176e+06
949,949,949,97279.1,9.97186e+06
936,936,936,96887.4,1.00291e+07
989,989,989,103353,1.08008e+07
929,929,929,98018.3,1.03419e+07
934,934,934,99467.7,1.0593e+07
986,986,986,106003,1.13962e+07
985,985,985,106858,1.15925e+07
1027,1027,1027,112450,1.23127e+07
1032,1032,1032,114036,1.2601e+07
1126,1126,1126,125560,1.40012e+07
1058,1058,1058,119019,1.3389e+07
1054,1054,1054,119638,1.35799e+07
1084,1084,1084,124117,1.42114e+07
1082,1082,1082,124979,1.4436e+07
1080,1080,1080,125823,1.46589e+07
1143,1143,1143,134323,1.57854e+07
1173,1173,1173,138994,1.647e+07
1166,1166,1166,139339,1.66513e+07
1257,1257,1257,151470,1.82523e+07
1857,1857,1857,225961,2.74952e+07
8440,8440,8440,1.03013e+06,1.25731e+08
928,928,928,114605,1.41535e+07
982,982,982,122253,1.52199e+07
944,944,944,118456,1.48644e+07
993,993,993,125615,1.58905e+07
947,947,947,120745,1.53953e+07
919,919,919,118102,1.51776e+07
947,947,947,122634,1.58809e+07
901,901,901,117576,1.53432e+07
936,936,936,123095,1.61885e+07
953,953,953,126260,1.67279e+07
945,945,945,126153,1.6841e+07
909,909,909,122255,1.64428e+07
982,982,982,133060,1.80294e+07
982,982,982,134049,1.82986e+07
880,880,880,120993,1.66356e+07
910,910,910,126023,1.74527e+07
977,977,977,136288,1.90119e+07
964,964,964,135447,1.90311e+07
983,983,983,139104,1.96846e+07
945,945,945,134664,1.919e+07
960,960,960,137757,1.97676e+07
985,985,985,142335,2.05679e+07
970,970,970,141141,2.05369e+07
955,955,955,139903,2.04953e+07
976,976,976,143953,2.12322e+07
999,999,999,148341,2.20271e+07
965,965,965,144262,2.15663e+07
1077,1077,1077,162083,2.43927e+07
958,958,958,145149,2.19918e+07
952,952,952,145185,2.21416e+07
941,941,941,144458,2.21766e+07
954,954,954,147391,2.27716e+07
982,982,982,152687,2.37409e+07
982,982,982,153689,2.40533e+07
999,999,999,157355,2.47856e+07
1003,1003,1003,158987,2.52013e+07
934,934,934,148971,2.37606e+07
959,959,959,153922,2.47048e+07
910,910,910,146946,2.37288e+07
991,991,991,161040,2.61694e+07
998,998,998,163171,2.66783e+07
1022,1022,1022,168112,2.76535e+07
1001,1001,1001,165652,2.74134e+07
964,964,964,160485,2.67175e+07
1017,1017,1017,170352,2.85347e+07
993,993,993,167321,2.81936e+07
936,936,936,158648,2.68902e+07
971,971,971,165556,2.82275e+07
1012,1012,1012,173561,2.97664e+07
982,982,982,169383,2.92166e+07
977,977,977,169515,2.94119e+07
1001,1001,1001,174674,3.04806e+07
912,912,912,160056,2.80899e+07
1015,1015,1015,179160,3.1624e+07
968,968,968,171813,3.04958e+07
944,944,944,168512,3.00808e+07
1005,1005,1005,180373,3.23725e+07
1007,1007,1007,181770,3.28109e+07
1010,1010,1010,183316,3.32722e+07
968,968,968,176667,3.22432e+07
1005,1005,1005,184435,3.3847e+07
998,998,998,184135,3.39736e+07
998,998,998,185125,3.434e+07
993,993,993,185192,3.45381e+07
971,971,971,182070,3.41396e+07
958,958,958,180569,3.40346e+07
968,968,968,183437,3.47614e+07
897,897,897,170890,3.25566e+07
951,951,951,182113,3.48741e+07
998,998,998,192113,3.69816e+07
1002,1002,1002,193889,3.7518e+07
1024,1024,1024,199181,3.87433e+07
985,985,985,192574,3.76496e+07
987,987,987,193938,3.81073e+07
941,941,941,185851,3.67063e+07
942,942,942,186968,3.71096e+07
938,938,938,187108,3.73236e+07
964,964,964,193278,3.87516e+07
950,950,950,191433,3.85755e+07
1010,1010,1010,204530,4.14184e+07
958,958,958,194955,3.96738e+07
939,939,939,192023,3.92681e+07
936,936,936,192347,3.95274e+07
910,910,910,187899,3.87981e+07
908,908,908,188389,3.90863e+07
868,868,868,180979,3.77344e+07
957,957,957,200509,4.20104e+07
945,945,945,198921,4.18726e+07
922,922,922,194989,4.12373e+07
878,878,878,186564,3.96428e+07
831,831,831,177415,3.78776e+07
926,926,926,198628,4.26061e+07
916,916,916,197390,4.25357e+07
881,881,881,190747,4.12989e+07
932,932,932,202720,4.4094e+07
863,863,863,188574,4.12053e+07
867,867,867,190316,4.17767e+07
872,872,872,192273,4.23956e+07
935,935,935,207105,4.58746e+07
870,870,870,193577,4.30712e+07
869,869,869,194228,4.34113e+07
860,860,860,193049,4.33351e+07
832,832,832,187612,4.23056e+07
889,889,889,201349,4.56033e+07
828,828,828,188374,4.28561e+07
828,828,828,189209,4.32367e+07
844,844,844,193695,4.44525e+07
861,861,861,198447,4.5739e+07
857,857,857,198397,4.59293e+07
857,857,857,199248,4.63242e+07
851,851,851,198711,4.63997e+07
872,872,872,204482,4.79506e+07
847,847,847,199458,4.69699e+07
872,872,872,206222,4.87703e+07
879,879,879,208764,4.95821e+07
827,827,827,197227,4.70355e+07
785,785,785,188002,4.50252e+07
747,747,747,179654,4.3207e+07
826,826,826,199472,4.81711e+07
801,801,801,194227,4.70964e+07
841,841,841,204787,4.98667e+07
843,843,843,206115,5.03956e+07
847,847,847,207932,5.10457e+07
797,797,797,196452,4.84235e+07
840,840,840,207905,5.14578e+07
777,777,777,193087,4.79827e+07
843,843,843,210332,5.2479e+07
791,791,791,198150,4.9638e+07
810,810,810,203721,5.12372e+07
852,852,852,215101,5.43056e+07
834,834,834,211417,5.35938e+07
785,785,785,199784,5.08456e+07
799,799,799,204147,5.21601e+07
717,717,717,183912,4.71738e+07
752,752,752,193643,4.98638e+07
799,799,799,206540,5.33901e+07
789,789,789,204745,5.31315e+07
769,769,769,200319,5.21815e+07
800,800,800,209194,5.47027e+07
756,756,756,198454,5.20954e+07
766,766,766,201841,5.31854e+07
725,725,725,191766,5.07231e+07
746,746,746,198069,5.25892e+07
740,740,740,197200,5.25514e+07
736,736,736,196882,5.26667e+07
774,774,774,207823,5.58017e+07
722,722,722,194570,5.24343e+07
738,738,738,199634,5.40025e+07
765,765,765,207701,5.63916e+07
766,766,766,208737,5.68812e+07
717,717,717,196100,5.36337e+07
739,739,739,202873,5.56934e+07
742,742,742,204420,5.63174e+07
725,725,725,200462,5.54278e+07
722,722,722,200337,5.55886e+07
727,727,727,202463,5.63841e+07
722,722,722,201805,5.64064e+07
733,733,733,205601,5.76694e+07
733,733,733,206338,5.80835e+07
729,729,729,205937,5.8176e+07
708,708,708,200717,5.69031e+07
748,748,748,212806,6.05436e+07
730,730,730,208414,5.95018e+07
723,723,723,207144,5.93481e+07
726,726,726,208727,6.00098e+07
720,720,720,207737,5.99373e+07
705,705,705,204096,5.90856e+07
684,684,684,198703,5.77234e+07
766,766,766,223285,6.50866e+07
749,749,749,219080,6.40803e+07
703,703,703,206330,6.05579e+07
721,721,721,212331,6.25306e+07
753,753,753,222506,6.57488e+07
698,698,698,206954,6.13608e+07
713,713,713,212135,6.31156e+07
690,690,690,205963,6.14796e+07
700,700,700,209652,6.27914e+07
724,724,724,217558,6.53753e+07
697,697,697,210142,6.33567e+07
693,693,693,209634,6.34149e+07
709,709,709,215192,6.5314e+07
715,715,715,217721,6.62971e+07
693,693,693,211718,6.46817e+07
735,735,735,225269,6.90423e+07
714,714,714,219562,6.75177e+07
728,728,728,224599,6.92925e+07
761,761,761,235531,7.28974e+07
729,729,729,226337,7.02721e+07
678,678,678,211197,6.57877e+07
691,691,691,215930,6.74757e+07
726,726,726,227591,7.13468e+07
689,689,689,216684,6.81454e+07
743,743,743,234428,7.39658e+07
744,744,744,235474,7.4527e+07
723,723,723,229562,7.2889e+07
732,732,732,233129,7.42475e+07
711,711,711,227171,7.25834e+07
715,715,715,229170,7.34531e+07
741,741,741,238224,7.65864e+07
692,692,692,223165,7.1969e+07
738,738,738,238741,7.72323e+07
687,687,687,222943,7.23491e+07
753,753,753,245110,7.97861e+07
682,682,682,222674,7.27036e+07
732,732,732,239721,7.85057e+07
701,701,701,230276,7.56447e+07
666,666,666,219441,7.23039e+07
696,696,696,230044,7.60346e+07
683,683,683,226404,7.50495e+07
707,707,707,235078,7.8164e+07
717,717,717,239122,7.97483e+07
693,693,693,231807,7.75391e+07
685,685,685,229820,7.71056e+07
733,733,733,246652,8.29974e+07
671,671,671,226475,7.64395e+07
698,698,698,236260,7.997e+07
675,675,675,229162,7.78003e+07
664,664,664,226085,7.69799e+07
615,615,615,210028,7.17262e+07
653,653,653,223655,7.66029e+07
607,607,607,208491,7.16122e+07
580,580,580,199820,6.88413e+07
575,575,575,198674,6.86461e+07
659,659,659,228340,7.91185e+07
611,611,611,212328,7.37861e+07
583,583,583,203183,7.08117e+07
594,594,594,207606,7.25597e+07
601,601,601,210653,7.38346e+07
626,626,626,220044,7.73475e+07
528,528,528,186110,6.56006e+07
585,585,585,206800,7.3105e+07
576,576,576,204197,7.23898e+07
2622,2622,2622,933143,3.32096e+08
10306,10306,10306,3.66921e+06,1.30633e+09
515,515,515,184126,6.583e+07
517,517,517,185330,6.6436e+07
512,512,512,184068,6.61736e+07
497,497,497,179174,6.45942e+07
471,471,471,170270,6.1554e+07
532,532,532,192837,6.98989e+07
531,531,531,193019,7.01629e+07
491,491,491,178963,6.523e+07
520,520,520,190052,6.94612e+07
470,470,470,172263,6.3137e+07
505,505,505,185593,6.82078e+07
513,513,513,189042,6.96624e+07
487,487,487,179947,6.64906e+07
466,466,466,172660,6.39733e+07
498,498,498,185009,6.87313e+07
474,474,474,176568,6.57727e+07
472,472,472,176291,6.58446e+07
446,446,446,167020,6.25461e+07
463,463,463,173846,6.52754e+07
485,485,485,182613,6.87581e+07
430,430,430,162330,6.12812e+07
499,499,499,188874,7.14896e+07
488,488,488,185195,7.02815e+07
473,473,473,179965,6.8472e+07
507,507,507,193426,7.37941e+07
425,425,425,162558,6.21769e+07
476,476,476,182537,6.99997e+07
430,430,430,165341,6.35763e+07
466,466,466,179643,6.92527e+07
445,445,445,171996,6.64775e+07
470,470,470,182121,7.05701e+07
449,449,449,174428,6.77617e+07
436,436,436,169815,6.61403e+07
429,429,429,167537,6.5428e+07
439,439,439,171864,6.7283e+07
475,475,475,186429,7.31702e+07
473,473,473,186126,7.32408e+07
440,440,440,173583,6.84794e+07
458,458,458,181145,7.16449e+07
423,423,423,167715,6.64969e+07
456,456,456,181259,7.20504e+07
426,426,426,169757,6.76469e+07
415,415,415,165791,6.62327e+07
404,404,404,161800,6.47999e+07
431,431,431,173047,6.94788e+07
456,456,456,183537,7.38721e+07
429,429,429,173095,6.98416e+07
472,472,472,190928,7.72323e+07
435,435,435,176383,7.15193e+07
475,475,475,193086,7.84886e+07
