#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 1400 0 1400
#annotation axis_x.title 
#bin_number 1402
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9869091,9.86909e+06,9.86909e+06,43.1623,27.965
127,127,127,197.236,317.414
105,105,105,263.15,669.29
124,124,124,438.012,1556.99
113,113,113,512.296,2332.35
118,118,118,647.052,3558.43
125,125,125,808.448,5237.82
117,117,117,879.056,6613.51
100,100,100,843.619,7125.96
111,111,111,1055.54,10046
105,105,105,1104.92,11636.9
105,105,105,1206.16,13864
114,114,114,1425.46,17833.9
118,118,118,1590.71,21455.2
114,114,114,1645.09,23748.4
122,122,122,1894.01,29413.2
119,119,119,1971.35,32668.5
136,136,136,2380.43,41676.1
106,106,106,1963.07,36363.6
127,127,127,2476.53,48302.8
130,130,130,2667.78,54755.6
123,123,123,2641.99,56759
104,104,104,2340.43,52678.8
111,111,111,2607.71,61272.9
114,114,114,2794.54,68512.7
138,138,138,3524.09,90005.8
135,135,135,3582.56,95084.4
124,124,124,3406.95,93617.7
92,92,92,2625.38,74928
113,113,113,3333.82,98365.7
135,135,135,4110.3,125154
121,121,121,3814.75,120277
136,136,136,4415.89,143397
123,123,123,4121.13,138091
121,121,121,4174.34,144019
139,139,139,4930.44,174899
96,96,96,3504.33,127927
117,117,117,4390.3,164752
150,150,150,5775.77,222408
120,120,120,4742.14,187409
108,108,108,4370.04,176836
115,115,115,4770.02,197863
119,119,119,5054.48,214697
112,112,112,4868.97,211678
116,116,116,5168.97,230340
105,105,105,4777.9,217422
118,118,118,5483.66,254844
127,127,127,6036.73,286956
108,108,108,5235.69,253828
134,134,134,6631.15,328160
123,123,123,6224.64,315019
115,115,115,5924.43,305217
139,139,139,7295.75,382947
119,119,119,6367.93,340770
125,125,125,6812.15,371253
126,126,126,6994.97,388341
134,134,134,7567.58,427386
145,145,145,8339.37,479635
115,115,115,6724.99,393275
133,133,133,7914.85,471023
138,138,138,8352.91,505599
130,130,130,7993.15,491475
128,128,128,8001.7,500223
152,152,152,9649.88,612646
147,147,147,9482.49,611697
137,137,137,8972.2,587603
146,146,146,9707.81,645502
160,160,160,10798.2,728765
166,166,166,11371.9,779049
169,169,169,11749.7,816913
184,184,184,12972.9,914662
188,188,188,13440.6,960924
178,178,178,12901.5,935118
194,194,194,14261.8,1.04846e+06
195,195,195,14533.3,1.08317e+06
219,219,219,16537.3,1.2488e+06
225,225,225,17211.5,1.31662e+06
243,243,243,18834.4,1.45983e+06
248,248,248,19468.8,1.52838e+06
264,264,264,20979,1.66714e+06
1038,1038,1038,83950.1,6.78969e+06
702,702,702,56953.9,4.62078e+06
149,149,149,12291.9,1.01404e+06
139,139,139,11605.1,968917
160,160,160,13521,1.14263e+06
161,161,161,13768.8,1.17752e+06
149,149,149,12884.6,1.1142e+06
164,164,164,14353.7,1.25629e+06
152,152,152,13452.3,1.19057e+06
152,152,152,13607.7,1.21823e+06
140,140,140,12672.1,1.14704e+06
172,172,172,15743.8,1.4411e+06
176,176,176,16277.9,1.50554e+06
183,183,183,17102.7,1.5984e+06
171,171,171,16159,1.52699e+06
165,165,165,15752.1,1.50383e+06
183,183,183,17660.5,1.70435e+06
162,162,162,15805.1,1.54199e+06
168,168,168,16545.3,1.62946e+06
188,188,188,18708.1,1.86167e+06
202,202,202,20304.2,2.0409e+06
