#class tools::histo::h1d
#title Ge counts
#dimension 1
#axis fixed 1400 0 1400
#annotation axis_x.title 
#bin_number 1402
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9829707,9.82971e+06,9.82971e+06,49.6226,33.3897
120,120,120,185.116,295.067
105,105,105,263.23,669.863
107,107,107,375.858,1328.42
130,130,130,587.293,2664.11
119,119,119,654.32,3607.89
124,124,124,809.413,5294.28
108,108,108,807.393,6042.95
135,135,135,1148.13,9775.06
133,133,133,1265.75,12057.3
125,125,125,1314.84,13842.5
136,136,136,1560.82,17924.8
141,141,141,1756.21,21885.2
126,126,126,1696.47,22851.1
121,121,121,1751.74,25368.6
143,143,143,2210.76,34191.3
139,139,139,2293.4,37852.3
149,149,149,2609.7,45720.7
136,136,136,2520.7,46731.2
142,142,142,2764.11,53817.1
128,128,128,2623.33,53774.5
139,139,139,2987.99,64240.4
126,126,126,2835.04,63800.5
145,145,145,3406.93,80062.4
141,141,141,3459.67,84899.3
145,145,145,3694.92,94165.6
133,133,133,3521.87,93270
164,164,164,4509.63,124019
154,154,154,4385.6,124906
155,155,155,4570.67,134796
130,130,130,3960.98,120697
136,136,136,4291.85,135452
158,158,158,5141.07,167293
169,169,169,5658.87,189497
143,143,143,4939.76,170650
170,170,170,6036.71,214377
157,157,157,5728.23,209011
148,148,148,5552.7,208339
166,166,166,6395.74,246434
149,149,149,5883.45,232327
133,133,133,5380.66,217691
123,123,123,5102.11,211647
121,121,121,5141.83,218510
116,116,116,5047.45,219637
130,130,130,5786.04,257535
116,116,116,5276.42,240014
139,139,139,6468.15,300996
136,136,136,6455.42,306427
109,109,109,5289.68,256713
105,105,105,5196.48,257184
123,123,123,6208.72,313412
135,135,135,6950.52,357863
121,121,121,6344.61,332688
118,118,118,6315.13,337982
133,133,133,7248.27,395028
115,115,115,6388.21,354871
122,122,122,6889.97,389124
134,134,134,7708.11,443406
118,118,118,6911.36,404814
136,136,136,8092.07,481495
129,129,129,7803.81,472100
130,130,130,7992.03,491338
126,126,126,7872.81,491925
137,137,137,8699.65,552448
134,134,134,8636.28,556617
114,114,114,7463.25,488606
